Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Kami nomi zo Shiru Sekai: Tenri-hen,The World God Only Knows: Tenri Arc,7.67,1657,1304,137,OVA,2,Finished Airing,"Oct 18, 2012 to Dec 18, 2012",,,"Geneon Universal Entertainment,       Shogakukan",Sentai Filmworks,Manglobe,Manga,"Comedy, Romance, Supernatural",Harem,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,104
Kanojo to Kanojo no Neko: Everything Flows,She and Her Cat: Everything Flows,7.67,1670,1305,135,TV,4,Finished Airing,"Mar 4, 2016 to Mar 25, 2016",Winter 2016,Fridays at 23:17 (JST),"Lantis,       CoMix Wave Films,       LIDENFILMS",Discotek Media,LIDENFILMS Kyoto Studio,Original,Slice of Life,Pets,,7 min. per ep.,G - All Ages,683
Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,7.67,3098,1306,51,Movie,1,Finished Airing,"Mar 12, 1988",,,"Sotsu,       Nozomi Entertainment,       Atelier Musa",Bandai Entertainment,Sunrise,Novel,"Action, Drama, Sci-Fi","Mecha, Military, Space",,1 hr. 59 min.,PG-13 - Teens 13 or older,489
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,,7.67,3134,1307,50,Movie,1,Finished Airing,"Apr 21, 2007",,,"None found, add some","None found, add some",Shaft,Light novel,"Adventure, Drama, Fantasy",,,28 min.,R - 17+ (violence & profanity),30
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,Love Live! Nijigasaki High School Idol Club Season 2,7.67,3602,1309,39,TV,13,Finished Airing,"Apr 2, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 22:00 (JST),"Lantis,       Bushiroad,       Sunrise Music,       Kadokawa,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Sunrise,Other,Slice of Life,"Idols (Female), Music, School",,24 min. per ep.,PG-13 - Teens 13 or older,439
Kuroko no Basket 3rd Season NG-shuu,,7.67,3293,1308,45,Special,9,Finished Airing,"Apr 24, 2015 to Dec 24, 2015",,,Bandai Visual,"None found, add some",Production I.G,Manga,"Comedy, Sports",Team Sports,,2 min. per ep.,PG-13 - Teens 13 or older,83
Luo Xiao Hei Zhan Ji,The Legend of Luoxiaohei,7.67,8015,1310,5,ONA,28,Finished Airing,"Mar 17, 2011 to Aug 27, 2019",,,"None found, add some","None found, add some",HMCH,Original,"Comedy, Supernatural",,,7 min. per ep.,PG-13 - Teens 13 or older,57
Macross F: Close Encounter - Deculture Edition,,7.67,5815,1311,12,Special,1,Finished Airing,"Dec 23, 2007",,,"None found, add some","None found, add some",Satelight,Original,"Action, Sci-Fi","Mecha, Military, Music, Space",,27 min.,PG-13 - Teens 13 or older,5
Meitantei Conan Movie 21: Karakurenai no Love Letter,Detective Conan Movie 21: The Crimson Love Letter,7.67,3955,1313,32,Movie,1,Finished Airing,"Apr 15, 2017",,,"None found, add some",Discotek Media,TMS Entertainment,Manga,"Action, Drama, Mystery, Romance","Detective, Historical",,1 hr. 51 min.,PG-13 - Teens 13 or older,41
Meitantei Conan Movie 17: Zekkai no Private Eye,Detective Conan Movie 17: Private Eye in the Distant Sea,7.67,3568,1312,39,Movie,1,Finished Airing,"Apr 20, 2013",,,"None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,Shounen,1 hr. 50 min.,G - All Ages,16
Mousou Dairinin,Paranoia Agent,7.67,546,1314,423,TV,13,Finished Airing,"Feb 3, 2004 to May 18, 2004",Winter 2004,Saturdays at 00:00 (JST),"WOWOW,       Asmik Ace,       Tohokushinsha Film Corporation","Funimation,       Geneon Entertainment USA",Madhouse,Original,"Avant Garde, Drama, Mystery, Supernatural, Suspense","Detective, Psychological",,24 min. per ep.,R+ - Mild Nudity,"5,637"
Ni Tian Xieshen,Against the Gods (2023),7.67,13152,1315,1,ONA,30,Finished Airing,"Sep 23, 2023 to Mar 30, 2024",,,"iQIYI,       High Energy Studio","None found, add some",Foch Films,Web novel,"Action, Fantasy","Historical, Martial Arts",,21 min. per ep.,PG-13 - Teens 13 or older,12
Oniichan wa Oshimai!,Onimai: I'm Now Your Sister!,7.67,1550,1316,149,TV,12,Finished Airing,"Jan 5, 2023 to Mar 23, 2023",Winter 2023,Thursdays at 23:30 (JST),"Pony Canyon,       Movic,       AT-X,       TOHO animation,       Tokyo MX,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Ichijinsha,       Bit grooove promotion,       Pia","None found, add some",Studio Bind,Manga,Comedy,"CGDCT, Magical Sex Shift, School",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"2,131"
Rurouni Kenshin DVD-BOX Special Ending,Samurai X DVD-BOX Special Ending,7.67,5027,1317,18,Special,1,Finished Airing,"May 7, 2007",,,"Aniplex,       SME Visual Works,       Fuji TV","None found, add some",Studio Deen,Manga,Romance,Historical,,2 min.,G - All Ages,59
