Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Kamisama Hajimemashita,Kamisama Kiss,8.11,316,479,660,TV,13,Finished Airing,"Oct 2, 2012 to Dec 25, 2012","TV Tokyo,       Dentsu,       Sotsu,       Pony Canyon,       Hakusensha,       DAX Production",Funimation,TMS Entertainment,Manga,"Comedy, Fantasy, Romance",Mythology,24 min. per ep.,PG-13 - Teens 13 or older,"15,587",Shoujo,Fall 2012,Tuesdays at 02:05 (JST)
Kuragehime,Princess Jellyfish,8.11,1011,481,240,TV,11,Finished Airing,"Oct 15, 2010 to Dec 31, 2010","Dentsu,       Genco,       Kodansha,       Fuji TV,       TOHO,       Asmik Ace,       Sony Music Entertainment,       Sakura Create,       Fujipacific Music",Funimation,Brain's Base,Manga,Comedy,"Adult Cast, Crossdressing, Visual Arts",22 min. per ep.,PG-13 - Teens 13 or older,"4,769",Josei,Fall 2010,Fridays at 00:45 (JST)
Kidou Senshi Gundam 00,Mobile Suit Gundam 00,8.11,1104,480,221,TV,25,Finished Airing,"Oct 6, 2007 to Mar 29, 2008","Sotsu,       Asatsu DK,       Mainichi Broadcasting System,       Sony Music Entertainment","Nozomi Entertainment,       Bandai Entertainment",Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Space",24 min. per ep.,R - 17+ (violence & profanity),"4,484",,Fall 2007,Saturdays at 18:00 (JST)
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Magical Girl Lyrical Nanoha: The Movie 2nd A's,8.11,4487,482,24,Movie,1,Finished Airing,"Jul 14, 2012",Good Smile Company,"None found, add some",Seven Arcs,Original,"Action, Comedy, Drama, Sci-Fi",Mahou Shoujo,2 hr. 29 min.,R+ - Mild Nudity,199,,,
Meitantei Conan Movie 05: Tengoku e no Countdown,Case Closed Movie 05: Countdown to Heaven,8.11,2745,483,64,Movie,1,Finished Airing,"Apr 21, 2001","None found, add some",Funimation,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 40 min.,PG-13 - Teens 13 or older,61,Shounen,,
Meitantei Conan Movie 14: Tenkuu no Lost Ship,Detective Conan Movie 14: The Lost Ship in the Sky,8.11,2913,484,57,Movie,1,Finished Airing,"Apr 17, 2010","Shogakukan-Shueisha Productions,       TMS Entertainment","None found, add some",Tokyo Movie Shinsha,Manga,"Action, Mystery",Detective,1 hr. 42 min.,G - All Ages,66,Shounen,,
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,The Disastrous Life of Saiki K.: Reawakened,8.11,1087,486,223,ONA,6,Finished Airing,"Dec 30, 2019","None found, add some","None found, add some","J.C.Staff,       Egg Firm",Manga,"Comedy, Supernatural","Gag Humor, School, Super Power",22 min. per ep.,PG-13 - Teens 13 or older,457,Shounen,,
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,8.11,2605,485,70,TV Special,1,Finished Airing,"Aug 25, 2012",Fuji TV,"None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",,1 hr. 46 min.,PG-13 - Teens 13 or older,83,Shounen,,
Diamond no Ace,Ace of Diamond,8.11,996,488,246,TV,75,Finished Airing,"Oct 6, 2013 to Mar 29, 2015","TV Tokyo,       Sotsu,       Pony Canyon,       Kodansha,       AT-X,       DAX Production","None found, add some","Production I.G,       Madhouse",Manga,Sports,"School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,"4,649",Shounen,Fall 2013,Sundays at 08:30 (JST)
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Classroom of the Elite II,8.11,332,487,645,TV,13,Finished Airing,"Jul 4, 2022 to Sep 26, 2022","Studio Hibari,       Movic,       AT-X,       Sammy,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bandai Namco Music Live","None found, add some",Lerche,Light novel,"Drama, Suspense","Psychological, School",23 min. per ep.,PG-13 - Teens 13 or older,"8,320",,Summer 2022,Mondays at 21:00 (JST)
Fullmetal Alchemist,,8.11,81,489,1,TV,51,Finished Airing,"Oct 4, 2003 to Oct 2, 2004","Aniplex,       Dentsu,       Square Enix,       Mainichi Broadcasting System","Funimation,       Aniplex of America",Bones,Manga,"Action, Adventure, Award Winning, Drama, Fantasy",Military,24 min. per ep.,R - 17+ (violence & profanity),"26,027",Shounen,Fall 2003,Saturdays at 18:00 (JST)
Golden Kamuy 4th Season,Golden Kamuy Season 4,8.11,2132,490,97,TV,13,Finished Airing,"Oct 3, 2022 to Jun 26, 2023","NBCUniversal Entertainment Japan,       Tokyo MX,       Good Smile Company,       Sammy,       Shueisha,       JR East Marketing & Communications,       Twin Engine","None found, add some",Brain's Base,Manga,"Action, Adventure","Adult Cast, Historical, Military",23 min. per ep.,R - 17+ (violence & profanity),589,Seinen,Fall 2022,Mondays at 23:00 (JST)
Akatsuki no Yona OVA,Yona of the Dawn OVA,8.10,1669,492,135,OVA,3,Finished Airing,"Sep 18, 2015 to Dec 20, 2016","Hakusensha,       Age Global Networks","None found, add some",Pierrot,Manga,"Action, Adventure, Fantasy",Historical,23 min. per ep.,PG-13 - Teens 13 or older,392,Shoujo,,
Gridman Universe,,8.11,4175,491,28,Movie,1,Finished Airing,"Mar 24, 2023","Pony Canyon,       Tsuburaya Productions","None found, add some",Trigger,Original,"Action, Sci-Fi",Mecha,1 hr. 57 min.,PG-13 - Teens 13 or older,243,,,
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,"Love, Chunibyo & Other Delusions!: Take On Me",8.10,898,493,273,Movie,1,Finished Airing,"Jan 6, 2018","Lantis,       Pony Canyon,       TBS",Sentai Filmworks,Kyoto Animation,Light novel,"Comedy, Drama, Romance",School,1 hr. 33 min.,PG-13 - Teens 13 or older,"1,601",,,
