Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes
Hunter x Hunter (2011),Hunter x Hunter,9.03,9,8,2,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"VAP,       Nippon Television Network,       Shueisha",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"211,223",
Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,9.01,175,12,937,TV,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 00:00 (JST),"Aniplex,       Mainichi Broadcasting System,       Magic Capsule,       Shueisha,       JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,"Comedy, Romance",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"31,315",School
Gintama.,Gintama Season 5,8.98,763,13,316,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01:35 (JST),"TV Tokyo,       Aniplex,       Dentsu,       Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"2,729","Gag Humor, Historical, Parody, Samurai"
Fruits Basket: The Final,Fruits Basket: The Final Season,8.97,470,14,482,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01:30 (JST),"TV Tokyo,       TV Osaka,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       TMS Music,       8PAN",Funimation,TMS Entertainment,Manga,"Drama, Romance, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"20,097",
Koe no Katachi,A Silent Voice,8.93,20,17,2,Movie,1,Finished Airing,"Sep 17, 2016",,,"Shochiku,       Pony Canyon,       Kodansha,       ABC Animation,       Quaras","Eleven Arts,       NYAV Post",Kyoto Animation,Manga,"Award Winning, Drama",Shounen,2 hr. 10 min.,PG-13 - Teens 13 or older,"88,211",Romantic Subtext
3-gatsu no Lion 2nd Season,March Comes In Like a Lion 2nd Season,8.92,568,18,404,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),"Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory",Aniplex of America,Shaft,Manga,Drama,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,"15,077","Childcare, Strategy Game"
Clannad: After Story,,8.93,118,16,1,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),"Pony Canyon,       TBS,       Rakuonsha,       Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,"70,306",
Gintama,,8.94,141,15,1,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Audio Highs,       Miracle Robo,       Shueisha","Sentai Filmworks,       Crunchyroll",Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"59,396","Gag Humor, Historical, Parody, Samurai"
Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,8.91,47,19,1,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17:00 (JST),"Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners","Funimation,       Bandai Entertainment",Sunrise,Original,"Action, Award Winning, Drama, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),"76,825","Mecha, Military, Super Power"
Kusuriya no Hitorigoto,The Apothecary Diaries,8.91,559,20,412,TV,24,Finished Airing,"Oct 22, 2023 to Mar 24, 2024",Fall 2023,Sundays at 01:05 (JST),"Dentsu,       Square Enix,       Nippon Television Network,       TOHO animation,       Shogakukan,       Imagica Infos","None found, add some","OLM,       TOHO animation STUDIO",Light novel,"Drama, Mystery",,22 min. per ep.,PG-13 - Teens 13 or older,"11,051","Historical, Medical"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,8.90,1008,21,241,Movie,1,Finished Airing,"Jul 6, 2013",,,"TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,1 hr. 50 min.,PG-13 - Teens 13 or older,"2,120","Gag Humor, Historical, Parody, Samurai, Time Travel"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,8.89,322,22,655,TV Special,2,Finished Airing,"Mar 4, 2023 to Nov 5, 2023",,,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises","None found, add some",MAPPA,Manga,"Action, Drama, Suspense",Shounen,1 hr. 12 min. per ep.,R - 17+ (violence & profanity),"15,449","Gore, Military, Survival"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Gintama.: Silver Soul Arc - Second Half War,8.88,1214,24,200,TV,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,Mondays at 01:35 (JST),"TV Tokyo,       Aniplex,       Dentsu,       Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"1,048","Gag Humor, Historical, Parody, Samurai"
Monster,,8.88,131,23,1,TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,Wednesdays at 00:40 (JST),"VAP,       Shogakukan-Shueisha Productions,       Nippon Television Network",VIZ Media,Madhouse,Manga,"Drama, Mystery, Suspense",Seinen,24 min. per ep.,R+ - Mild Nudity,"53,187","Adult Cast, Psychological"
Violet Evergarden Movie,Violet Evergarden: The Movie,8.86,354,26,616,Movie,1,Finished Airing,"Sep 18, 2020",,,"Shochiku,       ABC Animation",Funimation,Kyoto Animation,Light novel,"Award Winning, Drama, Fantasy",,2 hr. 20 min.,PG-13 - Teens 13 or older,"8,813",
Owarimonogatari 2nd Season,Owarimonogatari Second Season,8.87,575,25,401,TV Special,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",,,"Aniplex,       Kodansha",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Supernatural",,22 min. per ep.,R - 17+ (violence & profanity),"8,661",Vampire
Boku no Kokoro no Yabai Yatsu 2nd Season,The Dangers in My Heart Season 2,8.85,1324,27,182,TV,13,Finished Airing,"Jan 7, 2024 to Mar 31, 2024",Winter 2024,Sundays at 01:30 (JST),"Dentsu,       TV Asahi,       Movic,       Magic Capsule,       Avex Pictures,       Akita Shoten,       BS Asahi,       TV Asahi Music",Sentai Filmworks,Shin-Ei Animation,Manga,"Comedy, Romance",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"4,130",School
