Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Tomo-chan wa Onnanoko!,Tomo-chan Is a Girl!,7.78,579,1030,398,TV,13,Finished Airing,"Jan 5, 2023 to Mar 30, 2023",Winter 2023,Thursdays at 00:30 (JST),"Aniplex,       Seikaisha,       Crunchyroll,       INSPION Edge,       Three S Studio","None found, add some",Lay-duce,Web manga,"Comedy, Romance",School,23 min. per ep.,PG-13 - Teens 13 or older,"2,897",
Yuukoku no Moriarty OVA,Moriarty the Patriot OVA,7.78,3553,1031,40,OVA,2,Finished Airing,"Apr 27, 2022",,,"Mainichi Broadcasting System,       Shueisha,       Yomiuri TV Enterprise,       Bandai Namco Arts,       Bandai Spirits","None found, add some",Production I.G,Manga,"Mystery, Suspense","Adult Cast, Historical, Psychological",23 min. per ep.,R - 17+ (violence & profanity),158,Shounen
Aria the Crepuscolo,,7.78,5804,1032,12,Movie,1,Finished Airing,"Mar 5, 2021",,,Shochiku,"None found, add some",J.C.Staff,Manga,"Fantasy, Sci-Fi, Slice of Life",Iyashikei,1 hr.,PG-13 - Teens 13 or older,41,Shounen
Beastars 2nd Season,,7.78,511,1033,444,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 00:55 (JST),"Movic,       Fuji TV,       Bandai,       BS Fuji,       TOHO animation,       Q-Tec,       Akita Shoten,       Hakuhodo DY Media Partners,       Bandai Spirits,       Toho Music","None found, add some",Orange,Manga,"Drama, Suspense","Anthropomorphic, Psychological, School",22 min. per ep.,R - 17+ (violence & profanity),"2,216",Shounen
Chuan Shu Zijiu Zhinan,Scumbag System,7.78,4908,1034,19,ONA,10,Finished Airing,"Sep 10, 2020 to Oct 1, 2020",,,"Tencent Penguin Pictures,       iQIYI,       Sony Music Solutions","None found, add some",Djinn Power,Web novel,"Comedy, Drama, Fantasy","Historical, Isekai, Mythology",19 min. per ep.,R - 17+ (violence & profanity),515,
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","Clannad: After Story - Another World, Kyou Chapter",7.78,924,1035,265,Special,1,Finished Airing,"Jul 1, 2009",,,Animation Do,Sentai Filmworks,Kyoto Animation,Visual novel,"Drama, Romance",School,23 min.,PG-13 - Teens 13 or older,583,
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem,7.78,3163,1036,49,OVA,1,Finished Airing,"Jul 24, 2009",,,"None found, add some","None found, add some",Sunrise,Original,Action,"Mecha, Military, Super Power",1 hr. 56 min.,R - 17+ (violence & profanity),84,
Digimon Adventure,Digimon: Digital Monsters,7.78,570,1038,404,TV,54,Finished Airing,"Mar 7, 1999 to Mar 26, 2000",Spring 1999,Sundays at 09:00 (JST),"Yomiko Advertising,       Fuji TV","Discotek Media,       Saban Entertainment,       Flatiron Film Company",Toei Animation,Other,"Action, Adventure, Comedy, Fantasy",Isekai,24 min. per ep.,PG - Children,"5,405",Kids
Free! Movie 5: The Final Stroke - Kouhen,,7.78,4040,1039,30,Movie,1,Finished Airing,"Apr 22, 2022",,,ABC Animation,"None found, add some",Kyoto Animation,Original,Sports,School,1 hr. 45 min.,PG-13 - Teens 13 or older,195,
Coquelicot-zaka kara,From Up on Poppy Hill,7.78,1179,1037,206,Movie,1,Finished Airing,"Jul 16, 2011",,,Nippon Television Network,GKIDS,Studio Ghibli,Manga,"Award Winning, Romance","Historical, School",1 hr. 35 min.,G - All Ages,"1,212",Shoujo
