Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Hakaba Kitarou,Graveyard Kitaro,6.87,5858,4776,12,TV,11,Finished Airing,"Jan 11, 2008 to Mar 21, 2008","Dentsu,       Yomiko Advertising,       SKY Perfect Well Think,       Fuji TV,       Asmik Ace,       Sony Music Entertainment,       Fujipacific Music","None found, add some",Toei Animation,Manga,"Horror, Supernatural",,25 min. per ep.,PG-13 - Teens 13 or older,45,Winter 2008,Fridays at 00:45 (JST),
Houkago no Oujisama,,6.87,9937,4780,3,Special,5,Finished Airing,"Oct 29, 2014 to Jun 26, 2015",M.S.C,"None found, add some","None found, add some",Manga,Comedy,Shounen,7 min. per ep.,PG-13 - Teens 13 or older,11,,,School
Hotori: Tada Saiwai wo Koinegau,,6.87,7660,4779,6,TV Special,1,Finished Airing,"Aug 28, 2005","None found, add some","None found, add some",Sunrise,Unknown,"Drama, Sci-Fi",,40 min.,PG-13 - Teens 13 or older,7,,,
Ikebukuro West Gate Park,,6.87,1827,4782,120,TV,12,Finished Airing,"Oct 6, 2020 to Dec 22, 2020","Nippon Columbia,       Kadokawa",Funimation,Doga Kobo,Novel,"Drama, Mystery",,23 min. per ep.,PG-13 - Teens 13 or older,366,Fall 2020,Tuesdays at 21:00 (JST),Delinquents
Ibara no Ou,King of Thorn,6.87,2478,4781,76,Movie,1,Finished Airing,"Oct 9, 2009","TV Tokyo,       Bandai Visual,       Dentsu,       Kadokawa Pictures Japan,       Enterbrain,       Sony PCL",Funimation,Sunrise,Manga,"Action, Horror, Mystery, Sci-Fi, Suspense",Seinen,1 hr. 50 min.,R+ - Mild Nudity,167,,,"Gore, Psychological, Survival"
Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,Ghost in the Shell: Stand Alone Complex - Solid State Society: Uchikomatic Days,6.87,5846,4784,12,Special,1,Finished Airing,"Jul 24, 2007","None found, add some",Bandai Entertainment,Production I.G,Manga,"Comedy, Sci-Fi",,4 min.,PG - Children,12,,,Mecha
Key the Metal Idol,,6.87,4421,4783,25,OVA,15,Finished Airing,"Dec 16, 1994 to Jun 18, 1997","Pony Canyon,       Fuji TV,       Fuji Creative","VIZ Media,       Discotek Media",Pierrot,Original,"Action, Award Winning, Drama, Sci-Fi",,34 min. per ep.,R+ - Mild Nudity,136,,,"Mecha, Music, Psychological"
Kowarekake no Orgel Special,,6.87,6370,4785,10,Special,1,Finished Airing,"Dec 24, 2010",ElectromagneticWave,"None found, add some","None found, add some",Original,"Drama, Sci-Fi",,8 min.,G - All Ages,2,,,
Moshidora,,6.87,4681,4786,22,TV,10,Finished Airing,"Apr 25, 2011 to May 6, 2011",NHK,"None found, add some",Production I.G,Novel,"Drama, Sports",,25 min. per ep.,PG-13 - Teens 13 or older,21,Spring 2011,Mondays at 22:55 (JST),Team Sports
Mushikaburi-hime,Bibliophile Princess,6.87,2544,4787,73,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022","AT-X,       Tokyo MX,       Kansai Telecasting,       Ichijinsha,       BS NTV,       Kadokawa",Sentai Filmworks,Madhouse,Light novel,"Drama, Fantasy, Romance",Josei,23 min. per ep.,PG-13 - Teens 13 or older,458,Fall 2022,Thursdays at 21:00 (JST),
Nekomonogatari: Kuro Recap,Nekomonogatari Black Recap,6.87,6007,4790,11,Special,1,Finished Airing,"Mar 6, 2013","None found, add some","None found, add some",Shaft,Light novel,Supernatural,,2 min.,R - 17+ (violence & profanity),12,,,
Nakanohito Genome [Jikkyouchuu],The Ones Within,6.87,1704,4788,133,TV,12,Finished Airing,"Jul 7, 2019 to Sep 22, 2019","Lantis,       AT-X,       Docomo Anime Store,       Kadokawa Media House,       Kadokawa,       Muse Communication,       Bandai Namco Arts,       Bit Promotion",Funimation,SILVER LINK.,Web manga,"Adventure, Drama, Mystery",,23 min. per ep.,PG-13 - Teens 13 or older,595,Summer 2019,Sundays at 22:00 (JST),Video Game
Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,Naruto: Hidden Leaf Village Grand Sports Festival,6.87,2442,4789,78,Special,1,Finished Airing,"Aug 21, 2004","Bandai,       TV Tokyo Music",VIZ Media,Pierrot,Original,Comedy,Shounen,11 min.,PG-13 - Teens 13 or older,68,,,
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,My Next Life as a Villainess: All Routes Lead to Doom! X: I Met My Destined One...,6.87,4381,4791,25,OVA,1,Finished Airing,"Sep 30, 2021","None found, add some","None found, add some",SILVER LINK.,Light novel,"Comedy, Drama, Fantasy, Romance",Shoujo,28 min.,PG-13 - Teens 13 or older,38,,,"Isekai, Reincarnation, Reverse Harem, School"
Pokemon Movie 13: Genei no Hasha Zoroark,Pokémon: Zoroark: Master of Illusions,6.87,2495,4792,75,Movie,1,Finished Airing,"Jul 10, 2010",Studio Jack,"VIZ Media,       The Pokemon Company International",OLM,Game,"Action, Adventure, Fantasy",Kids,1 hr. 36 min.,PG - Children,30,,,
Qin Shi Mingyue: Tian Xing Jiu Ge,,6.87,11496,4794,1,ONA,60,Finished Airing,"Mar 10, 2016 to Jul 5, 2018","None found, add some","None found, add some",Sparkly Key Animation Studio,Original,"Action, Fantasy",,15 min. per ep.,PG-13 - Teens 13 or older,8,,,"Historical, Martial Arts"
s.CRY.ed Alteration I: Tao,,6.87,8440,4795,5,Movie,1,Finished Airing,"Nov 19, 2011","None found, add some","None found, add some",Sunrise,Original,"Action, Adventure, Sci-Fi",,1 hr. 36 min.,PG-13 - Teens 13 or older,3,,,Super Power
Saint Seiya: Kamigami no Atsuki Tatakai,Saint Seiya: The Heated Battle of the Gods,6.87,5084,4796,18,Movie,1,Finished Airing,"Mar 12, 1988","None found, add some",Discotek Media,Toei Animation,Manga,"Adventure, Sci-Fi",Shounen,45 min.,PG-13 - Teens 13 or older,21,,,
Princess Principal: Crown Handler Movie 1 - Busy Easy Money,Princess Principal: Crown Handler Chapter 1 - Busy Easy Money,6.87,7785,4793,6,Special,1,Finished Airing,"Sep 28, 2021","None found, add some",Sentai Filmworks,Actas,Original,"Comedy, Mystery",,6 min.,R - 17+ (violence & profanity),19,,,Historical
Shin Tenchi Muyou!,Tenchi in Tokyo,6.87,3668,4797,37,TV,26,Finished Airing,"Apr 1, 1997 to Sep 23, 1997","TV Tokyo,       Pioneer LDC","Funimation,       Geneon Entertainment USA",AIC,Original,"Comedy, Romance, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,83,Spring 1997,Tuesdays at 18:00 (JST),Harem
Sora no Method: Aru Shoujo no Kyuujitsu★,,6.87,6360,4798,10,Special,1,Finished Airing,"Jul 24, 2015","Bandai Visual,       Lantis,       Good Smile Company","None found, add some",Studio 3Hz,Original,"Comedy, Fantasy",,11 min.,PG-13 - Teens 13 or older,13,,,
Soukou Kihei Votoms: Koei Futatabi,Armored Trooper Votoms: Alone Again,6.87,9524,4799,3,OVA,1,Finished Airing,"Jan 8, 2011","None found, add some","None found, add some",Sunrise,Original,"Action, Drama, Sci-Fi",,49 min.,PG-13 - Teens 13 or older,1,,,"Mecha, Military"
Tsuyoshi Shikkari Shinasai,,6.87,9887,4803,3,TV,112,Finished Airing,"Oct 4, 1992 to Dec 25, 1994",Studio Comet,"None found, add some","None found, add some",Manga,"Comedy, Drama, Romance, Slice of Life",Seinen,22 min. per ep.,PG-13 - Teens 13 or older,8,Fall 1992,Unknown,School
Starmyu,,6.87,3290,4800,45,TV,12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015",NBCUniversal Entertainment Japan,Funimation,C-Station,Original,,,24 min. per ep.,PG-13 - Teens 13 or older,249,Fall 2015,Tuesdays at 00:00 (JST),"Idols (Male), Music, Performing Arts, School"
Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou,,6.87,8978,4802,4,TV,12,Finished Airing,"Apr 5, 2015 to Jun 28, 2015","Bouncy,       Just Production,       JP Room","None found, add some",Yaoyorozu,Original,Comedy,,23 min. per ep.,PG-13 - Teens 13 or older,15,Spring 2015,Sundays at 02:20 (JST),"Parody, School"
