Name,English_title,Score,Popularity,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics,Positive_ratio,Total_reviews
Magical Canan,Magical Kanan,6.09,7714,TV,13,Finished Airing,"Jan 1, 2005 to Mar 26, 2005","None found, add some",Discotek Media,AIC ASTA,Visual novel,"Drama, Fantasy, Ecchi",Mahou Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,8,Winter 2005,Saturdays at 10:00 (JST),,0,0
Manga Doushite Monogatari,,6.09,16120,TV,100,Finished Airing,"Apr 7, 1984 to Mar 29, 1986",DAX Production,"None found, add some","None found, add some",Unknown,"Adventure, Comedy",Educational,25 min. per ep.,G - All Ages,0,Spring 1984,Unknown,Kids,0,0
Mofa Ya Ma,Grandma and Her Ghosts,6.09,16817,Movie,1,Finished Airing,03-Apr-98,"None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Fantasy",,1 hr. 19 min.,PG-13 - Teens 13 or older,1,,,,0,0
Nekota no Koto ga Kininatte Shikatanai. (ONA),,6.09,11542,ONA,4,Finished Airing,"Apr 7, 2015 to Apr 28, 2015","None found, add some","None found, add some","None found, add some",Manga,,School,1 min. per ep.,G - All Ages,2,,,Shoujo,0,0
Okawari-Boy Starzan-S,,6.09,13208,TV,34,Finished Airing,"Jan 7, 1984 to Aug 25, 1984","None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Adventure, Sci-Fi",,23 min. per ep.,G - All Ages,1,Winter 1984,Saturdays at 18:30 (JST),,0,0
Puchimas!: Petit iDOLM@STER (OVA),,6.09,13068,OVA,2,Finished Airing,"Mar 26, 2018 to Nov 26, 2018","None found, add some","None found, add some","None found, add some",4-koma manga,"Comedy, Slice of Life","Idols (Female), Music, Parody",11 min. per ep.,G - All Ages,1,,,Seinen,0,0
Sacred Seven: Shirogane no Tsubasa Picture Drama,Sacred Seven: Wings of the Silver Moon Picture Drama,6.09,10147,Special,2,Finished Airing,20-Apr-12,"None found, add some","None found, add some",Sunrise,Original,"Action, Comedy, Sci-Fi","School, Super Power",12 min. per ep.,PG-13 - Teens 13 or older,0,,,,0,0
Seupideuwang Beongae,Wings of Dragon,6.09,14518,TV,26,Finished Airing,"May 18, 1998 to Aug 18, 1998","None found, add some","None found, add some","None found, add some",Light novel,Sports,"School, Strategy Game",24 min. per ep.,,1,Spring 1998,Unknown,,0,0
Sore Ike! Anpanman: Inochi no Hoshi no Dolly,Anpanman: Star-Spirited Dollie,6.09,14746,Movie,1,Finished Airing,15-Jul-06,"None found, add some","None found, add some",TMS Entertainment,Unknown,Fantasy,,51 min.,PG - Children,1,,,Kids,0,0
Sore Ike! Anpanman: Ringo Boy to Minna no Negai,Anpanman: Apple Boy and Everyone's Hope,6.09,15422,Movie,1,Finished Airing,05-Jul-14,"None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",,46 min.,PG - Children,0,,,Kids,0,0
"Soukou Kihei Votoms Vol.II: Highlights from the ""A.T.Votoms""",,6.09,12996,OVA,1,Finished Airing,20-Jul-85,"None found, add some",Maiden Japan,Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military",57 min.,PG - Children,0,,,,0,0
Suki na Ko ga Megane wo Wasureta Short Episode Specials,The Girl I Like Forgot Her Glasses Short Episode Specials,6.09,14794,Special,3,Finished Airing,"Dec 20, 2023 to Feb 28, 2024","None found, add some","None found, add some",GoHands,Manga,Comedy,"Romantic Subtext, School",46 sec. per ep.,PG-13 - Teens 13 or older,1,,,,0,0
Uchuujin Tanaka Tarou,Taro the Space Alien,6.09,13023,TV,24,Finished Airing,"Apr 17, 2000 to Mar 26, 2001","None found, add some",VIZ Media,"None found, add some",Manga,Comedy,School,20 min. per ep.,G - All Ages,2,Spring 2000,Unknown,Kids,0,0
"Wake Up, Girls! no Miyagi PR Yarasete Kudasai!",,6.09,10687,Special,1,Finished Airing,11-Feb-16,"DIVE II Entertainment,       Avex Pictures","None found, add some",Ordet,Original,Drama,,7 min.,PG-13 - Teens 13 or older,1,,,,0,0
Yomigaeru Sora Pilot,,6.09,12482,Special,1,Finished Airing,27-Oct-06,Bandai Visual,"None found, add some",J.C.Staff,Original,Action,"Adult Cast, Military, Workplace",3 min.,PG - Children,0,,,,0,0
Yukiwatari,,6.09,15584,Movie,1,Finished Airing,16-Jul-94,"None found, add some","None found, add some",Magic Bus,Novel,Fantasy,,22 min.,G - All Ages,1,,,,0,0
Black Bullet: Tenchuu＊Girls,,6.08,4902,Special,1,Finished Airing,08-Oct-14,Orange,"None found, add some",Kinema Citrus,Light novel,Fantasy,,1 min.,G - All Ages,9,,,,0,2
Ninja Batman,Batman Ninja,6.08,2888,Movie,1,Finished Airing,15-Jun-18,Warner Bros. Japan,Warner Bros. Pictures,Kamikaze Douga,Other,Action,"Martial Arts, Samurai, Time Travel",1 hr. 25 min.,PG-13 - Teens 13 or older,108,,,,0.45,37
SoniAni: Super Sonico The Animation,Soni-Ani: Super Sonico The Animation,6.08,2281,TV,12,Finished Airing,"Jan 6, 2014 to Mar 24, 2014","Genco,       Pony Canyon,       Movic,       Half H.P Studio,       AT-X,       Nitroplus,       KlockWorx,       Showgate,       Good Smile Company",Sentai Filmworks,White Fox,Other,Comedy,"Adult Cast, Music",23 min. per ep.,PG-13 - Teens 13 or older,214,Winter 2014,Unknown,,0.53,28
BlazBlue: Alter Memory,,6.08,2251,TV,12,Finished Airing,"Oct 9, 2013 to Dec 25, 2013","Lantis,       Studio Mausu",Funimation,"Hoods Entertainment,       teamKG",Game,"Action, Fantasy",Super Power,24 min. per ep.,R - 17+ (violence & profanity),149,Fall 2013,Wednesdays at 01:30 (JST),,0.34,21
Tribe Nine,,6.08,3297,TV,12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022","Lantis,       Docomo Anime Store,       JR East Marketing & Communications,       Bandai Namco Arts",Funimation,LIDENFILMS,Mixed media,"Sci-Fi, Sports",Team Sports,23 min. per ep.,R - 17+ (violence & profanity),225,Winter 2022,Mondays at 22:30 (JST),,0.45,17
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,Special 7: Special Crime Investigation Unit,6.08,3191,TV,12,Finished Airing,"Oct 6, 2019 to Dec 29, 2019","Frontier Works,       Lantis,       Sega,       AT-X,       Ai Addiction,       Hakuhodo DY Music & Pictures,       Yomiuri TV Enterprise,       Kadokawa,       Bandai Namco Arts,       Toyo Recording,       arma bianca",Funimation,Anima&Co.,Original,"Action, Fantasy, Mystery","Detective, Vampire",23 min. per ep.,PG-13 - Teens 13 or older,44,Fall 2019,Sundays at 21:00 (JST),,0.34,15
Dive!!,,6.08,3057,TV,12,Finished Airing,"Jul 7, 2017 to Sep 22, 2017","Aniplex,       Dentsu,       Fuji TV,       DMM pictures",Sentai Filmworks,Zero-G,Novel,"Drama, Sports",,22 min. per ep.,PG-13 - Teens 13 or older,75,Summer 2017,Fridays at 00:55 (JST),,0.34,14
Final Fantasy,Legend of the Crystals: Final Fantasy,6.08,5336,OVA,4,Finished Airing,"Mar 21, 1994 to Jul 21, 1994",Square Enix,Urban Vision,Madhouse,Game,"Action, Adventure, Comedy, Fantasy",,30 min. per ep.,PG-13 - Teens 13 or older,22,,,,0.52,8
Ozma,,6.08,5377,TV,6,Finished Airing,"Mar 17, 2012 to Apr 21, 2012","WOWOW,       Pony Canyon,       Planet,       Viki,       Slow Curve,       Cyclone Graphics","None found, add some","Gonzo,       LandQ studios",Original,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,7,Spring 2012,Unknown,,0.43,8
Biohazard 4: Incubate,,6.08,6841,OVA,1,Finished Airing,28-Sep-06,Capcom,"None found, add some","None found, add some",Game,"Action, Horror, Mystery, Supernatural, Suspense","Detective, Military, Mythology",1 hr. 22 min.,R - 17+ (violence & profanity),7,,,,0.25,5
Kaze no Matasaburou (Movie),MATASABURO of the Wind,6.08,9271,Movie,1,Finished Airing,19-Mar-16,"None found, add some","None found, add some",Buemon,Novel,"Fantasy, Supernatural",,22 min.,G - All Ages,4,,,,0.55,5
Kujibiki Unbalance,,6.08,5847,OVA,3,Finished Airing,"Dec 22, 2004 to Apr 22, 2005","Genco,       Lantis,       Kids Station,       Toshiba Entertainment",Media Blasters,Palm Studio,Other,"Comedy, Romance",School,25 min. per ep.,PG-13 - Teens 13 or older,7,,,,0.67,4
Metal Fighter Miku,,6.08,8313,TV,13,Finished Airing,"Jul 8, 1994 to Sep 30, 1994","Victor Entertainment,       Studio Jack","Media Blasters,       Central Park Media",J.C.Staff,Original,"Comedy, Sci-Fi, Sports",Combat Sports,22 min. per ep.,PG-13 - Teens 13 or older,17,Summer 1994,Unknown,,0.65,4
Namu Amida Butsu! Rendai Utena,NAMUAMIDABUTSU! -UTENA-,6.08,5435,TV,12,Finished Airing,"Apr 8, 2019 to Jun 24, 2019",DMM pictures,Sentai Filmworks,Asahi Production,Game,Fantasy,,24 min. per ep.,PG-13 - Teens 13 or older,31,Spring 2019,Mondays at 22:30 (JST),,0.56,4
Tong Zhi Zhe,,6.08,11676,ONA,10,Finished Airing,"Dec 31, 2015 to Mar 17, 2016",Tencent Animation & Comics,"None found, add some","None found, add some",Web manga,"Adventure, Horror",Detective,10 min. per ep.,R - 17+ (violence & profanity),7,,,,0.39,3
Hi-Speed Jecy,High Speed Jessie,6.08,11212,OVA,12,Finished Airing,"Sep 5, 1989 to Mar 5, 1990",VAP,"None found, add some",Pierrot,Light novel,"Action, Sci-Fi",,28 min. per ep.,R - 17+ (violence & profanity),1,,,,0.51,3
Softenni Specials,,6.08,8779,Special,6,Finished Airing,"Jun 22, 2011 to Nov 23, 2011","None found, add some",Sentai Filmworks,Xebec,Manga,"Comedy, Ecchi",,3 min. per ep.,R+ - Mild Nudity,2,,,,0.62,2
Terra Formars: Earth-hen,,6.08,6139,OVA,2,Finished Airing,"Aug 17, 2018 to Nov 19, 2018",Shueisha,"None found, add some","TYO Animations,       LIDENFILMS",Manga,"Action, Horror, Sci-Fi, Suspense","Gore, Space, Survival",26 min. per ep.,R - 17+ (violence & profanity),7,,,Seinen,0.35,2
Utsunomiko: Heaven Chapter,,6.08,12126,OVA,13,Finished Airing,"Oct 24, 1990 to Feb 19, 1992","None found, add some","None found, add some",Toei Animation,Light novel,"Adventure, Fantasy",Mythology,25 min. per ep.,R+ - Mild Nudity,1,,,,0.39,2
Licca-chan Fushigi na Fushigi na Yunia Monogatari,,6.08,11820,OVA,2,Finished Airing,23-Nov-90,"None found, add some","None found, add some",Ajia-do,Other,Adventure,,27 min. per ep.,PG - Children,1,,,Kids,0.55,2
Majutsushi Orphen Hagure Tabi: Tennin no Isan,Sorcerous Stabber Orphen: Celestial Artifacts,6.08,6224,Special,1,Finished Airing,08-May-20,MediaNet Pictures,Funimation,Studio Deen,Light novel,"Action, Adventure, Drama, Fantasy",Martial Arts,23 min.,PG-13 - Teens 13 or older,5,,,,0.31,2
Samurai Spirits 2: Asura Zanmaden,Samurai Spirits 2,6.08,10197,OVA,2,Finished Airing,"Jun 25, 1999 to Sep 30, 1999","None found, add some","None found, add some",Ajia-do,Game,"Action, Fantasy","Martial Arts, Samurai, Super Power",30 min. per ep.,R - 17+ (violence & profanity),2,,,,0.39,2
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,,6.08,6836,TV,13,Finished Airing,"Jun 30, 2004 to Sep 22, 2004","None found, add some","None found, add some",Radix,Visual novel,"Comedy, Drama, Romance, Sci-Fi","Harem, Time Travel",12 min. per ep.,PG-13 - Teens 13 or older,8,Summer 2004,Unknown,,0.55,1
TV Yarou Nanaana: Wakuwaku Doukutsu Land,,6.08,12392,TV,24,Finished Airing,"Apr 11, 2019 to Sep 19, 2019","None found, add some","None found, add some",Studio Crocodile,Original,"Adventure, Comedy",Workplace,3 min. per ep.,PG-13 - Teens 13 or older,3,Spring 2019,Thursdays at 07:30 (JST),,0.65,1
Yamatarou Kaeru,Yamataro Comes Back,6.08,12075,OVA,1,Finished Airing,15-Aug-86,"None found, add some","None found, add some",Tezuka Productions,Manga,,,24 min.,G - All Ages,1,,,Kids,0.5,1
Apache Yakyuugun,Apache Baseball Team,6.08,13146,TV,26,Finished Airing,"Oct 6, 1971 to Mar 29, 1972","None found, add some","None found, add some",Toei Animation,Manga,Sports,"School, Team Sports",25 min. per ep.,G - All Ages,3,Fall 1971,Wednesdays at 19:30 (JST),,0.86,1
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie,,6.08,12062,Movie,1,Finished Airing,19-Dec-98,"None found, add some","None found, add some",Ashi Productions,Other,"Action, Adventure, Sci-Fi","Mecha, Space",46 min.,G - All Ages,2,,,,0.61,1
Bocchan,,6.08,11603,TV Special,1,Finished Airing,13-Jun-80,"None found, add some","None found, add some",TMS Entertainment,Novel,Comedy,Historical,1 hr. 12 min.,PG-13 - Teens 13 or older,1,,,,0.55,1
Chouriki Robo Galatt,,6.08,12671,TV,25,Finished Airing,"Oct 5, 1984 to Apr 5, 1985","None found, add some","None found, add some",Sunrise,Unknown,"Action, Adventure, Comedy, Sci-Fi",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,0,Fall 1984,Unknown,,0.74,1
D4 Princess,,6.08,9405,TV,24,Finished Airing,"Apr 6, 1999 to Sep 28, 1999",Pony Canyon,"None found, add some",Daume,Manga,"Action, Comedy, Sci-Fi",Mecha,8 min. per ep.,PG-13 - Teens 13 or older,3,Spring 1999,Unknown,,0.51,1
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana OVA,,6.08,8891,OVA,1,Finished Airing,24-Jan-20,"None found, add some","None found, add some",Anima&Co.,Original,"Action, Fantasy","Detective, Vampire",23 min.,,2,,,,0.45,1
"Little Polar Bear: Shirokuma-kun, Doko e?",,6.08,14624,Movie,1,Finished Airing,28-Apr-90,Movic,"None found, add some","Production I.G,       animate Film",Book,"Adventure, Fantasy",Anthropomorphic,30 min.,PG - Children,1,,,Kids,0.56,1
Mangchi,Hammerboy,6.08,12688,Movie,1,Finished Airing,06-Aug-04,"None found, add some",Central Park Media,"None found, add some",Unknown,"Adventure, Comedy, Fantasy",,1 hr. 12 min.,PG - Children,2,,,,0.49,1
Meitantei Pikachu: Kareinaru Morning Routine,Detective Pikachu & the Mystery of the Missing Flan,6.08,14987,ONA,1,Finished Airing,25-Oct-23,"The Pokemon Company International,       Glovision,       Creatures Inc.","None found, add some",Polygon Pictures,Game,"Comedy, Fantasy",,6 min.,PG - Children,1,,,Kids,1,1
Nagareboshi Lens Specials,,6.08,9635,Special,3,Finished Airing,"Oct 2, 2012 to Oct 16, 2012",TV Tokyo,"None found, add some","None found, add some",Manga,Romance,,1 min. per ep.,G - All Ages,3,,,Shoujo,0.2,1
Obocchama-kun,,6.08,13175,TV,164,Finished Airing,"Jan 14, 1989 to Sep 26, 1992",TV Asahi,"None found, add some",Shin-Ei Animation,Manga,Comedy,Parody,25 min. per ep.,PG-13 - Teens 13 or older,4,Winter 1989,Saturdays at 19:30 (JST),,0.46,1
Queen's Blade: Rebellion Specials,,6.08,6391,Special,6,Finished Airing,"Jun 27, 2012 to Nov 28, 2012","Genco,       Media Factory,       Hobby Japan","Sentai Filmworks,       NYAV Post",Arms,Other,Ecchi,,3 min. per ep.,R+ - Mild Nudity,2,,,,0.49,1
Socket,,6.08,17833,Movie,1,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Unknown,,,10 min.,G - All Ages,0,,,Kids,0,0
Tamagotchi! Miracle Friends,,6.08,14701,TV,29,Finished Airing,"Sep 5, 2013 to Mar 27, 2014","None found, add some","None found, add some",OLM,Unknown,"Comedy, Fantasy",,23 min. per ep.,G - All Ages,1,Fall 2013,Unknown,Kids,0,0
Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama,The Genius Prince's Guide to Raising a Nation Out of Debt: Short Drama,6.08,9491,ONA,5,Finished Airing,"Aug 12, 2021 to Dec 24, 2021",Studio Mausu,"None found, add some",AQUA ARIS,Light novel,"Comedy, Fantasy, Slice of Life",,2 min. per ep.,PG-13 - Teens 13 or older,3,,,,0,0
Toshiwasure Guda Guda Order 2016,Farewell to 2016 Guda Guda Order,6.08,11298,Special,1,Finished Airing,31-Dec-16,Studio Mausu,"None found, add some",TROYCA,Game,Comedy,,6 min.,PG-13 - Teens 13 or older,4,,,,0,0
Wanpaku Tanteidan,,6.08,12743,TV,35,Finished Airing,"Feb 1, 1968 to Sep 26, 1968",Fuji TV,"None found, add some",Mushi Production,Unknown,"Action, Mystery",,25 min. per ep.,PG-13 - Teens 13 or older,1,Winter 1968,Unknown,,0,0
Watanuki-san Chi to,,6.08,11922,TV,12,Finished Airing,"Apr 6, 2020 to Jun 22, 2020","None found, add some","None found, add some","None found, add some",Other,Slice of Life,,23 min. per ep.,PG-13 - Teens 13 or older,5,Spring 2020,Mondays at 01:35 (JST),,0,0
Yurumates 3D Plus: Natsuyasumi Maison du Wish Report,,6.08,13229,OVA,1,Finished Airing,30-Aug-12,"None found, add some","None found, add some","None found, add some",4-koma manga,"Comedy, Slice of Life",,3 min.,PG-13 - Teens 13 or older,0,,,Seinen,0,0
Zhandou Wang Zhi Jufeng Zhan Hun 3,Infinity Nado 3,6.08,14593,TV,40,Finished Airing,"Sep 3, 2015 to Oct 12, 2015",Alpha Group Co. Ltd.,"None found, add some",Alpha Animation,Original,Action,,23 min. per ep.,PG - Children,4,Fall 2015,Unknown,,0,0
A New Journey,,6.08,10782,ONA,1,Finished Airing,18-Jan-19,"None found, add some","None found, add some",P.A. Works,Game,Action,Video Game,1 min.,PG-13 - Teens 13 or older,4,,,,0,0
Big X,,6.08,11983,TV,59,Finished Airing,"Aug 3, 1964 to Sep 27, 1965","None found, add some","None found, add some",Tokyo Movie Shinsha,Manga,"Action, Sci-Fi",Historical,25 min. per ep.,G - All Ages,4,Summer 1964,Unknown,Shounen,0,0
Closure no Kimitsu File,Closure's Secret Files,6.08,17415,ONA,17,Finished Airing,"May 16, 2021 to Nov 21, 2021","None found, add some","None found, add some",Yostar Pictures,Game,Comedy,,2 min. per ep.,G - All Ages,1,,,,0,0
Dahua Zhi Shaonian You,Big Talk Youth Tour,6.08,14369,ONA,16,Finished Airing,"Aug 15, 2020 to Nov 20, 2020","None found, add some","None found, add some",DC Impression Vision,Game,Action,,16 min. per ep.,PG-13 - Teens 13 or older,2,,,,0,0
dMatsu-san,,6.08,11295,ONA,12,Finished Airing,"Jan 9, 2018 to Mar 27, 2018","None found, add some","None found, add some",Pierrot,Manga,Comedy,"Gag Humor, Parody",1 min. per ep.,PG-13 - Teens 13 or older,3,,,,0,0
Gebäude Bäude,,6.08,12175,TV,10,Finished Airing,"Nov 8, 2020 to Dec 10, 2020","None found, add some","None found, add some",Jinnis Animation Studios,Original,"Comedy, Sci-Fi",,2 min. per ep.,G - All Ages,4,Fall 2020,Unknown,,0,0
Golden Douga Gekijou Specials,,6.08,12709,Special,7,Finished Airing,"Jul 27, 2018 to Sep 27, 2023","None found, add some","None found, add some","W-Toon Studio,       DMM.futureworks",Manga,Comedy,,26 sec. per ep.,R - 17+ (violence & profanity),0,,,,0,0
Haha wo Tazunete Sanzenri Specials,,6.08,15655,TV Special,2,Finished Airing,2001,"None found, add some","None found, add some",Nippon Animation,Unknown,"Adventure, Drama, Slice of Life",,45 min. per ep.,G - All Ages,0,,,,0,0
Lime-iro Senkitan: Nankoku Yume Roman,,6.08,9336,OVA,2,Finished Airing,"Apr 23, 2004 to Jun 25, 2004","KSS,       Soft Garage","None found, add some",Studio Hibari,Visual novel,"Action, Comedy, Ecchi",Mecha,28 min. per ep.,R - 17+ (violence & profanity),2,,,,0,0
Machikado Mazoku Mini,The Demon Girl Next Door Minis,6.08,8715,ONA,36,Finished Airing,"Jun 24, 2019 to Sep 30, 2019",Magic Capsule,Sentai Filmworks,AQUA ARIS,4-koma manga,Comedy,Mahou Shoujo,25 sec. per ep.,PG-13 - Teens 13 or older,2,,,,0,0
Mahou no Star Magical Emi: Semishigure,,6.08,12367,OVA,1,Finished Airing,21-Sep-86,"None found, add some","None found, add some",Pierrot,Original,Comedy,Mahou Shoujo,1 hr.,PG - Children,2,,,,0,0
Momoiro Sisters,,6.08,9801,TV,23,Finished Airing,"Aug 26, 1998 to Oct 6, 1998","None found, add some","None found, add some",Studio Deen,4-koma manga,Comedy,,6 min. per ep.,PG-13 - Teens 13 or older,3,Summer 1998,Unknown,,0,0
Obake no Q-tarou,,6.08,12917,TV,96,Finished Airing,"Aug 29, 1965 to Jun 28, 1967","None found, add some","None found, add some",Shin-Ei Animation,Manga,"Comedy, Slice of Life, Supernatural",School,25 min. per ep.,G - All Ages,0,Summer 1965,Unknown,,0,0
Perrine Monogatari Movie,,6.08,15419,Movie,1,Finished Airing,30-Jun-90,Bandai Visual,"None found, add some",Nippon Animation,Novel,Drama,Historical,1 hr. 50 min.,G - All Ages,0,,,,0,0
Seikaisuru Kado: Beyond Information,KADO: The Right Answer – Beyond Information,6.08,10424,ONA,1,Finished Airing,21-May-18,"None found, add some","None found, add some",Toei Animation,Original,Sci-Fi,Adult Cast,2 hr.,PG-13 - Teens 13 or older,4,,,,0,0
Seikaisuru Kado: Ekwari,KADO: The Right Answer – Ekwari,6.08,8305,TV Special,1,Finished Airing,19-May-17,"None found, add some","None found, add some",Toei Animation,Original,Sci-Fi,Adult Cast,23 min.,PG-13 - Teens 13 or older,0,,,,0,0
Osananajimi ga Zettai ni Makenai Love Comedy,Osamake: Romcom Where The Childhood Friend Won't Lose,6.07,917,TV,12,Finished Airing,"Apr 14, 2021 to Jun 30, 2021","AT-X,       Delfi Sound,       Sun TV,       Kadokawa","None found, add some",Doga Kobo,Light novel,"Comedy, Romance","Harem, School",23 min. per ep.,PG-13 - Teens 13 or older,"1,650",Spring 2021,Wednesdays at 21:00 (JST),,0.31,84
Shinobi no Ittoki,,6.07,1427,TV,12,Finished Airing,"Oct 4, 2022 to Dec 20, 2022","TMS Entertainment,       Toy's Factory,       DMM pictures,       DMM Music,       NetEase,       Vobile Japan","None found, add some",TROYCA,Original,Action,School,23 min. per ep.,PG-13 - Teens 13 or older,706,Fall 2022,Tuesdays at 20:00 (JST),,0.29,57
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,I Don't Like My Big Brother At All!,6.07,2217,TV,12,Finished Airing,"Jan 9, 2011 to Mar 27, 2011",Starchild Records,Media Blasters,Zexcs,Manga,"Comedy, Romance, Ecchi",Harem,23 min. per ep.,PG-13 - Teens 13 or older,86,Winter 2011,Sundays at 00:30 (JST),,0.41,44
Bem,,6.07,2558,TV,12,Finished Airing,"Jul 15, 2019 to Oct 14, 2019","TV Tokyo,       Nihon Ad Systems,       Pony Canyon,       KlockWorx,       flying DOG",Funimation,"Production I.G,       LandQ studios",Original,"Action, Supernatural",Mythology,24 min. per ep.,PG-13 - Teens 13 or older,97,Summer 2019,Mondays at 01:35 (JST),,0.34,14
Yumeria,,6.07,4183,TV,12,Finished Airing,"Jan 9, 2004 to Mar 26, 2004","None found, add some","ADV Films,       Sentai Filmworks",Studio Deen,Visual novel,"Action, Comedy, Ecchi","Harem, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,32,Winter 2004,Fridays at 00:30 (JST),,0.41,13
Youma,Blood Reign: Curse of the Yoma,6.07,6432,OVA,2,Finished Airing,"May 1, 1989 to Jun 1, 1989",animate Film,ADV Films,J.C.Staff,Manga,"Action, Drama, Horror, Supernatural, Suspense",Mythology,38 min. per ep.,R - 17+ (violence & profanity),28,,,Shoujo,0.32,10
Dragon Age: Blood Mage no Seisen,Dragon Age: Dawn of the Seeker,6.07,6409,Movie,1,Finished Airing,11-Feb-12,"None found, add some",Funimation,Oxybot,Game,"Action, Fantasy",,1 hr. 29 min.,R - 17+ (violence & profanity),10,,,,0.39,6
Majutsushi Orphen Hagure Tabi: Seiiki-hen,Sorcerous Stabber Orphen -Doom of Dragon's Sanctuary-,6.07,6285,TV,12,Finished Airing,"Apr 12, 2023 to Jun 28, 2023","WOWOW,       Bushiroad,       BS Fuji,       Nippon Television Network,       Yomiuri TV Enterprise,       TO Books,       NetEase,       MediaNet Pictures,       Bandai Namco Music Live","None found, add some",Studio Deen,Light novel,"Action, Adventure, Drama, Fantasy",Martial Arts,23 min. per ep.,PG-13 - Teens 13 or older,38,Spring 2023,Wednesdays at 20:30 (JST),,0.43,5
Stitch!,,6.07,7689,TV,25,Finished Airing,"Oct 8, 2008 to Mar 25, 2009","TV Asahi,       Disney Platform Distribution","None found, add some",Madhouse,Other,"Adventure, Comedy",,25 min. per ep.,PG - Children,14,Fall 2008,Unknown,Kids,0.29,4
Tattoon Master,,6.07,9301,OVA,2,Finished Airing,"Apr 26, 1996 to Aug 23, 1996",KSS,Media Blasters,AIC,Manga,"Adventure, Comedy, Slice of Life, Supernatural",,28 min. per ep.,PG-13 - Teens 13 or older,4,,,,0.44,4
Assemble Insert,,6.07,8546,OVA,2,Finished Airing,"Dec 21, 1989 to Feb 25, 1990",Tohokushinsha Film Corporation,"None found, add some",Studio Core,Manga,"Comedy, Sci-Fi",Detective,29 min. per ep.,PG-13 - Teens 13 or older,9,,,,0.73,3
Kataku,House of Flames,6.07,10460,Movie,1,Finished Airing,10-Dec-79,"None found, add some","None found, add some","None found, add some",Other,Supernatural,"Historical, Mythology",19 min.,PG-13 - Teens 13 or older,4,,,,0.41,2
Koneko no Studio,Kitty's Studio,6.07,11402,Movie,1,Finished Airing,09-Apr-59,"None found, add some","None found, add some",Toei Animation,Original,Comedy,,16 min.,G - All Ages,2,,,,0.52,2
Meng Ta: Xue Mi Cheng,Dream Tower,6.07,13888,ONA,13,Finished Airing,"Jun 1, 2018 to Aug 10, 2018","None found, add some","None found, add some","None found, add some",Original,"Action, Adventure, Fantasy, Mystery, Supernatural",,21 min. per ep.,PG-13 - Teens 13 or older,5,,,,0.21,2
Moldiver,,6.07,8697,OVA,6,Finished Airing,"Feb 25, 1993 to Nov 25, 1993",Pioneer LDC,Geneon Entertainment USA,AIC,Original,"Action, Romance, Sci-Fi",Mecha,29 min. per ep.,PG-13 - Teens 13 or older,10,,,,0.7,2
Oni,,6.07,11181,Movie,1,Finished Airing,1972,"None found, add some","None found, add some","None found, add some",Other,"Award Winning, Supernatural","Historical, Mythology",7 min.,PG-13 - Teens 13 or older,2,,,,0.54,2
Heybot!,,6.07,10265,TV,50,Finished Airing,"Sep 18, 2016 to Sep 24, 2017",Bandai,"None found, add some",Bandai Namco Pictures,Original,"Comedy, Sci-Fi",Parody,23 min. per ep.,PG - Children,24,Fall 2016,Sundays at 07:00 (JST),Kids,0.44,2
Kidou Senshi Gundam G40,Mobile Suit Gundam G40,6.07,9160,ONA,1,Finished Airing,01-Jan-20,Sunrise,"None found, add some","A-1 Pictures,       GEMBA,       Artner,       uzupiyo Animation & Digital Works,       VROOOOM",Original,"Action, Sci-Fi",Mecha,10 min.,PG-13 - Teens 13 or older,2,,,,0.83,1
Madonna,,6.07,11104,OVA,2,Finished Airing,"Mar 11, 1988 to Jun 23, 1989","None found, add some",Media Blasters,Toei Animation,Unknown,"Comedy, Sports","Delinquents, School, Team Sports, Workplace",50 min. per ep.,R+ - Mild Nudity,2,,,,0,1
Mahou Shoujo Nante Mou Ii desu kara. Second Season,Mahou Shoujo Nante Mouiidesukara Second Season,6.07,5678,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016","F.M.F,       SMIRAL Animation","None found, add some",PINE JAM,Web manga,Comedy,Mahou Shoujo,4 min. per ep.,PG-13 - Teens 13 or older,4,Fall 2016,Wednesdays at 22:38 (JST),,0.27,1
