Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Brave Witches,,6.77,2845,5266,60,TV,12,Finished Airing,"Oct 6, 2016 to Dec 29, 2016","Nippon Columbia,       KlockWorx,       Glovision,       Sony PCL,       Kadokawa Media House,       Sanyo Bussan,       Kadokawa","Funimation,       Crunchyroll",SILVER LINK.,Original,"Action, Sci-Fi, Ecchi",Military,23 min. per ep.,R+ - Mild Nudity,126,Fall 2016,Thursdays at 01:35 (JST),
Chikyuu Shoujo Arjuna,Arjuna,6.77,3787,5267,35,TV,13,Finished Airing,"Jan 9, 2001 to Mar 27, 2001","Bandai Visual,       Sotsu",Bandai Entertainment,Satelight,Original,"Adventure, Drama, Sci-Fi",,26 min. per ep.,PG-13 - Teens 13 or older,204,Winter 2001,Tuesdays at 18:00 (JST),
City Hunter: Ryou no Propose,,6.77,9858,5268,3,OVA,1,Finished Airing,May-16,"None found, add some","None found, add some",Kamikaze Douga,Manga,"Action, Comedy, Mystery",Detective,9 min.,PG-13 - Teens 13 or older,2,,,
Crayon Shin-chan Movie 31: Chounouryoku Daikessen - Tobe Tobe Temakizushi,,6.77,12373,5269,1,Movie,1,Finished Airing,04-Aug-23,"None found, add some","None found, add some",Shirogumi,Manga,"Adventure, Comedy",,1 hr. 34 min.,G - All Ages,11,,,Seinen
Dash! Yonkurou,,6.77,10572,5270,2,TV,25,Finished Airing,"Oct 3, 1989 to Mar 27, 1990","None found, add some","None found, add some",Aubec,Manga,Sports,Racing,24 min. per ep.,G - All Ages,9,Fall 1989,Unknown,Kids
Delicious Party♡Precure Movie: Yume Miru Oko-sama Lunch!,,6.77,11132,5271,2,Movie,1,Finished Airing,23-Sep-22,"None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,1 hr. 4 min.,G - All Ages,2,,,
Eguo,Orange,6.77,15821,5272,542,Movie,1,Finished Airing,2019,"None found, add some","None found, add some","None found, add some",Original,Drama,,5 min.,PG-13 - Teens 13 or older,2,,,
Gaikotsu Shotenin Honda-san OVA,Skull-face Bookseller Honda-san OVA,6.77,6443,5273,10,OVA,1,Finished Airing,27-Feb-19,"None found, add some","None found, add some",DLE,Web manga,Comedy,"Adult Cast, Otaku Culture, Workplace",2 min.,PG-13 - Teens 13 or older,4,,,
Gegege no Kitarou (1996),Spooky Kitaro,6.77,8783,5274,4,TV,114,Finished Airing,"Jan 7, 1996 to Mar 29, 1998","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Supernatural",Mythology,23 min. per ep.,G - All Ages,9,Winter 1996,Sundays at 09:00 (JST),
Gundam: G no Reconguista Movie V - Shisen wo Koete,Gundam Reconguista in G V: Beyond the Peril of Death,6.77,10650,5275,2,Movie,1,Finished Airing,05-Aug-22,"None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi","Mecha, Space",1 hr. 35 min.,PG-13 - Teens 13 or older,5,,,
Hanasakeru Seishounen Recaps,,6.77,8979,5276,4,TV Special,3,Finished Airing,"Jun 28, 2009 to Oct 18, 2009","None found, add some","None found, add some",Pierrot,Manga,"Drama, Romance",Reverse Harem,24 min. per ep.,PG-13 - Teens 13 or older,3,,,Shoujo
Happy Sugar Life,,6.77,791,5277,306,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018","VAP,       Square Enix,       Genco,       Mainichi Broadcasting System,       Bit Promotion","None found, add some",Ezόla,Manga,"Drama, Girls Love, Horror, Suspense","Gore, Psychological",24 min. per ep.,R - 17+ (violence & profanity),"2,822",Summer 2018,Saturdays at 01:55 (JST),Shounen
Hi no Tori: Yamato-hen,The Phoenix: Chapter of Yamato,6.77,9798,5278,3,OVA,1,Finished Airing,01-Aug-87,"Kadokawa Shoten,       Tezuka Productions,       Tohokushinsha Film Corporation","None found, add some",Madhouse,Manga,Drama,Historical,48 min.,PG-13 - Teens 13 or older,3,,,
Hua Jianghu: Bu Liang Ren IV,,6.77,15911,5279,532,ONA,13,Finished Airing,"Apr 29, 2021 to Jul 8, 2021","None found, add some","None found, add some",Rocen,Original,"Drama, Fantasy, Romance","Historical, Martial Arts",25 min. per ep.,PG-13 - Teens 13 or older,3,,,
Inazuma Eleven Go Specials,,6.77,7554,5280,6,TV Special,2,Finished Airing,"Dec 8, 2011 to Dec 23, 2011","None found, add some","None found, add some",OLM,Game,Sports,"Super Power, Team Sports",23 min. per ep.,G - All Ages,7,,,
