Name,positive_ratio,total_reviews
Hells,0.42857142857142855,21
IS: Infinite Stratos 2 - Hitonatsu no Omoide,0.5,2
Idol Densetsu Eriko,0.5,2
"Inari, Konkon, Koi Iroha. Inari, Konkon, Semishigure.",0.5,2
Iblard Jikan,0.8823529411764706,17
Jue Shi Wu Hun,0.0,1
Karneval Specials,0.0,0
Kamisama no Inai Nichiyoubi: Kioku,0.3333333333333333,3
Katte ni Kaizou,0.5714285714285714,7
Kiteretsu Daihyakka,0.0,0
Kill Me Baby,0.43243243243243246,37
Kyou no 5 no 2 Kagai Jugyou: Mizukake,0.0,0
Love Live! School Idol Project OVA,0.6,5
Kurozuka,0.53125,32
Lupin III: Hemingway Paper no Nazo,0.6666666666666666,3
Macross Flash Back 2012,0.6666666666666666,3
NieA Under 7,0.5,20
Hetalia World★Stars,0.5,408
Magical★Taruruuto-kun,1.0,116
Renkin San-kyuu Magical? Pokaan Specials,0.0,0
Reikenzan: Eichi e no Shikaku,0.5,4
Paradox Live the Animation,0.3333333333333333,12
No Guns Life,0.5517241379310345,29
Shakugan no Shana-tan S,1.0,1
Kaii to Otome to Kamikakushi,0.6,5
Kakutou Bijin Wulong: Rebirth,1.0,1
Saihate no Paladin,0.47474747474747475,99
Kaze to Ki no Uta Sanctus: Sei Naru Kana,0.7,10
Kimi to Boku,0.0,1
King of Prism: Pride the Hero,0.0,3
Kodomo no Jikan Recap,0.0,0
Koitabi: True Tours Nanto,1.0,4
Koukaku Kidoutai: SAC_2045 Season 2,0.4375,16
Mahou no Princess Minky Momo: Yume wo Dakishimete,0.0,0
Maison Ikkoku: Bangai-hen - Ikkokujima Nanpa Shimatsuki,0.5,2
Maple Town Monogatari,1.0,2
Meitantei Conan: Hannin no Hanzawa-san,0.625,8
Micchiri Neko,1.0,4
Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,0.75,4
One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,0.5454545454545454,11
Overlord Movie: Manner Movie,0.0,0
Pokonyan!,0.0,0
Project A-Ko,0.6666666666666666,15
