Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Shouwa Genroku Rakugo Shinjuu,Showa Genroku Rakugo Shinju,8.56,839,104,293,TV,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016",Winter 2016,Saturdays at 02:25 (JST),"Starchild Records,       Mainichi Broadcasting System,       Kodansha,       DAX Production","None found, add some",Studio Deen,Manga,Drama,"Historical, Love Polygon, Performing Arts",Josei,26 min. per ep.,PG-13 - Teens 13 or older,"5,840"
Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,8.56,1284,103,187,TV,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Wednesdays at 01:35 (JST),"TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha","None found, add some",Shuka,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,834
Doupo Cangqiong: San Nian Zhi Yue,Fights Break Sphere: Three Year Agreement,8.56,7288,102,7,ONA,13,Finished Airing,"Oct 31, 2021 to Jan 16, 2022",,,Tencent Penguin Pictures,"None found, add some",Motion Magic,Novel,"Action, Fantasy",Martial Arts,,24 min. per ep.,PG-13 - Teens 13 or older,184
Shingeki no Kyojin,Attack on Titan,8.55,1,105,3,TV,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,Sundays at 01:58 (JST),"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Award Winning, Drama, Suspense","Gore, Military, Survival",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"172,592"
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,8.55,174,106,938,Movie,1,Finished Airing,"Jul 19, 1997",,,"TV Tokyo,       Toei Animation,       Kadokawa Shoten,       Movic,       Sega,       TV Tokyo Music,       King Records,       Audio Tanaka",GKIDS,"Gainax,       Production I.G",Original,"Action, Avant Garde, Drama, Sci-Fi, Suspense","Mecha, Psychological",,1 hr. 26 min.,R+ - Mild Nudity,"29,245"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind,8.57,152,101,1,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,Saturdays at 01:05 (JST),Warner Bros. Japan,VIZ Media,David Production,Manga,"Action, Adventure, Supernatural",Organized Crime,Shounen,23 min. per ep.,R - 17+ (violence & profanity),"32,037"
Yojouhan Shinwa Taikei,The Tatami Galaxy,8.55,502,107,453,TV,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",Spring 2010,Fridays at 00:45 (JST),"Dentsu,       Kadokawa Shoten,       Fuji TV,       TOHO,       Asmik Ace,       Tohokushinsha Film Corporation,       Sony Music Entertainment,       Fujipacific Music",Funimation,Madhouse,Novel,"Award Winning, Comedy, Mystery, Romance, Suspense","Adult Cast, Psychological, Time Travel",,22 min. per ep.,R - 17+ (violence & profanity),"18,262"
Haikyuu!! To the Top Part 2,Haikyu!! To the Top 2nd-cour,8.55,224,109,822,TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,Saturdays at 02:25 (JST),"Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,"School, Team Sports",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"6,185"
Fate/Zero 2nd Season,Fate/Zero Season 2,8.55,132,108,1,TV,12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012",Spring 2012,Sundays at 00:00 (JST),"Aniplex,       Nitroplus,       Seikaisha,       Notes",Aniplex of America,ufotable,Light novel,"Action, Fantasy, Supernatural",,,24 min. per ep.,R - 17+ (violence & profanity),"20,396"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,JoJo's Bizarre Adventure: Stone Ocean Part 3,8.55,1178,110,207,ONA,14,Finished Airing,"Dec 1, 2022",,,Warner Bros. Japan,"None found, add some",David Production,Manga,"Action, Adventure, Supernatural",,Shounen,24 min. per ep.,R - 17+ (violence & profanity),"2,936"
Kimi no Suizou wo Tabetai,I Want To Eat Your Pancreas,8.55,161,111,974,Movie,1,Finished Airing,"Sep 1, 2018",,,"Aniplex,       ABC Animation",Aniplex of America,Studio VOLN,Novel,"Drama, Romance",School,,1 hr. 48 min.,PG-13 - Teens 13 or older,"20,923"
Nana,,8.55,306,112,675,TV,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007",Spring 2006,Wednesdays at 23:25 (JST),"VAP,       Nippon Television Network,       Shueisha","VIZ Media,       Sentai Filmworks",Madhouse,Manga,"Drama, Romance","Adult Cast, Love Polygon, Music",Shoujo,22 min. per ep.,R+ - Mild Nudity,"30,370"
Perfect Blue,,8.55,285,113,716,Movie,1,Finished Airing,"Feb 28, 1998",,,"Rex Entertainment,       ONIRO",GKIDS,Madhouse,Novel,"Avant Garde, Drama, Horror, Suspense","Adult Cast, Psychological, Showbiz",,1 hr. 21 min.,R+ - Mild Nudity,"19,447"
Slam Dunk,,8.54,800,114,303,TV,101,Finished Airing,"Oct 16, 1993 to Mar 23, 1996",Fall 1993,Saturdays at 19:30 (JST),TV Asahi,Geneon Entertainment USA,Toei Animation,Manga,Sports,"School, Team Sports",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"7,334"
