Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Gudetama: Muhоu Chitai de Jiyuu mo Fujiyuu,Gudetama Freestyle,6.09,15341,9022,608,ONA,18,Finished Airing,"Jan 21, 2021 to Sep 30, 2021",,,Sanrio,"None found, add some",Gathering,Original,Comedy,2 min. per ep.,G - All Ages,0,Parody,
Gunslinger Stratos The Animation: Bunki/Futatsu no Mirai,,6.09,9623,9023,3,Special,1,Finished Airing,"Jun 27, 2015",,,"None found, add some","None found, add some",A-1 Pictures,Unknown,"Action, Sci-Fi",23 min.,PG-13 - Teens 13 or older,2,,
Haja Taisei Dangaiou,Great Planet Evil-Destroyer Dangaio,6.09,7104,9024,7,OVA,3,Finished Airing,"Sep 28, 1987 to Jul 25, 1989",,,Network,VIZ Media,"AIC,       Artmic",Original,"Action, Adventure, Sci-Fi",45 min. per ep.,PG-13 - Teens 13 or older,11,Mecha,
Hakujaden,Panda and the Magic Serpent,6.09,7921,9025,6,Movie,1,Finished Airing,"Oct 22, 1958",,,"None found, add some","None found, add some",Toei Animation,Other,"Adventure, Fantasy, Romance",1 hr. 19 min.,G - All Ages,9,Historical,
Hakuouki: Otogisoushi Special,,6.09,11296,9026,2,Special,1,Finished Airing,"Jun 21, 2016",,,"None found, add some","None found, add some",DLE,Visual novel,Fantasy,3 min.,PG-13 - Teens 13 or older,0,"Historical, Samurai",Josei
Hoshi no Ko Poron,,6.09,14925,9027,677,TV,260,Finished Airing,"Apr 1, 1974 to Apr 4, 1975",Spring 1974,Unknown,"None found, add some","None found, add some","None found, add some",Unknown,Sci-Fi,5 min. per ep.,PG - Children,0,,
Ikkyuu-san: Haru Da! Yancha Hime,,6.09,16738,9028,445,Movie,1,Finished Airing,"Mar 14, 1981",,,"None found, add some","None found, add some",Toei Animation,Unknown,Comedy,15 min.,G - All Ages,0,Historical,Kids
Itsumo Kokoro ni Taiyou wo!,,6.09,13563,9029,1,TV,16,Finished Airing,"Nov 2, 1999 to Nov 26, 1999",Fall 1999,Unknown,"None found, add some","None found, add some",Studio Deen,Manga,"Comedy, Ecchi",3 min. per ep.,R+ - Mild Nudity,0,,
Jishu Seisaku Movie Binchou-tan,,6.09,10301,9031,2,OVA,1,Finished Airing,"Aug 14, 2005",,,TBS,"None found, add some",Ishikawa Pro,Manga,Slice of Life,4 min.,G - All Ages,2,"Iyashikei, Music",
Jantama Pong☆,Mahjong Soul Pon☆,6.09,7010,9030,8,TV,11,Finished Airing,"Apr 9, 2022 to Jun 18, 2022",Spring 2022,Saturdays at 01:50 (JST),Yostar,"None found, add some",Scooter Films,Game,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,18,,
Kaiketsu Zorori: Mahoutsukai no Deshi/Dai Kaizoku no Takara Sagashi,Kaiketsu Zorori Movie,6.09,15018,9032,661,Movie,1,Finished Airing,"Jul 17, 1993",,,"VAP,       Shochiku,       Nippon Television Network","None found, add some",TMS Entertainment,Unknown,"Adventure, Comedy",53 min.,G - All Ages,1,,
Kekkon Yubiwa Monogatari,Tales of Wedding Rings,6.09,2177,9033,94,TV,12,Finished Airing,"Jan 6, 2024 to Mar 23, 2024",Winter 2024,Saturdays at 21:30 (JST),"Square Enix,       Toei Video,       Pony Canyon,       AT-X,       KlockWorx,       Studio Mausu,       Hakuhodo DY Music & Pictures,       BS11,       APDREAM,       Bushiroad Move","None found, add some",Staple Entertainment,Manga,"Action, Fantasy, Romance, Ecchi",23 min. per ep.,R+ - Mild Nudity,346,"Harem, Isekai",Seinen
Kenritsu Chikyuu Boueigun,Prefectural Earth Defense Force,6.09,9334,9034,3,OVA,1,Finished Airing,"Mar 21, 1986",,,OB Planning,ADV Films,Gallop,Manga,"Action, Adventure, Comedy, Sci-Fi",49 min.,PG-13 - Teens 13 or older,0,,Shounen
Koisuru Asteroid: Furikaeri - Kirakira Special!,Asteroid in Love Episode 6.5,6.09,8777,9035,4,TV Special,1,Finished Airing,"Feb 14, 2020",,,"None found, add some","None found, add some",Doga Kobo,4-koma manga,Comedy,23 min.,PG-13 - Teens 13 or older,1,"CGDCT, School",
Lei Su Deng Shandian Chong Xian 3,Flash & Dash S,6.09,17608,9036,379,TV,40,Finished Airing,Nov 2012 to ?,?,Unknown,Alpha Group Co. Ltd.,"None found, add some",Alpha Animation,Original,,24 min. per ep.,G - All Ages,0,Racing,Kids
Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu Episode 0,,6.09,8605,9037,4,ONA,1,Finished Airing,"Oct 5, 2014",,,"None found, add some",Funimation,Studio PuYUKAI,Light novel,Comedy,2 min.,G - All Ages,2,Parody,
Magical Canan,Magical Kanan,6.09,7714,9038,6,TV,13,Finished Airing,"Jan 1, 2005 to Mar 26, 2005",Winter 2005,Saturdays at 10:00 (JST),"None found, add some",Discotek Media,AIC ASTA,Visual novel,"Drama, Fantasy, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,8,Mahou Shoujo,
