Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Uchuu Icchokusen,,5.99,14174,9527,853,Movie,1,Finished Airing,"Oct 5, 2010",KAGAYA Studio,"None found, add some","None found, add some",Unknown,"Fantasy, Mystery, Sci-Fi",27 min.,G - All Ages,5,"Space, Visual Arts",,,
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune Picture Drama,,5.99,15252,9528,622,Special,3,Finished Airing,"May 27, 2015","None found, add some","None found, add some",Xebec,Original,Sci-Fi,1 min. per ep.,PG-13 - Teens 13 or older,1,Space,,,
Vampiyan Kids: Pilot,,5.99,12821,9529,1,Special,1,Finished Airing,1999,"None found, add some","None found, add some",Production I.G,Original,"Action, Comedy",18 min.,G - All Ages,1,Vampire,Kids,,
Watt Poe to Bokura no Ohanashi,Watt Poe,5.99,13055,9530,1,OVA,1,Finished Airing,"Aug 12, 1988","Konami,       Pony Canyon","None found, add some",Kaname Productions,Unknown,"Adventure, Sci-Fi",54 min.,PG - Children,0,,,,
What's Michael? (TV),,5.99,13585,9531,1,TV,45,Finished Airing,"Apr 15, 1988 to Mar 28, 1989",Studio Jack,"None found, add some",Daume,Manga,Comedy,25 min. per ep.,PG - Children,0,Pets,,Spring 1988,Fridays at 19:00 (JST)
Wooser no Sono Higurashi: Ken to Pants to Wooser to,Wooser's Hand-to-Mouth Life Special,5.99,9791,9532,3,Special,1,Finished Airing,"Mar 22, 2013","None found, add some","None found, add some",SANZIGEN,Web manga,"Comedy, Fantasy, Slice of Life",4 min.,G - All Ages,0,,,,
Yi Shijie Zhongyao Pu,,5.99,13736,9533,971,ONA,40,Finished Airing,"May 8, 2020 to Sep 11, 2020","Tencent Penguin Pictures,       iQIYI","None found, add some",Suoyi Technology,Manga,"Drama, Fantasy",10 min. per ep.,PG-13 - Teens 13 or older,2,,,,
Yowai Mushi,,5.99,10822,9534,2,Special,1,Finished Airing,Nov 2012,"None found, add some","None found, add some","None found, add some",Original,Drama,4 min.,PG-13 - Teens 13 or older,0,Music,,,
Zero Tester,,5.99,12506,9535,1,TV,38,Finished Airing,"Oct 1, 1973 to Jun 17, 1974",Tohokushinsha Film Corporation,"None found, add some",Sunrise,Original,"Action, Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,2,Mecha,,Fall 1973,Unknown
Zoids Wild Zero,,5.99,8874,9536,4,TV,50,Finished Airing,"Oct 4, 2019 to Oct 16, 2020","None found, add some","None found, add some",OLM,Other,"Action, Adventure, Comedy, Sci-Fi",22 min. per ep.,PG - Children,11,"Mecha, Military",,Fall 2019,Fridays at 17:55 (JST)
Akuemon,,5.99,11543,9537,1,OVA,1,Finished Airing,"Jul 16, 1993","None found, add some","None found, add some",Tezuka Productions,Manga,"Fantasy, Romance",25 min.,PG-13 - Teens 13 or older,2,,,,
Aru Hi no Gogo,,5.99,15239,9539,623,ONA,1,Finished Airing,"Jan 19, 2024","None found, add some","None found, add some",Yostar Pictures,Game,Comedy,1 min.,PG-13 - Teens 13 or older,1,,,,
Angel Cop,,5.99,4655,9538,22,OVA,6,Finished Airing,"Sep 1, 1989 to May 20, 1994",Soeishinsha,Discotek Media,D.A.S.T Corporation,Original,"Action, Sci-Fi",29 min. per ep.,R+ - Mild Nudity,102,"Adult Cast, Gore",,,
Azur Lane Recap,,5.99,8014,9540,5,TV Special,1,Finished Airing,"Nov 14, 2019","None found, add some","None found, add some",Bibury Animation Studios,Game,"Action, Sci-Fi",23 min.,R+ - Mild Nudity,6,"Anthropomorphic, Military",,,
Boku no Oldies wa All Color,,5.99,16604,9541,458,OVA,1,Finished Airing,"Dec 10, 1987",Nippon Columbia,"None found, add some",Tatsunoko Production,Manga,Romance,27 min.,PG-13 - Teens 13 or older,0,Music,Seinen,,
Captain Future: Kareinaru Taiyokei Race,,5.99,13367,9542,1,Special,1,Finished Airing,"Dec 31, 1978","None found, add some","None found, add some","None found, add some",Unknown,"Action, Adventure, Sci-Fi",58 min.,PG-13 - Teens 13 or older,2,,,,
Catblue: Dynamite,Catblue Dynamite,5.99,11126,9543,2,ONA,1,Finished Airing,"Dec 22, 2006","None found, add some","None found, add some","None found, add some",Unknown,"Action, Fantasy",42 min.,R - 17+ (violence & profanity),1,,,,
Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,,5.99,13351,9544,1,TV Special,1,Finished Airing,"Mar 20, 1984",TBS,"None found, add some",Eiken,Manga,Romance,1 hr. 10 min.,G - All Ages,0,Love Polygon,Shoujo,,
Chiisana Teien,The Small Garden,5.99,15983,9545,523,Movie,1,Finished Airing,"Dec 10, 2014","None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Fantasy",12 min.,G - All Ages,0,,,,
Chikkun Takkun,,5.99,13601,9546,1,TV,23,Finished Airing,"Apr 9, 1984 to Sep 28, 1984","Nihon Ad Systems,       Fuji TV,       Gakken","None found, add some","Pierrot,       Gallop",Manga,"Comedy, Sci-Fi",24 min. per ep.,PG - Children,1,,,Spring 1984,Unknown
Chocomatsu-san: White Day-hen,,5.99,12039,9547,1,ONA,3,Finished Airing,"Mar 13, 2021 to Mar 15, 2021","None found, add some","None found, add some",Pierrot,Other,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,9,Parody,,,
Dies Irae: To the Ring Reincarnation,,5.99,4593,9549,23,ONA,6,Finished Airing,"Jul 1, 2018","Genco,       DMM pictures,       Greenwood,       My Theater D.D.,       Brave Hearts,       Crunchyroll SC Anime Fund",Funimation,A.C.G.T.,Visual novel,Action,28 min. per ep.,R - 17+ (violence & profanity),36,Super Power,,,
Cyborg 009,,5.99,9141,9548,4,Movie,1,Finished Airing,"Jul 21, 1966","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Drama, Sci-Fi",1 hr. 5 min.,G - All Ages,2,,Shounen,,
Doujouji,Dojoji Temple,5.99,11302,9550,2,Movie,1,Finished Airing,1976,Kadokawa Pictures Japan,"None found, add some","None found, add some",Other,"Award Winning, Supernatural",18 min.,PG-13 - Teens 13 or older,4,Historical,,,
Time Driver: Bokura ga Kaita Mirai,,5.98,12567,9601,1,Movie,1,Finished Airing,"Mar 10, 2018","None found, add some","None found, add some","Robot Communications,       Imagica Imageworks",Original,,23 min.,G - All Ages,0,,,,
Virtua Fighter: Costomize Clip,Virtua Fighter Costomize Clip,5.98,14271,9603,827,OVA,1,Finished Airing,"Feb 28, 1997","None found, add some","None found, add some",Production I.G,Game,"Action, Drama",32 min.,PG-13 - Teens 13 or older,0,"Martial Arts, Music",,,
Uchuu no Kishi Tekkaman Blade OVA: Missing Link,Tekkaman Blade: Missing Link,5.98,10975,9602,2,OVA,1,Finished Airing,"Jun 5, 1998","None found, add some",Media Blasters,Tatsunoko Production,Original,"Action, Sci-Fi",5 min.,R - 17+ (violence & profanity),1,Mecha,,,
Xiang Qi Wang,Xiangqi Master,5.98,15157,9604,635,TV,26,Finished Airing,2006,"None found, add some","None found, add some",Hong Ying Animation,Original,,24 min. per ep.,PG - Children,3,Strategy Game,,?,Unknown
"Yakushiji Ryouko no Kaiki Jikenbo: Hamachou, Voice & Fiction",Ryoko's Case File Special,5.98,14180,9605,851,Special,1,Finished Airing,"Jan 21, 2009",Starchild Records,"None found, add some",Doga Kobo,Light novel,"Mystery, Supernatural",16 min.,PG-13 - Teens 13 or older,0,Detective,,,
Yakyuukyou no Uta: Kita no Ookami Minami no Tora,,5.98,14091,9606,873,Movie,1,Finished Airing,"Sep 15, 1979","None found, add some","None found, add some",Nippon Animation,Manga,"Drama, Sports",1 hr. 28 min.,PG-13 - Teens 13 or older,1,,,,
Zero Duel Masters,,5.98,10392,9608,2,TV,12,Finished Airing,"Apr 9, 2007 to Sep 28, 2007",Shogakukan-Shueisha Productions,"None found, add some",SynergySP,Original,"Adventure, Comedy, Sports",23 min. per ep.,PG-13 - Teens 13 or older,1,Strategy Game,Kids,Spring 2007,Unknown
Yuki,Yuki: Snow Fairy,5.98,11218,9607,2,Movie,1,Finished Airing,"Aug 9, 1981",Nikkatsu,"None found, add some",Mushi Production,Book,"Adventure, Fantasy",1 hr. 26 min.,G - All Ages,1,Mythology,,,
6HP (Six Hearts Princess),,5.98,7878,9609,6,TV Special,Unknown,Currently Airing,"Dec 30, 2016 to ?","None found, add some","None found, add some",Poncotan,Original,Fantasy,24 min.,PG-13 - Teens 13 or older,8,Mahou Shoujo,,,
