Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Ichirin-sha,,5.92,11482,9901,1,ONA,1,Finished Airing,24-Sep-10,,,"None found, add some","None found, add some",Nomad,Original,"Action, Sci-Fi",7 min.,PG-13 - Teens 13 or older,0,Mecha,Seinen
Inou no AICis: ESP & High School Detective,AICis the Supernatural,5.92,11332,9902,2,ONA,15,Finished Airing,"Feb 13, 2021 to Jun 12, 2021",,,"None found, add some","None found, add some","None found, add some",Original,"Mystery, Supernatural",11 min. per ep.,PG-13 - Teens 13 or older,10,School,
Itazura Majo to Nemuranai Machi,Sorcery in the Big City,5.92,8673,9903,4,ONA,1,Finished Airing,01-Dec-17,,,XFLAG,"None found, add some",SANZIGEN,Original,"Action, Fantasy",40 min.,G - All Ages,5,Detective,
Jashin-chan Mame Anime,,5.92,13930,9904,911,ONA,30,Finished Airing,"Oct 28, 2021 to Feb 4, 2023",,,"None found, add some","None found, add some",Nomad,Web manga,Comedy,1 min. per ep.,G - All Ages,4,,
0-sen Hayato,,5.91,13326,9905,1,TV,38,Finished Airing,"Jan 21, 1964 to Oct 27, 1964",Winter 1964,Unknown,P Productions,"None found, add some","None found, add some",Manga,,15 min. per ep.,PG-13 - Teens 13 or older,2,"Historical, Military",
A.D. Police (TV),A.D. Police: To Protect and Serve,5.91,5848,9906,12,TV,12,Finished Airing,"Apr 8, 1999 to Jul 1, 1999",Spring 1999,Thursdays at 01:45 (JST),AIC,ADV Films,Plum,Original,"Action, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,16,"Adult Cast, Mecha",
Akai Kiba: Blue Sonnet,Blue Sonnet,5.91,9782,9907,3,OVA,5,Finished Airing,"Jul 16, 1989 to Jun 25, 1990",,,"Mushi Production,       Nippon Television Network",Central Park Media,Tatsunoko Production,Manga,"Action, Drama, Sci-Fi",29 min. per ep.,R+ - Mild Nudity,2,Super Power,Shoujo
Arata Kangatari Picture Drama,,5.91,10542,9908,2,Special,6,Finished Airing,"Jun 21, 2013 to Nov 22, 2013",,,Lantis,"None found, add some",Satelight,Manga,Fantasy,13 min. per ep.,PG-13 - Teens 13 or older,5,,
Atagoal wa Neko no Mori,Atagoal - Cat's Magical Forest,5.91,13939,9909,906,Movie,1,Finished Airing,14-Oct-06,,,Digital Frontier,"None found, add some","None found, add some",Unknown,,1 hr. 20 min.,PG - Children,3,Anthropomorphic,Kids
Backkom Specials,,5.91,15807,9910,542,ONA,8,Finished Airing,2007 to 2013,,,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,49 sec. per ep.,G - All Ages,0,Super Power,Kids
