Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Yonimo Osoroshii Grimm Douwa,,5.80,12134,10449,1,OVA,3,Finished Airing,2000,,,Toei Video,"None found, add some",Group TAC,Other,"Avant Garde, Horror",Psychological,19 min. per ep.,R - 17+ (violence & profanity),3,
Yubi wo Nusunda Onna,Woman Who Stole Fingers,5.80,10890,10450,2,Movie,1,Finished Airing,2010,,,Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,,4 min.,G - All Ages,1,
Z/X: Code Reunion,,5.80,5588,10451,14,TV,12,Finished Airing,"Oct 8, 2019 to Dec 24, 2019",Fall 2019,Tuesdays at 23:00 (JST),Broccoli,Sentai Filmworks,Passione,Card game,"Fantasy, Sci-Fi",School,24 min. per ep.,PG-13 - Teens 13 or older,23,
Zegapain ADP,,5.80,9717,10452,3,Movie,1,Finished Airing,"Oct 15, 2016",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Romance, Sci-Fi",Mecha,1 hr. 57 min.,PG-13 - Teens 13 or older,2,
Adachi to Shimamura Mini Anime,,5.80,11381,10453,2,ONA,30,Finished Airing,"Sep 11, 2020 to Mar 2, 2021",,,"None found, add some","None found, add some","Tezuka Productions,       AQUA ARIS",Light novel,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,0,
Animegatari,,5.80,8556,10454,5,Movie,8,Finished Airing,"Apr 17, 2015 to Mar 5, 2016",,,"None found, add some","None found, add some",W-Toon Studio,Original,Comedy,,1 min. per ep.,G - All Ages,1,
Backkom 2,Bernard,5.80,13869,10455,929,TV,52,Finished Airing,2007,?,Unknown,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,,4 min. per ep.,G - All Ages,1,Kids
Carole & Tuesday Specials,,5.80,7812,10456,6,ONA,8,Finished Airing,"Jun 28, 2019 to Oct 16, 2019",,,"None found, add some",Sentai Filmworks,Bones,Original,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,5,
Down Load: Namu Amida Butsu wa Ai no Uta,Download: Devil's Circuit,5.80,8711,10457,4,OVA,1,Finished Airing,"Dec 18, 1992",,,NEC Avenue,"None found, add some",Madhouse,Original,"Action, Adventure, Sci-Fi",Psychological,47 min.,PG-13 - Teens 13 or older,8,
Endless Vide,,5.80,16901,10458,432,Special,1,Finished Airing,"Mar 31, 2021",,,"None found, add some","None found, add some","None found, add some",Game,,"Idols (Male), Mecha, Music",2 min.,PG-13 - Teens 13 or older,0,
Fairy Gone,,5.80,1414,10459,167,TV,12,Finished Airing,"Apr 8, 2019 to Jun 24, 2019",Spring 2019,Mondays at 00:00 (JST),"Mainichi Broadcasting System,       Movic,       AT-X,       TOHO animation,       Medicos Entertainment,       BS11,       Sanyo",Funimation,P.A. Works,Original,"Action, Fantasy","Adult Cast, Military",23 min. per ep.,PG-13 - Teens 13 or older,216,
Guardian Hearts-Power UP!,,5.80,9068,10460,4,OVA,4,Finished Airing,"Jan 28, 2005 to Mar 25, 2005",,,Soft Garage,"None found, add some",Venet,Manga,"Action, Comedy, Fantasy, Romance, Ecchi",Harem,17 min. per ep.,R - 17+ (violence & profanity),1,
Gundam: G no Reconguista,Gundam Reconguista in G,5.80,3950,10461,32,TV,26,Finished Airing,"Oct 3, 2014 to Mar 27, 2015",Fall 2014,Fridays at 01:44 (JST),"Sotsu,       Mainichi Broadcasting System,       Tohokushinsha Film Corporation",Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi","Mecha, Space",24 min. per ep.,PG-13 - Teens 13 or older,125,
