Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Machikado Mazoku: 2-choume Mini,,6.02,12468,9421,1,ONA,25,Finished Airing,"Feb 14, 2022 to Oct 5, 2022",,,"None found, add some","None found, add some",AQUA ARIS,4-koma manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,2,,
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,,6.02,11720,9422,1,Movie,1,Finished Airing,"Mar 15, 1997",,,"None found, add some","None found, add some",J.C.Staff,Game,"Comedy, Fantasy",10 min.,G - All Ages,3,,
Memory,,6.02,9808,9424,3,Movie,1,Finished Airing,"Sep 21, 1964",,,Mushi Production,"None found, add some","None found, add some",Original,"Avant Garde, Comedy, Drama, Mystery",5 min.,PG-13 - Teens 13 or older,0,,
Märchen Mädchen Specials,Maerchen Maedchen,6.02,7789,9423,6,Special,2,Finished Airing,"Apr 25, 2019",,,"None found, add some","None found, add some",Hoods Entertainment,Light novel,Fantasy,23 min. per ep.,PG-13 - Teens 13 or older,2,,"Isekai, School"
Miyako,,6.02,15526,9426,580,ONA,1,Finished Airing,"Sep 30, 2012",,,"None found, add some","None found, add some","None found, add some",Other,,3 min.,PG-13 - Teens 13 or older,1,,Psychological
Mini Van Large,mini vanguard Large,6.02,14618,9425,742,ONA,26,Finished Airing,"Jun 7, 2021 to May 4, 2022",,,"Half H.P Studio,       Bushiroad","None found, add some",OLM,Original,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,0,,"Parody, Strategy Game"
Mou Hitotsu no Mirai wo.,A.U.F.L. : au Unlimited Future Laboratory,6.02,6358,9427,10,ONA,3,Finished Airing,"Dec 11, 2013 to Mar 13, 2014",,,"None found, add some","None found, add some","Production I.G,       Steve N' Steven",Original,Sci-Fi,7 min. per ep.,PG-13 - Teens 13 or older,3,,
Nine: Kanketsu-hen,,6.02,13357,9428,1,TV Special,1,Finished Airing,"Sep 5, 1984",,,Fuji TV,"None found, add some",Group TAC,Manga,"Romance, Sports",1 hr. 13 min.,PG-13 - Teens 13 or older,0,Shounen,"School, Team Sports"
Play Ball 2nd,,6.02,14139,9429,861,TV,13,Finished Airing,"Jan 10, 2006 to Mar 28, 2006",Winter 2006,Unknown,"None found, add some","None found, add some",Eiken,Unknown,Sports,24 min. per ep.,G - All Ages,1,Shounen,Team Sports
Puttsun Make Love,,6.02,14535,9430,763,OVA,6,Finished Airing,"Aug 14, 1987 to Jun 24, 1988",,,"Toei Video,       Agent 21","None found, add some","None found, add some",Manga,"Comedy, Romance, Ecchi",25 min. per ep.,R+ - Mild Nudity,0,,
Revisions,,6.02,2723,9431,65,TV,12,Finished Airing,"Jan 10, 2019 to Mar 28, 2019",Winter 2019,Thursdays at 00:55 (JST),"Fuji TV,       Slow Curve",Sentai Filmworks,Shirogumi,Original,"Action, Sci-Fi",22 min. per ep.,PG-13 - Teens 13 or older,80,,Mecha
Kaze no You ni,,6.01,11890,9432,1,Movie,1,Finished Airing,"Jul 9, 2016",,,Grooove,"None found, add some",Ekura Animal,Manga,"Drama, Slice of Life",43 min.,PG - Children,0,,
