Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Captain Tsubasa: Road to 2002,Captain Tsubasa,7.45,2874,2050,59,TV,52,Finished Airing,"Oct 7, 2001 to Oct 6, 2002","Madhouse,       TV Tokyo,       Dentsu","None found, add some",Group TAC,Manga,Sports,24 min. per ep.,PG-13 - Teens 13 or older,316,Fall 2001,Unknown,Team Sports,Shounen
Chio-chan no Tsuugakuro,Chio's School Road,7.45,1826,2051,120,TV,12,Finished Airing,"Jul 6, 2018 to Sep 21, 2018","None found, add some",Funimation,Diomedéa,Manga,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,410,Summer 2018,Fridays at 22:00 (JST),,Seinen
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Code Geass: Akito the Exiled - The Wyvern Divided,7.45,1659,2052,137,Movie,1,Finished Airing,"Sep 14, 2013","Bandai Visual,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners",Funimation,Sunrise,Original,Action,59 min.,R - 17+ (violence & profanity),207,,,"Mecha, Military",
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,,7.45,7958,2053,5,Movie,1,Finished Airing,"Apr 20, 2002",TV Asahi,"None found, add some",Shin-Ei Animation,Manga,"Award Winning, Drama, Romance",1 hr. 35 min.,G - All Ages,15,,,"Historical, Samurai",Seinen
Do It Yourself!!,,7.45,1980,2055,108,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022","TV Tokyo,       AT-X,       TV Tokyo Music,       Avex Pictures,       BS11,       Sumitomo,       MAGNET","None found, add some",PINE JAM,Original,Slice of Life,23 min. per ep.,PG-13 - Teens 13 or older,574,Fall 2022,Thursdays at 00:00 (JST),"CGDCT, School",
Da Li Si Rizhi 2nd Season,White Cat Legend Season 2,7.45,12807,2054,1,ONA,12,Finished Airing,"Nov 26, 2022 to Jan 28, 2023","Tencent Penguin Pictures,       Ai Si Animation Studio","None found, add some",Nice Boat Animation,Web manga,"Action, Comedy, Fantasy, Mystery",27 min. per ep.,PG-13 - Teens 13 or older,6,,,"Anthropomorphic, Historical, Martial Arts, Mythology",
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,7.45,1138,2056,215,Movie,1,Finished Airing,"Feb 15, 2019","Genco,       Movic,       Warner Bros. Japan,       KlockWorx,       SoftBank Creative,       Hakuhodo DY Music & Pictures,       Egg Firm,       FuRyu,       GREE",Sentai Filmworks,J.C.Staff,Light novel,"Action, Adventure, Fantasy",1 hr. 22 min.,PG-13 - Teens 13 or older,448,,,,
Hetalia: The Beautiful World Specials,,7.45,5060,2057,18,Special,4,Finished Airing,"Apr 24, 2013 to Oct 30, 2013",Frontier Works,Funimation,Studio Deen,Web manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,18,,,"Anthropomorphic, Historical, Parody",
Hidamari Sketch,,7.45,2402,2058,80,TV,12,Finished Airing,"Jan 12, 2007 to Mar 30, 2007","Aniplex,       Lantis,       TBS,       Movic,       Houbunsha",Sentai Filmworks,Shaft,4-koma manga,Slice of Life,24 min. per ep.,PG-13 - Teens 13 or older,"1,104",Winter 2007,Fridays at 01:25 (JST),"CGDCT, Iyashikei, School, Visual Arts",
Hime-chan no Ribbon,,7.45,6368,2059,10,TV,61,Finished Airing,"Oct 2, 1992 to Dec 3, 1993",Nihon Ad Systems,"None found, add some",Gallop,Manga,"Comedy, Fantasy, Romance",24 min. per ep.,PG - Children,68,Fall 1992,Fridays at 18:00 (JST),School,Shoujo
