Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Baka Baka Baka na Sekai,Crazy World,4.25,11205,13195,2,Movie,1,Finished Airing,"Oct 12, 1968","None found, add some","None found, add some","None found, add some",Original,"Avant Garde, Comedy",Military,5 min.,G - All Ages,2,,,
Dragon Fist,,4.25,10942,13196,2,OVA,1,Finished Airing,"Mar 20, 1991",Youmex,"None found, add some",Agent 21,Manga,"Drama, Fantasy",Martial Arts,39 min.,PG-13 - Teens 13 or older,0,,,Shoujo
Bloody Date,,4.24,9040,13197,4,ONA,1,Finished Airing,"Nov 29, 2006","None found, add some","None found, add some","None found, add some",Original,Horror,,5 min.,R - 17+ (violence & profanity),0,,,
Een,WAAAH,4.24,13546,13198,1,ONA,1,Finished Airing,"Feb 12, 2018","None found, add some","None found, add some","None found, add some",Original,Avant Garde,,1 min.,R+ - Mild Nudity,0,,,
?/Sankaku no Rhythm/Trump no Arasoi,?/Rhythmic Triangles/Fighting Cards,4.23,13658,13199,990,Movie,1,Finished Airing,1932,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,4 min.,G - All Ages,0,,,
Chicken Papa,,4.23,10433,13200,2,ONA,1,Finished Airing,"Mar 30, 2010",7ji,"None found, add some","None found, add some",Original,Comedy,,1 min.,G - All Ages,25,,,
Musekinin Galaxy☆Tylor,The Irresponsible Galaxy☆Tylor,3.89,7831,13251,6,TV,12,Finished Airing,"Jul 11, 2017 to Sep 26, 2017","DAX Production,       Dream Creation","None found, add some",Seven,Light novel,"Comedy, Sci-Fi","Military, Parody, Space",3 min. per ep.,PG-13 - Teens 13 or older,1,Summer 2017,Tuesdays at 21:55 (JST),
Hanoka Recap,,3.88,13424,13252,1,TV Special,1,Finished Airing,2006,RAMS,"None found, add some","None found, add some",Original,Sci-Fi,,10 min.,PG-13 - Teens 13 or older,0,,,
Requiem (ONA),,3.86,12736,13253,1,ONA,1,Finished Airing,"Jan 17, 2012","None found, add some","None found, add some","None found, add some",Original,Avant Garde,,2 min.,R+ - Mild Nudity,0,,,
The Embryo Develops into a Fetus,,3.86,11610,13254,1,ONA,1,Finished Airing,2014,"None found, add some","None found, add some",Mirai Film,Original,Avant Garde,,1 min.,G - All Ages,3,,,
Armageddon,,3.85,11772,13255,1,Movie,1,Finished Airing,"Jan 19, 1996","None found, add some",Manga Entertainment,"None found, add some",Manga,"Action, Adventure, Sci-Fi","Space, Super Power, Time Travel",1 hr. 26 min.,PG-13 - Teens 13 or older,2,,,
Sabiiro no Armor: Reimei,Rusted Armors,3.85,7731,13256,6,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Spectrum,"None found, add some",Kigumi,Mixed media,Action,"Historical, Samurai",23 min. per ep.,PG-13 - Teens 13 or older,21,Winter 2022,Sundays at 22:00 (JST),
Petting a Dog,,3.83,11393,13257,2,ONA,1,Finished Airing,"Jul 15, 2013","None found, add some","None found, add some","None found, add some",Original,Slice of Life,,16 sec.,G - All Ages,5,,,
Micro Teukgongdae Diatron 5,,3.82,13200,13258,1,Movie,1,Finished Airing,"Jul 20, 1985",Daekwang Planning,"None found, add some","None found, add some",Other,Sci-Fi,"Mecha, Space",57 min.,PG - Children,3,,,
Gibiate,,3.81,2663,13259,67,TV,12,Finished Airing,"Jul 15, 2020 to Sep 30, 2020","Nexon,       Age Global Networks,       Forecast Communications,       Crunchyroll","None found, add some","Studio Elle,       l-a-unch・BOX",Original,"Action, Fantasy, Horror","Martial Arts, Samurai",24 min. per ep.,R - 17+ (violence & profanity),61,Summer 2020,Wednesdays at 22:00 (JST),
Dreams,,3.80,12607,13260,1,Movie,1,Finished Airing,2011,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,5 min.,R+ - Mild Nudity,1,,,
