Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
Hairpin Double,,5.20,12458,12374,1,TV Special,1,Finished Airing,"Feb 4, 2022","None found, add some","None found, add some","Felix Film,       Ga-Crew",Other,Music,7 min.,PG-13 - Teens 13 or older,5,"Action, Fantasy",,,
Hoshi no Orpheus,Winds of Change,5.20,12980,12375,1,Movie,1,Finished Airing,"Oct 27, 1979",Sanrio,"None found, add some","None found, add some",Unknown,,1 hr. 20 min.,PG - Children,1,Fantasy,Kids,,
Hulaing Babies Aratame: Staying Babies,,5.20,13987,12376,896,TV,4,Finished Airing,"Jun 10, 2020 to Jul 15, 2020",JTB Next Creation,"None found, add some",Fukushima Gaina,Original,,5 min. per ep.,PG-13 - Teens 13 or older,0,"Comedy, Slice of Life",,Summer 2020,Unknown
Ippatsu Hicchuu!! Devander,,5.20,13807,12377,948,OVA,1,Finished Airing,"Oct 19, 2012","None found, add some","None found, add some",Tatsunoko Production,Unknown,"Mecha, Parody, Super Power",27 min.,G - All Ages,1,"Action, Sci-Fi",,,
100%,A Hundred Percents,5.19,13362,12378,1,OVA,1,Finished Airing,"Sep 7, 1990",Nippon Animation,"None found, add some","None found, add some",Unknown,,53 min.,R+ - Mild Nudity,0,Drama,,,
2.43 Mini Anime: Volleyball Kouza,,5.19,11833,12379,1,ONA,10,Finished Airing,"Nov 29, 2020 to Jan 3, 2021","None found, add some","None found, add some","None found, add some",Novel,"School, Team Sports",2 min. per ep.,PG-13 - Teens 13 or older,5,Sports,,,
Be Rockin',,5.19,16973,12380,425,ONA,5,Finished Airing,"May 30, 2006 to Jun 6, 2006","None found, add some","None found, add some",Anon Pictures,Original,Music,2 min. per ep.,G - All Ages,0,,,,
Chou Futsuu Toshi Kashiwa Densetsu,,5.19,14012,12381,888,ONA,10,Finished Airing,"Feb 13, 2016 to Apr 26, 2019","None found, add some","None found, add some",Super Normal Studio,Original,,6 min. per ep.,G - All Ages,0,"Comedy, Fantasy",,,
Diabolik Lovers,,5.19,678,12382,351,TV,12,Finished Airing,"Sep 16, 2013 to Dec 9, 2013","Frontier Works,       Idea Factory,       Showgate",Sentai Filmworks,Zexcs,Visual novel,"Reverse Harem, School, Vampire",15 min. per ep.,R - 17+ (violence & profanity),"1,804","Drama, Supernatural",Josei,Fall 2013,Unknown
G-Taste (2010),G-Best,5.19,8739,12383,4,OVA,1,Finished Airing,"Nov 22, 2010","None found, add some","None found, add some",AIC PLUS+,Manga,,25 min.,R+ - Mild Nudity,9,"Girls Love, Ecchi",Seinen,,
Kabi Usagi,,5.19,18585,12384,307,ONA,3,Finished Airing,"Jul 5, 2012 to Aug 10, 2012",Ripromo,"None found, add some","None found, add some",Original,,33 sec. per ep.,G - All Ages,0,Comedy,,,
Kirin the Noop,,5.19,14536,12386,762,TV Special,Unknown,Currently Airing,"Feb 6, 2014 to ?",NHK,"None found, add some","None found, add some",Original,,5 min.,G - All Ages,1,Adventure,,,
Kagami,,5.19,16195,12385,500,Movie,1,Finished Airing,1960,"None found, add some","None found, add some","None found, add some",Original,,12 min.,G - All Ages,0,Romance,,,
MiniGARO,,5.19,17425,12387,392,ONA,2,Finished Airing,"Jul 16, 2013 to Mar 6, 2014",Tohokushinsha Film Corporation,"None found, add some","None found, add some",Original,,46 sec. per ep.,G - All Ages,0,Comedy,,,
New Hal & Bons,,5.19,16542,12388,464,OVA,9,Finished Airing,"May 27, 2006",Grasshoppa!,"None found, add some","None found, add some",Unknown,,6 min. per ep.,PG-13 - Teens 13 or older,0,"Comedy, Slice of Life",,,
Odoru Mowai-kun,,5.19,14080,12389,875,TV,26,Finished Airing,"Jul 2, 2019 to Dec 24, 2019","None found, add some","None found, add some",Monster's Egg,Original,,2 min. per ep.,G - All Ages,3,Comedy,Kids,Summer 2019,Tuesdays at 07:05 (JST)
Okashina Hotel,,5.19,12179,12390,1,Special,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Original,,1 min.,G - All Ages,1,Avant Garde,,,
Robo to Shoujo (Kari): Oshirase Gekijou (Kari),,5.19,15933,12391,530,ONA,5,Finished Airing,"Jul 22, 2011 to Sep 5, 2011","None found, add some","None found, add some","None found, add some",Unknown,,1 min. per ep.,PG-13 - Teens 13 or older,0,"Comedy, Sci-Fi",,,
Shounen Kenya,Kenya Boy,5.19,10172,12392,2,Movie,1,Finished Airing,"Mar 10, 1984","None found, add some","None found, add some",Toei Animation,Unknown,,1 hr. 55 min.,PG - Children,3,Adventure,,,
Space Shower Man: Legacy for the Future,,5.19,17181,12393,410,Special,1,Finished Airing,"Apr 8, 2019","None found, add some","None found, add some","None found, add some",Original,"Music, Strategy Game",40 sec.,G - All Ages,0,"Action, Comedy",,,
Super Taromu,,5.19,18381,12394,320,Special,1,Finished Airing,Not available,"None found, add some","None found, add some",Knack Productions,Unknown,Mecha,20 min.,G - All Ages,1,Action,,,
Suzume no Oyado,The Sparrows' Lodge,5.19,13939,12395,908,Movie,1,Finished Airing,1936,"None found, add some","None found, add some","None found, add some",Unknown,,10 min.,G - All Ages,0,Fantasy,,,
Tensai Banpaku Opening,,5.19,14353,12396,809,ONA,2,Finished Airing,"Dec 24, 2014 to Dec 29, 2014","None found, add some","None found, add some",Mirai Film,Original,,4 min. per ep.,G - All Ages,0,Avant Garde,,,
Uobbuchou,,5.19,18363,12397,322,ONA,1,Finished Airing,"Dec 13, 2012","None found, add some","None found, add some","None found, add some",Original,,8 min.,G - All Ages,3,Comedy,,,
With You: Mitsumeteitai,,5.19,11730,12398,1,OVA,2,Finished Airing,"Dec 25, 2000 to May 25, 2001",KENMedia,"None found, add some",Arms,Visual novel,"Love Polygon, School",28 min. per ep.,PG-13 - Teens 13 or older,0,"Drama, Fantasy, Mystery, Romance",,,
Xiao Yeyou,Little Yeyos,5.19,16489,12399,469,ONA,1,Finished Airing,"Mar 12, 2014","None found, add some","None found, add some",Light Chaser Animation Studios,Other,,3 min.,G - All Ages,1,"Comedy, Fantasy",Kids,,
Shishido Journey,,5.18,18502,12400,313,Special,1,Finished Airing,"Jun 3, 2017","None found, add some","None found, add some","None found, add some",Original,Music,3 min.,G - All Ages,0,,,,
Ookami wa Ookami da,A Wolf is a Wolf,5.13,15344,12501,608,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Original,,11 min.,G - All Ages,0,Fantasy,,,
Pops,,5.13,12065,12502,1,OVA,1,Finished Airing,"Jun 25, 1993","None found, add some","None found, add some",Madhouse,Manga,,31 min.,PG-13 - Teens 13 or older,3,Romance,Shoujo,,
Wonder Egg Priority: Watashi no Priority,Wonder Egg Priority: My Priority,5.13,1572,12503,147,TV Special,1,Finished Airing,"Jun 30, 2021",Aniplex,Funimation,CloverWorks,Original,Psychological,46 min.,R - 17+ (violence & profanity),441,"Drama, Fantasy",,,
Sleepy,,5.12,16156,12505,504,Movie,1,Finished Airing,1980,"None found, add some","None found, add some",Takun Manga Box,Unknown,,5 min.,G - All Ages,0,Comedy,,,
Shinpi no Hou,The Mystical Laws,5.12,11272,12504,2,Movie,1,Finished Airing,"Oct 6, 2012","Half H.P Studio,       Nikkatsu","None found, add some",HS Pictures Studio,Unknown,,1 hr. 59 min.,PG-13 - Teens 13 or older,3,"Adventure, Supernatural",,,
Steady x Study,,5.12,13489,12506,1,OVA,1,Finished Airing,"May 26, 2004",Idea Factory,"None found, add some","None found, add some",Visual novel,,24 min.,PG-13 - Teens 13 or older,0,Romance,,,
The Reflection,,5.12,4121,12507,29,TV,12,Finished Airing,"Jul 22, 2017 to Oct 7, 2017","Bandai Visual,       NHK,       81 Produce,       Haoliners Animation League,       China Animation Characters,       BIGFACE,       NHN PlayArt,       Ima Group,       Crunchyroll SC Anime Fund",Funimation,Studio Deen,Original,Super Power,25 min. per ep.,PG-13 - Teens 13 or older,12,Action,,Summer 2017,Saturdays at 23:00 (JST)
1/100 Shibuya Crossing,,5.12,13468,12509,1,ONA,1,Finished Airing,"Jun 28, 2015",Terada Mokei,"None found, add some","None found, add some",Original,,2 min.,G - All Ages,1,Slice of Life,,,
Tokyo Loop,,5.12,10935,12508,2,Movie,1,Finished Airing,"Dec 23, 2006","None found, add some","None found, add some","None found, add some",Original,,1 hr. 10 min.,R+ - Mild Nudity,5,"Avant Garde, Comedy",,,
