Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Nobunaga-sensei no Osanazuma,Nobunaga Teacher's Young Bride,5.32,2320,12104,84,TV,12,Finished Airing,"Apr 6, 2019 to Jun 22, 2019","None found, add some","None found, add some",Seven,Manga,"Comedy, Romance, Ecchi","Harem, School, Time Travel",7 min. per ep.,R+ - Mild Nudity,109,,Spring 2019,Saturdays at 23:20 (JST)
Shougakusei no Yuukai Boushi: Yumi-chan Abunai yo!,,5.32,16132,12106,506,OVA,1,Finished Airing,"May 21, 1991","None found, add some","None found, add some",Pierrot,Unknown,,Educational,14 min.,G - All Ages,1,Kids,,
Yumemi Douji,,5.32,14985,12107,668,Movie,1,Finished Airing,"Apr 5, 1958","None found, add some","None found, add some",Toei Animation,Original,Drama,,15 min.,G - All Ages,0,,,
Yuusei Shounen Papii,Prince Planet,5.32,13566,12108,1,TV,52,Finished Airing,"Jun 3, 1965 to May 27, 1966","None found, add some","None found, add some",Eiken,Original,"Action, Sci-Fi","Space, Super Power",25 min. per ep.,PG - Children,1,,Summer 1965,Unknown
_Summer Specials,,5.32,9673,12109,3,Special,2,Finished Airing,"Oct 27, 2006 to Jan 26, 2007","None found, add some","None found, add some",Rikuentai,Visual novel,,Harem,4 min. per ep.,PG-13 - Teens 13 or older,1,,,
"""Parade"" de Satie",,5.32,12785,12110,1,Movie,1,Finished Airing,May 2016,"None found, add some","None found, add some","Yamamura Animation, Inc.",Original,Avant Garde,Music,14 min.,G - All Ages,1,,,
Akai Hayate,,5.32,10715,12111,2,OVA,4,Finished Airing,"May 21, 1991 to Nov 21, 1991",Minami Machi Bugyousho,Central Park Media,Pierrot,Original,Action,"Martial Arts, Super Power",27 min. per ep.,R+ - Mild Nudity,1,,,
Ami no Monomane 150 Renpatsu,Ami's Impersonation: 150 Consecutive Attempts,5.32,13425,12112,1,Special,1,Finished Airing,"Apr 30, 2009","None found, add some","None found, add some",J.C.Staff,Light novel,Comedy,Parody,2 min.,PG-13 - Teens 13 or older,0,,,
Birthday,,5.32,18212,12113,331,Movie,1,Finished Airing,2007,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,1 min.,G - All Ages,0,,,
Eien no Aselia,The Eternal Aseria,5.32,8510,12114,5,OVA,2,Finished Airing,"Jun 24, 2005 to Mar 24, 2006",Japan Home Video,"None found, add some",Studio Matrix,Visual novel,"Adventure, Drama, Fantasy",,29 min. per ep.,PG-13 - Teens 13 or older,4,,,
Gensou Sangokushi: Tengen Reishinki,Fantasia Sango: Realm of Legends,5.32,4756,12116,21,TV,12,Finished Airing,"Jan 11, 2022 to Mar 29, 2022",Tohokushinsha Film Corporation,Funimation,Geek Toys,Game,Fantasy,Historical,24 min. per ep.,PG-13 - Teens 13 or older,103,,Winter 2022,Tuesdays at 02:00 (JST)
Fantasia,Girl from Phantasia,5.32,9807,12115,3,OVA,1,Finished Airing,"Nov 26, 1993",Starchild Records,ADV Films,Production I.G,Manga,"Comedy, Drama, Fantasy, Romance",,28 min.,PG-13 - Teens 13 or older,1,,,
Hentatsu,,5.32,11529,12117,1,ONA,9,Finished Airing,"Jan 31, 2018 to Sep 13, 2019","None found, add some","None found, add some","None found, add some",Original,Comedy,,1 min. per ep.,G - All Ages,1,,,
