,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
87,Astarotte no Omocha! EX,Astarotte's Toy EX,6.54,3650,6520,38,OVA,1,Finished Airing,"Sep 7, 2011","None found, add some","None found, add some",Diomedéa,Manga,"Comedy, Fantasy, Romance, Ecchi",Isekai,Seinen,23 min.,PG-13 - Teens 13 or older,25,,
88,Astro Boy: Tetsuwan Atom - Getsumen Kichi - Kieta Robot no Nazo,,6.54,12475,6521,1,Movie,1,Finished Airing,"May 29, 2004","None found, add some","None found, add some","None found, add some",Manga,Sci-Fi,"Mecha, Space",Kids,Unknown,G - All Ages,0,,
89,Bleach: Gotei 13 Omake,Bleach: 13 Court Guard Squads Omake,6.54,5325,6522,16,Special,1,Finished Airing,"Jun 12, 2005","None found, add some","None found, add some",Pierrot,Manga,Action,,Shounen,3 min.,PG-13 - Teens 13 or older,29,,
90,Blue Dragon: Tenkai no Shichi Ryuu,Blue Dragon: Trials of the Seven Shadows,6.54,5049,6523,18,TV,51,Finished Airing,"Apr 5, 2008 to Mar 28, 2009",TV Tokyo,VIZ Media,Pierrot,Game,"Adventure, Comedy, Fantasy",,,20 min. per ep.,PG - Children,20,Spring 2008,Unknown
91,Bokusatsu Tenshi Dokuro-chan,Bludgeoning Angel Dokuro-chan,6.54,1193,6524,202,OVA,4,Finished Airing,"Mar 13, 2005 to Sep 22, 2005","Showgate,       Geneon Entertainment","Media Blasters,       Discotek Media","HAL Film Maker,       Nomad",Light novel,"Comedy, Supernatural, Ecchi","Gag Humor, Gore",,26 min. per ep.,R - 17+ (violence & profanity),866,,
92,Busou Shinki: Install x Dream,,6.54,7651,6525,6,OVA,1,Finished Airing,"Jun 26, 2013","None found, add some","None found, add some",8bit,Other,"Action, Sci-Fi",Mecha,,24 min.,PG-13 - Teens 13 or older,1,,
93,Cardfight!! Vanguard G Z,,6.54,6790,6526,8,TV,24,Finished Airing,"Oct 8, 2017 to Apr 1, 2018","Sotsu,       Ace Crew Entertainment","None found, add some",OLM,Card game,Action,Strategy Game,,24 min. per ep.,PG-13 - Teens 13 or older,12,Fall 2017,Sundays at 10:00 (JST)
94,Choujikuu Kidan Southern Cross,Robotech Masters,6.54,6844,6527,8,TV,23,Finished Airing,"Apr 15, 1984 to Sep 30, 1984","Big West,       Harmony Gold",ADV Films,Tatsunoko Production,Original,"Action, Drama, Sci-Fi",Mecha,,23 min. per ep.,R+ - Mild Nudity,17,Spring 1984,Unknown
95,Cinderella Girls Gekijou 3rd Season,,6.54,7456,6528,7,TV,13,Finished Airing,"Jul 3, 2018 to Sep 25, 2018","None found, add some",Crunchyroll,"Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",Idols (Female),,3 min. per ep.,PG-13 - Teens 13 or older,3,Summer 2018,Tuesdays at 21:54 (JST)
96,"Dakara Boku wa, H ga Dekinai.","So, I Can't Play H!",6.54,548,6529,421,TV,12,Finished Airing,"Jul 6, 2012 to Sep 25, 2012","Geneon Universal Entertainment,       Sotsu,       Lantis,       AT-X,       KlockWorx,       Fujimi Shobo",Sentai Filmworks,feel.,Light novel,"Comedy, Romance, Supernatural, Ecchi","Harem, School",,23 min. per ep.,R+ - Mild Nudity,931,Summer 2012,Fridays at 11:00 (JST)
97,Densetsu no Yuusha no Densetsu: Iris Report,The Legend of the Legendary Heroes: Iris Report,6.54,4901,6531,20,TV Special,1,Finished Airing,"Oct 14, 2010",Kadokawa Contents Gate,Funimation,Zexcs,Light novel,"Action, Adventure, Fantasy",Military,,23 min.,R - 17+ (violence & profanity),23,,
98,Dance in the Vampire Bund: Special Edition,,6.54,5299,6530,16,TV Special,1,Finished Airing,"Feb 25, 2010","None found, add some","None found, add some",Shaft,Manga,"Action, Supernatural",Vampire,,23 min.,R - 17+ (violence & profanity),13,,
99,Doraemon: Time Machine de Oshougatsu,,6.54,11686,6532,1,Special,1,Finished Airing,"Jan 3, 1980",Asatsu DK,"None found, add some","None found, add some",Unknown,"Adventure, Comedy, Sci-Fi",,"KidsKids,         ShounenShounen",22 min.,PG - Children,1,,
100,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z: Lord Slug,6.54,1819,6533,121,Movie,1,Finished Airing,"Mar 9, 1991","None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Fantasy, Sci-Fi",,Shounen,51 min.,PG-13 - Teens 13 or older,27,,
101,Dragon Ball Z: Summer Vacation Special,,6.54,5582,6534,14,TV Special,1,Finished Airing,Jul 1992,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy","Martial Arts, Super Power",Shounen,43 min.,PG-13 - Teens 13 or older,3,,
102,Extreme Hearts,,6.54,5937,6535,12,TV,12,Finished Airing,"Jul 10, 2022 to Sep 25, 2022","TBS,       King Records","None found, add some",Seven Arcs,Original,"Sci-Fi, Sports","Idols (Female), Music, Team Sports",,24 min. per ep.,PG-13 - Teens 13 or older,31,Summer 2022,Sundays at 01:30 (JST)
103,Gegege no Kitarou (1985),,6.54,9925,6536,3,TV,108,Finished Airing,"Oct 12, 1985 to Feb 6, 1988","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Supernatural",,,23 min. per ep.,G - All Ages,3,Fall 1985,Unknown
104,Gundam Build Divers: Battlogue,Gundam Build Divers Battlogue,6.54,9964,6537,3,ONA,1,Finished Airing,"Nov 13, 2020",Sunrise,Nozomi Entertainment,Sunrise Beyond,Original,"Action, Sci-Fi",Mecha,,11 min.,G - All Ages,5,,
105,Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,,6.54,12211,6538,1,Special,1,Finished Airing,2008,"None found, add some","None found, add some",Yumeta Company,Visual novel,"Comedy, Fantasy",,,7 min.,G - All Ages,3,,
106,Hidamari Sketch: Chou Hidamatsuri Special,,6.54,9477,6539,3,Special,1,Finished Airing,"Dec 12, 2007","Aniplex,       Lantis","None found, add some",Shaft,4-koma manga,Comedy,"CGDCT, Iyashikei, Visual Arts",,2 min.,PG-13 - Teens 13 or older,0,,
107,Higurashi no Naku Koro ni Kira,,6.54,2278,6540,87,OVA,4,Finished Airing,"Jul 21, 2011 to Jan 25, 2012",Frontier Works,"None found, add some",Studio Deen,Original,"Comedy, Mystery",Parody,,29 min. per ep.,R - 17+ (violence & profanity),155,,
108,Iketeru Futari,,6.54,4875,6541,20,TV,16,Finished Airing,"Feb 2, 1999 to Feb 26, 1999",TBS,"None found, add some",J.C.Staff,Manga,"Comedy, Romance, Ecchi",School,Seinen,8 min. per ep.,R+ - Mild Nudity,31,Winter 1999,Unknown
109,Ikkitousen: Extravaganza Epoch,,6.54,5397,6542,15,OVA,2,Finished Airing,"Dec 21, 2014 to Dec 28, 2014","Genco,       Media Factory,       AT-X,       Bushiroad,       Showgate,       Kadokawa","None found, add some",Arms,Manga,"Action, Ecchi","Martial Arts, School, Super Power",Seinen,25 min. per ep.,R+ - Mild Nudity,11,,
110,Ikkitousen: Great Guardians Specials,,6.54,4953,6543,19,Special,6,Finished Airing,"Sep 30, 2008 to Feb 25, 2009",Genco,Funimation,Arms,Manga,"Comedy, Ecchi",,Seinen,2 min. per ep.,R+ - Mild Nudity,13,,
111,Jidao Long Shen,Rise of the Dragon,6.54,12925,6544,1,ONA,40,Finished Airing,"Jul 2, 2022 to Nov 12, 2022",Youku,"None found, add some",Ruo Hong Culture,Original,"Action, Fantasy",,,11 min. per ep.,PG-13 - Teens 13 or older,5,,
112,Kemeko Deluxe!,,6.54,3441,6545,42,TV,12,Finished Airing,"Oct 5, 2008 to Dec 21, 2008","Yomiuri Telecasting,       Yomiko Advertising,       KlockWorx,       AC Create,       ASCII Media Works,       Geneon Entertainment","None found, add some",HAL Film Maker,Manga,"Action, Comedy, Romance, Sci-Fi, Ecchi",School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,57,Fall 2008,Unknown
113,Kinnikuman II Sei: Muscle Ninjin Soudatsu sen! Choujin Daisensou,,6.54,11961,6546,1,Movie,1,Finished Airing,"Jul 20, 2002","None found, add some","None found, add some",Toei Animation,Manga,"Action, Comedy, Drama, Romance","Martial Arts, Samurai",,40 min.,PG-13 - Teens 13 or older,0,,
114,Kuromajo-san ga Tooru!!,Here Comes the Black Witch!!,6.54,6449,6547,9,TV,60,Finished Airing,"Apr 4, 2012 to Feb 19, 2014",NHK,"None found, add some",Shin-Ei Animation,Novel,"Comedy, Slice of Life",School,,7 min. per ep.,PG - Children,15,Spring 2012,Unknown
115,Kyoukai Senki Part 2,AMAIM Warrior at the Borderline Part 2,6.54,5627,6548,13,TV,12,Finished Airing,"Apr 12, 2022 to Jun 28, 2022","None found, add some","None found, add some",Sunrise Beyond,Original,"Action, Sci-Fi",Mecha,,24 min. per ep.,PG-13 - Teens 13 or older,77,Spring 2022,Tuesdays at 00:00 (JST)
116,Ladies versus Butlers!,,6.54,1098,6549,222,TV,12,Finished Airing,"Jan 5, 2010 to Mar 23, 2010","Geneon Universal Entertainment,       Lantis,       AT-X,       KlockWorx,       ASCII Media Works,       BIGLOBE",Media Blasters,Xebec,Light novel,"Comedy, Romance, Ecchi","Harem, School",,24 min. per ep.,R+ - Mild Nudity,288,Winter 2010,Tuesdays at 22:00 (JST)
117,Magatsu Wahrheit: Zuerst,MAGATSU WAHRHEIT,6.54,3705,6550,36,TV,12,Finished Airing,"Oct 13, 2020 to Dec 29, 2020","WOWOW,       NBCUniversal Entertainment Japan,       Tokyo MX,       Q-Tec,       Chugai Mining,       BS11,       KLab,       Marui Group,       Bit grooove promotion",Funimation,Yokohama Animation Lab,Game,"Action, Fantasy",,,24 min. per ep.,R - 17+ (violence & profanity),62,Fall 2020,Tuesdays at 23:00 (JST)
118,Masou Gakuen HxH Specials,,6.54,3646,6551,38,Special,6,Finished Airing,"Sep 30, 2016 to Feb 24, 2017","DAX Production,       flying DOG","None found, add some",Production IMS,Light novel,Ecchi,Harem,,4 min. per ep.,R+ - Mild Nudity,58,,
119,Master Mosquiton '99,Master of Mosquiton '99,6.54,8517,6552,5,TV,26,Finished Airing,"Sep 30, 1997 to Mar 31, 1998","TV Tokyo,       Sotsu","None found, add some",Radix,Manga,"Action, Adventure, Comedy, Supernatural",Vampire,,23 min. per ep.,PG-13 - Teens 13 or older,5,Fall 1997,Tuesdays at 18:00 (JST)
120,Meitantei Holmes: Mrs. Hudson Hitojichi Jiken no Maki / Dover Kaikyou no Daikuuchuusen no Maki,,6.54,13308,6553,1,Movie,1,Finished Airing,"Aug 2, 1986","None found, add some","None found, add some",TMS Entertainment,Novel,"Adventure, Comedy, Mystery","Anthropomorphic, Detective",,46 min.,G - All Ages,0,,
121,Mitsubachi Maya no Bouken,Maya the Bee,6.54,6303,6554,10,TV,52,Finished Airing,"Apr 1, 1975 to Apr 20, 1976",Zuiyo,Saban Entertainment,Nippon Animation,Book,"Adventure, Comedy",,Kids,25 min. per ep.,G - All Ages,37,Spring 1975,Tuesdays at 19:30 (JST)
122,Mizugumo Monmon,Water Spider Monmon,6.54,9218,6555,4,Movie,1,Finished Airing,"Jan 3, 2006","None found, add some","None found, add some",Studio Ghibli,Original,"Fantasy, Romance",,Kids,15 min.,G - All Ages,4,,
123,Morita-san wa Mukuchi,,6.54,6541,6556,9,OVA,1,Finished Airing,"Mar 26, 2011","DAX Production,       Dream Creation","None found, add some",Studio Gram,4-koma manga,"Comedy, Slice of Life",School,,23 min.,PG-13 - Teens 13 or older,2,,
124,One Piece: Otoshidama Special - Tokubetsu Hou Mugiwara Kaizokudan no Himitsu!,One Piece: New Year's Special - The Secret of the Straw Hat Pirates!,6.54,10656,6557,2,TV Special,1,Finished Airing,"Jan 3, 2006","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",,Shounen,1 hr. 24 min.,PG-13 - Teens 13 or older,1,,
125,Onegai♪My Melody Kirara★,,6.54,10465,6558,2,TV,52,Finished Airing,"Apr 6, 2008 to Mar 29, 2009",Sanrio,"None found, add some",Studio Comet,Unknown,"Comedy, Fantasy",,,20 min. per ep.,G - All Ages,4,Spring 2008,Sundays at 09:30 (JST)
126,Parasite Dolls,,6.54,4859,6559,20,OVA,3,Finished Airing,"May 22, 2003 to Jul 24, 2003",Imagica,"ADV Films,       Sentai Filmworks",AIC,Original,"Action, Sci-Fi","Detective, Gore, Mecha",,30 min. per ep.,R+ - Mild Nudity,33,,
127,Pastel Life,,6.54,7802,6560,6,TV,6,Finished Airing,"May 17, 2018 to Jun 21, 2018","None found, add some","None found, add some",Studio A-CAT,Mixed media,Slice of Life,Music,,3 min. per ep.,PG-13 - Teens 13 or older,10,Spring 2018,Unknown
128,Patalliro! Stardust Keikaku,,6.54,11416,6561,1,Movie,1,Finished Airing,"Jul 10, 1983","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Boys Love, Comedy",,Shoujo,48 min.,PG-13 - Teens 13 or older,1,,
129,Petit Clover Advance,,6.54,7713,6563,6,Special,15,Finished Airing,"Feb 23, 2018 to Jun 25, 2021","None found, add some","None found, add some","None found, add some",Manga,Comedy,,,6 min. per ep.,PG-13 - Teens 13 or older,15,,
130,Peace Maker Kurogane Movie 2: Yuumei,PEACE MAKER KUROGANE – Belief & Friend,6.54,9499,6562,3,Movie,1,Finished Airing,"Nov 17, 2018",Showgate,"None found, add some",White Fox,Manga,"Action, Comedy","Historical, Samurai",Shounen,56 min.,R - 17+ (violence & profanity),5,,
131,RobiHachi,,6.54,3836,6564,34,TV,12,Finished Airing,"Apr 8, 2019 to Jun 24, 2019","Sotsu,       Pony Canyon,       Cygames",Funimation,Studio Comet,Original,"Adventure, Comedy, Sci-Fi",Space,,24 min. per ep.,PG-13 - Teens 13 or older,86,Spring 2019,Mondays at 23:30 (JST)
132,Saint Seiya: Knights of the Zodiac - Battle Sanctuary Part 2,Saint Seiya: Knights of the Zodiac - Battle for Sanctuary Part 2,6.54,11863,6565,1,ONA,12,Finished Airing,"Apr 1, 2024 to Jun 11, 2024","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy, Sci-Fi",Mythology,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,4,,
133,Sekai Meisaku Douwa: Hakuchou no Ouji,The Wild Swans,6.54,11045,6566,2,Movie,1,Finished Airing,"Mar 19, 1977","None found, add some","None found, add some",Toei Animation,Unknown,Fantasy,,,1 hr. 2 min.,PG - Children,2,,
134,Sengoku Otome: Momoiro Paradox,Battle Girls: Time Paradox,6.54,3194,6567,48,TV,13,Finished Airing,"Apr 5, 2011 to Jun 28, 2011","None found, add some",Sentai Filmworks,TMS Entertainment,Game,"Action, Comedy, Sci-Fi","Historical, Isekai, Samurai, Super Power, Time Travel",,23 min. per ep.,R+ - Mild Nudity,71,Spring 2011,Unknown
135,Shanhe Jian Xin Xiao Juchang,,6.54,13898,6568,920,ONA,95,Finished Airing,2021,"None found, add some","None found, add some","None found, add some",Novel,"Comedy, Fantasy",,,1 min. per ep.,G - All Ages,5,,
136,Shanshui Qing,,6.54,10990,6569,2,Movie,1,Finished Airing,1988,Shanghai Animation Film Studio,"None found, add some","None found, add some",Unknown,,Music,,19 min.,G - All Ages,33,,
137,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),,6.54,7973,6571,5,TV,26,Finished Airing,"Apr 4, 1999 to Sep 26, 1999",Kadokawa Shoten,"None found, add some",J.C.Staff,Novel,"Action, Adventure, Sci-Fi",,,25 min. per ep.,PG-13 - Teens 13 or older,8,Spring 1999,Sundays at 09:30 (JST)
138,Sukuwareru Ramiris,,6.54,8844,6572,4,ONA,2,Finished Airing,"Mar 19, 2022 to Jul 21, 2022","None found, add some","None found, add some",8bit,Manga,"Comedy, Fantasy",Isekai,,3 min. per ep.,PG-13 - Teens 13 or older,2,,
139,Sore Ike! Anpanman,,6.54,8949,6570,4,TV,Unknown,Currently Airing,"Oct 3, 1988 to ?","Sotsu,       Nippon Television Network","None found, add some",TMS Entertainment,Picture book,"Comedy, Fantasy",,Kids,24 min.,PG - Children,28,Fall 1988,Fridays at 16:20 (JST)
140,Teekyuu 9,Teekyu 9,6.54,5499,6573,14,TV,12,Finished Airing,"Jul 12, 2017 to Sep 27, 2017","DAX Production,       SMIRAL Animation","None found, add some",Millepensee,Manga,Comedy,,,2 min. per ep.,PG-13 - Teens 13 or older,15,Summer 2017,Wednesdays at 22:40 (JST)
141,The King of Fighters: Destiny,,6.54,8629,6574,4,ONA,24,Finished Airing,"Aug 3, 2017 to Jan 4, 2018",Bytehoo,"None found, add some",iDRAGONS Creative Studio,Game,"Action, Adventure, Drama, Romance",Martial Arts,,16 min. per ep.,PG-13 - Teens 13 or older,20,,
142,Toki wa Meguru: Tokyo Station,Passage of Time: Tokyo Station,6.54,8415,6575,5,ONA,1,Finished Airing,"Jun 24, 2014","None found, add some","None found, add some",A-1 Pictures,Original,Slice of Life,,,5 min.,G - All Ages,4,,
143,Tokyo ESP,,6.54,1399,6576,169,TV,12,Finished Airing,"Jul 12, 2014 to Sep 27, 2014","Lantis,       Kadokawa Shoten,       Rakuonsha,       KlockWorx,       Tokyo MX",Funimation,Xebec,Manga,"Action, Sci-Fi, Supernatural",Super Power,Shounen,24 min. per ep.,R - 17+ (violence & profanity),191,Summer 2014,Unknown
144,Tsuyokiss,,6.54,4869,6577,20,TV,12,Finished Airing,"Jul 2, 2006 to Sep 17, 2006","Three Fat Samurai,       Sol Blade","None found, add some","Trinet Entertainment,       Studio Hibari",Visual novel,"Comedy, Romance",School,,25 min. per ep.,PG-13 - Teens 13 or older,22,Summer 2006,Sundays at 02:05 (JST)
