,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
10,Teekyuu 8,Teekyu 8,6.61,5380,6156,15,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016","DAX Production,       SMIRAL Animation","None found, add some",Millepensee,Manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,12,Fall 2016,Wednesdays at 22:30 (JST),Shounen
11,Telepathy Shoujo Ran,,6.61,6578,6157,9,TV,26,Finished Airing,"Jun 21, 2008 to Dec 20, 2008","None found, add some","None found, add some",TMS Entertainment,Novel,Fantasy,School,24 min. per ep.,PG-13 - Teens 13 or older,6,Summer 2008,Unknown,
12,Tenshi no 3P!,Angel's 3Piece!,6.61,2717,6158,65,TV,12,Finished Airing,"Jul 10, 2017 to Sep 25, 2017","Sotsu,       Lantis,       AT-X,       Barnum Studio,       KlockWorx,       GAGA,       ASCII Media Works,       Studio Mausu,       Showgate,       Happinet Pictures,       Hakuhodo DY Music & Pictures",Discotek Media,Project No.9,Light novel,,"Music, School",23 min. per ep.,PG-13 - Teens 13 or older,111,Summer 2017,Mondays at 20:00 (JST),
13,Toji no Miko: Kizamishi Issen no Tomoshibi,Katana Maidens: Tomoshibi,6.61,7877,6159,6,OVA,2,Finished Airing,"Oct 25, 2020 to Nov 29, 2020","Square Enix,       Genco,       Mainichi Broadcasting System,       AT-X,       Studio Gokumi,       Crunchyroll,       Kadokawa,       My Theater D.D.","None found, add some",Project No.9,Game,"Action, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,11,,,
14,Touch 3: Kimi ga Toorisugita Ato ni - Don't Pass Me By,,6.61,10882,6160,2,Movie,1,Finished Airing,"Apr 11, 1987","OB Planning,       Asatsu DK,       Fuji TV,       TOHO,       Shogakukan","None found, add some",Group TAC,Unknown,"Drama, Sports","School, Team Sports",1 hr. 23 min.,PG-13 - Teens 13 or older,1,,,
15,Tsukumo,Possessions,6.61,7081,6161,8,Movie,1,Finished Airing,"Jun 4, 2012","None found, add some",Sentai Filmworks,Sunrise,Original,Supernatural,Historical,14 min.,PG-13 - Teens 13 or older,4,,,
16,Tsukuyomi: Moon Phase Special,,6.61,5959,6162,12,Special,1,Finished Airing,"Feb 22, 2006","None found, add some",Funimation,Shaft,Manga,"Avant Garde, Comedy, Slice of Life",,23 min.,PG-13 - Teens 13 or older,3,,,
17,Utawarerumono: Itsuwari no Kamen Specials,,6.61,8487,6163,5,Special,8,Finished Airing,"Mar 30, 2016 to Jun 29, 2016","None found, add some",Sentai Filmworks,"None found, add some",Visual novel,"Comedy, Fantasy",Parody,3 min. per ep.,PG-13 - Teens 13 or older,6,,,
18,Yoku Wakaru Gendai Mahou: Cruncha Cruncha Cruncha,,6.61,7753,6164,6,Special,1,Finished Airing,"Jun 14, 2009","None found, add some",Sentai Filmworks,Nomad,Light novel,Comedy,,23 min.,PG-13 - Teens 13 or older,2,,,
19,Andes Shounen Pepero no Bouken,Adventures of Pepero the Andes Boy,6.61,12185,6165,1,TV,26,Finished Airing,"Oct 6, 1975 to Mar 29, 1976",Wako Productions,"None found, add some","None found, add some",Unknown,Adventure,,24 min. per ep.,PG - Children,1,Fall 1975,Unknown,
