,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
10,Little Lulu to Chicchai Nakama,Little Lulu,6.43,13335,7167,1,TV,26,Finished Airing,"Oct 3, 1976 to Apr 3, 1977",Asahi Broadcasting,"None found, add some",Nippon Animation,Unknown,"Comedy, Slice of Life",Kids,25 min. per ep.,G - All Ages,1,Fall 1976,Unknown,
11,King of Prism: Shiny Seven Stars,,6.43,7801,7166,6,TV,12,Finished Airing,"Apr 16, 2019 to Jul 2, 2019","None found, add some","None found, add some",Tatsunoko Production,Original,Sports,,24 min. per ep.,PG-13 - Teens 13 or older,22,Spring 2019,Tuesdays at 01:35 (JST),"Idols (Male), Music"
12,Lovely Movie: Itoshi no Muco,Lovely Movie: Lovely Muuuuuuuco!,6.43,12204,7168,1,TV,20,Finished Airing,"Jul 29, 2013 to Dec 23, 2013","None found, add some","None found, add some",Doga Kobo,Manga,Slice of Life,,2 min. per ep.,PG - Children,0,Summer 2013,Unknown,Pets
13,Lupin III (2015): Italian Game,,6.43,7782,7169,6,TV Special,1,Finished Airing,"Jan 8, 2016",Telecom Animation Film,"None found, add some",TMS Entertainment,Original,"Action, Adventure, Comedy",Seinen,1 hr. 31 min.,PG-13 - Teens 13 or older,2,,,Adult Cast
14,Mashiro-iro Symphony: The Color of Lovers Picture Drama,Mashiroiro Symphony Picture Drama,6.43,6345,7170,10,Special,2,Finished Airing,"Feb 22, 2012 to May 23, 2012","None found, add some","None found, add some",Manglobe,Visual novel,"Drama, Romance",,7 min. per ep.,PG-13 - Teens 13 or older,4,,,Harem
15,Miami Guns,,6.43,7206,7171,7,TV,13,Finished Airing,"Feb 5, 2000 to May 20, 2000","Kodansha,       Animaruya",AN Entertainment,Group TAC,Manga,"Comedy, Ecchi",Shounen,24 min. per ep.,R - 17+ (violence & profanity),24,Winter 2000,Sundays at 01:45 (JST),Detective
16,Miru Tights: Cosplay Satsuei Tights,Miru Tights: Cosplay Photoshoot Tights,6.43,4194,7172,28,Special,1,Finished Airing,"Aug 23, 2019","None found, add some","None found, add some",Yokohama Animation Lab,Original,Ecchi,,4 min.,PG-13 - Teens 13 or older,41,,,School
17,Nezha Nao Hai,Nezha Conquers The Dragon King,6.43,13021,7173,1,Movie,1,Finished Airing,"May 19, 1979","None found, add some","None found, add some",Shanghai Animation Film Studio,Novel,,Kids,58 min.,G - All Ages,5,,,
18,NG Knight Ramune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,,6.43,11942,7174,1,OVA,3,Finished Airing,"Jun 23, 1993 to Sep 22, 1993","None found, add some",Discotek Media,Ashi Productions,Original,"Adventure, Comedy, Fantasy",,30 min. per ep.,PG-13 - Teens 13 or older,2,,,
19,"Onihei: Sono Otoko, Heizou Hasegawa",,6.43,9569,7175,3,OVA,1,Finished Airing,"Feb 22, 2017","TMS Entertainment,       Studio M2","None found, add some",MAPPA,Novel,,,40 min.,R+ - Mild Nudity,3,,,"Historical, Samurai"
20,Paul no Miracle Daisakusen,Paul in Fantasy Island,6.43,12275,7178,1,TV,50,Finished Airing,"Oct 3, 1976 to Sep 11, 1977",Fuji TV,"None found, add some",Tatsunoko Production,Original,"Action, Adventure",Kids,25 min. per ep.,G - All Ages,1,Fall 1976,Sundays at 18:00 (JST),
21,Otoko Ippiki Gaki Daishou,,6.43,12086,7177,1,TV,156,Finished Airing,"Sep 29, 1969 to Mar 28, 1970",AT-X,"None found, add some",Tokyo TV Douga,Manga,"Action, Drama",Shounen,10 min. per ep.,PG-13 - Teens 13 or older,2,Fall 1969,Unknown,Delinquents
22,"Ore, Twintail ni Narimasu.",Gonna be the Twin-Tail!!,6.43,1470,7176,160,TV,12,Finished Airing,"Oct 10, 2014 to Dec 26, 2014","Pony Canyon,       TBS,       DAX Production,       Daiichikosho,       Shogakukan",Funimation,Production IMS,Light novel,"Action, Comedy, Fantasy, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,538,Fall 2014,Fridays at 01:46 (JST),"Magical Sex Shift, Parody, School, Super Power"
23,Pokemon Best Wishes!,Pokémon: Black & White,6.43,2035,7179,104,TV,84,Finished Airing,"Sep 23, 2010 to Jun 14, 2012","TV Tokyo,       MediaNet,       Half H.P Studio,       Studio Jack","VIZ Media,       The Pokemon Company International",OLM,Game,"Action, Adventure, Comedy, Fantasy",Kids,22 min. per ep.,PG - Children,159,Fall 2010,Thursdays at 19:00 (JST),
24,RPG Densetsu Hepoi,,6.43,12612,7181,1,TV,50,Finished Airing,"Oct 6, 1990 to Sep 28, 1991",Nihon Ad Systems,"None found, add some",Gallop,Unknown,"Adventure, Fantasy",,25 min. per ep.,None,12,Fall 1990,Unknown,
25,Rokumon Tengai Mon Colle Knights,Six Gates Faraway Mon Colle Knights,6.43,8135,7180,5,TV,51,Finished Airing,"Jan 10, 2000 to Dec 25, 2000","None found, add some",Discotek Media,Studio Deen,Card game,"Adventure, Comedy, Fantasy",Kids,25 min. per ep.,G - All Ages,16,Winter 2000,Mondays at 18:00 (JST),Parody
26,Salad Juu Yuushi Tomatoman,Tomatoman,6.43,12341,7182,1,TV,50,Finished Airing,"Apr 3, 1992 to Mar 27, 1993","TV Tokyo,       Yomiko Advertising,       Gakken","None found, add some",Animation 21,Original,"Adventure, Comedy",,23 min. per ep.,G - All Ages,3,Spring 1992,Fridays at 18:30 (JST),
27,Senran Kagura Specials,,6.43,5057,7183,18,Special,6,Finished Airing,"Mar 27, 2013 to Aug 28, 2013","Genco,       Media Factory,       Marvelous AQL","None found, add some",Artland,Unknown,Ecchi,,3 min. per ep.,PG-13 - Teens 13 or older,24,,,
28,Shouxi Yu Ling Shi 2,,6.43,14500,7184,773,ONA,60,Finished Airing,"Mar 3, 2021 to Sep 15, 2021","None found, add some","None found, add some",Suoyi Technology,Original,"Action, Fantasy",,11 min. per ep.,PG-13 - Teens 13 or older,2,,,
29,Shuukan Storyland,,6.43,13639,7185,996,TV,56,Finished Airing,"Oct 14, 1999 to Sep 13, 2001",Nippon Television Network,"None found, add some","Nippon Animation,       VAP,       Satelight,       Shin-Ei Animation,       Tokyo Movie",Original,"Comedy, Drama, Slice of Life",Seinen,25 min. per ep.,PG-13 - Teens 13 or older,0,Fall 1999,Thursdays at 20:00 (JST),
30,Sketchbook: Full Color's Picture Drama,,6.43,10447,7186,2,Special,6,Finished Airing,"Jan 25, 2008 to Jun 25, 2008","Media Factory,       Shochiku,       AT-X,       TYO,       Mag Garden","None found, add some",HAL Film Maker,4-koma manga,Slice of Life,,7 min. per ep.,G - All Ages,2,,,"CGDCT, Iyashikei, Visual Arts"
31,Slow Step,,6.43,9430,7187,3,OVA,5,Finished Airing,"Jun 1, 1991 to Nov 1, 1991",Youmex,"None found, add some",Pastel,Manga,"Comedy, Romance, Sports",Shoujo,43 min. per ep.,PG-13 - Teens 13 or older,2,,,School
32,Tako ni Natta Okaasan,,6.43,13809,7188,947,TV Special,1,Finished Airing,"Aug 15, 2003","None found, add some","None found, add some",Shin-Ei Animation,Novel,Drama,,45 min.,G - All Ages,3,,,Historical
33,The iDOLM@STER SideM: 315 Variety Pack! Made In Passion!,,6.43,9997,7189,3,Special,1,Finished Airing,"Jun 27, 2018","Aniplex,       Lantis,       Bandai Namco Live Creative,       Bandai Namco Entertainment,       ABC Animation","None found, add some",A-1 Pictures,Game,,,25 min.,PG-13 - Teens 13 or older,4,,,"Idols (Male), Music"
34,The Missing 8,,6.43,9803,7190,3,ONA,8,Finished Airing,"Dec 28, 2021 to Nov 8, 2022",Half H.P Studio,"None found, add some",Wit Studio,Original,Sci-Fi,,14 min. per ep.,PG-13 - Teens 13 or older,8,,,
35,The World of Golden Eggs,,6.43,13074,7191,1,TV,26,Finished Airing,"Jan 7, 2005 to Dec 9, 2006","None found, add some","None found, add some","Plus Heads,       Studio Crocodile",Original,Comedy,,13 min. per ep.,PG-13 - Teens 13 or older,5,Winter 2005,Fridays at 22:45 (JST),Parody
36,The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,,6.43,11534,7192,1,Movie,1,Finished Airing,"Mar 7, 1998","None found, add some","None found, add some",Shin-Ei Animation,Unknown,Fantasy,,16 min.,PG - Children,1,,,
37,"The☆Doraemons: Strange, Sweets, Strange?",,6.43,11648,7193,1,Movie,1,Finished Airing,"Mar 6, 1999","None found, add some","None found, add some",Shin-Ei Animation,Unknown,Fantasy,,16 min.,PG - Children,0,,,
38,Vividred Operation,,6.43,2680,7194,67,TV,12,Finished Airing,"Jan 11, 2013 to Mar 29, 2013","Aniplex,       Mainichi Broadcasting System",Aniplex of America,A-1 Pictures,Original,"Action, Sci-Fi, Ecchi",,24 min. per ep.,R+ - Mild Nudity,103,Winter 2013,Fridays at 01:30 (JST),
39,Wo de Ni Tian Shen Qi,My Holy Weapon,6.43,5530,7195,14,ONA,16,Finished Airing,"Apr 26, 2018 to Aug 9, 2018",Tencent Animation & Comics,"None found, add some","Haoliners Animation League,       Pb Animation Co. Ltd.",Web manga,"Adventure, Comedy, Fantasy, Romance, Supernatural",,17 min. per ep.,PG-13 - Teens 13 or older,29,,,
40,Yoku Wakaru Gendai Mahou,,6.43,4353,7196,26,TV,12,Finished Airing,"Jul 12, 2009 to Sep 27, 2009","Studio Jack,       Shueisha",Sentai Filmworks,Nomad,Light novel,Comedy,,24 min. per ep.,PG-13 - Teens 13 or older,29,Summer 2009,Sundays at 00:00 (JST),Mahou Shoujo
41,Yuuki Yuuna wa Yuushabu Shozoku,,6.43,8480,7197,5,Movie,1,Finished Airing,"Mar 18, 2017","None found, add some","None found, add some",W-Toon Studio,Manga,"Comedy, Fantasy, Slice of Life",,7 min.,PG-13 - Teens 13 or older,5,,,
42,Zanting! Rang Wo Cha Gonglue,Pause! Let Me Check the Walkthrough First,6.43,7603,7198,6,ONA,12,Finished Airing,"May 21, 2022 to Jul 30, 2022","bilibili,       Kadokawa","None found, add some",Kung Fu Frog Animation,Original,"Comedy, Fantasy",,18 min. per ep.,PG-13 - Teens 13 or older,8,,,Isekai
43,009 Re:Cyborg,,6.43,4890,7199,20,Movie,1,Finished Airing,"Oct 27, 2012","Nippon Television Network,       Ishimori Pro","Funimation,       NYAV Post","Production I.G,       SANZIGEN",Manga,"Action, Adventure, Sci-Fi",,1 hr. 43 min.,PG-13 - Teens 13 or older,31,,,Mecha
44,Aishen Qiaokeli-ing: Wanjie Jinian,,6.43,8821,7200,4,ONA,1,Finished Airing,"Mar 23, 2016",Tencent Animation & Comics,"None found, add some",B.CMAY PICTURES,Web manga,"Comedy, Romance",,8 min.,PG-13 - Teens 13 or older,4,,,"Harem, School"
