,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
24,Hajimete no Gal: Hajimete no Bunkasai,My First Girlfriend is a Gal: My First Cultural Festival,6.46,2551,7038,72,OVA,1,Finished Airing,"Dec 26, 2017","None found, add some",Funimation,NAZ,Manga,"Comedy, Romance, Ecchi","Harem, School",Shounen,23 min.,PG-13 - Teens 13 or older,104,,
25,Hare Tokidoki Buta (TV),Tokyo Pig,6.46,12147,7039,1,TV,61,Finished Airing,"Jul 3, 1997 to Sep 29, 1998","TV Tokyo,       Aniplex,       TV Tokyo Music","None found, add some","None found, add some",Picture book,Comedy,Parody,,23 min. per ep.,PG - Children,7,Summer 1997,Tuesdays at 18:30 (JST)
26,Huckleberry Finn Monogatari,,6.46,11359,7040,2,TV,26,Finished Airing,"Aug 26, 1994 to Mar 3, 1995",Enoki Films,"None found, add some",Aubec,Novel,Adventure,,,20 min. per ep.,None,4,Summer 1994,Fridays at 18:00 (JST)
27,Hyakka Ryouran: Samurai After Specials,,6.46,6228,7041,10,Special,2,Finished Airing,"Jan 23, 2015 to Jul 1, 2015","None found, add some","None found, add some",Arms,Unknown,Ecchi,,,4 min. per ep.,R+ - Mild Nudity,6,,
28,IS: Infinite Stratos 2,Infinite Stratos 2,6.46,590,7042,394,TV,12,Finished Airing,"Oct 4, 2013 to Dec 20, 2013","Lantis,       TBS,       Sony Music Communications,       Overlap",Sentai Filmworks,8bit,Light novel,"Action, Comedy, Romance, Sci-Fi, Ecchi","Harem, School",,24 min. per ep.,PG-13 - Teens 13 or older,524,Fall 2013,Fridays at 01:58 (JST)
29,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 2nd Season,,6.46,14207,7043,843,ONA,12,Finished Airing,"Dec 27, 2019 to Apr 3, 2020","bilibili,       Seasun Pictures","None found, add some",Shengying Animation,Game,"Action, Adventure, Comedy","Historical, Martial Arts",,22 min. per ep.,PG-13 - Teens 13 or older,1,,
30,Jiu Tian Xuan Di Jue 3rd Season,The Success Of Empyrean Xuan Emperor 3rd Season,6.46,14046,7045,880,ONA,52,Finished Airing,"Oct 31, 2022 to Apr 28, 2023",Youku,"None found, add some",Ruo Hong Culture,Original,"Action, Adventure, Fantasy","Martial Arts, Mythology",,10 min. per ep.,PG-13 - Teens 13 or older,4,,
31,Jinsei,JINSEI -Life Consulting-,6.46,2583,7044,71,TV,13,Finished Airing,"Jul 6, 2014 to Sep 28, 2014","VAP,       Yomiuri Telecasting",Funimation,feel.,Light novel,"Comedy, Slice of Life",School,,24 min. per ep.,PG-13 - Teens 13 or older,69,Summer 2014,Sundays at 22:00 (JST)
32,Akashic Re:cords,,6.45,9563,7046,3,ONA,1,Finished Airing,"Oct 18, 2016","None found, add some","None found, add some","None found, add some",Game,Fantasy,Strategy Game,,1 min.,G - All Ages,10,,
33,Amemiya-san,,6.45,12931,7047,1,ONA,3,Finished Airing,"Mar 9, 2021 to Aug 27, 2021","None found, add some","None found, add some","None found, add some",Other,Comedy,,,1 min. per ep.,G - All Ages,1,,
