Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
Jin Zhan Fashi,The Melee Mage,7.18,12453,3367,1,ONA,20,Finished Airing,"Nov 2, 2023 to Dec 21, 2023",Tencent Penguin Pictures,"None found, add some",2:10 AM Animation,Novel,"Action, Adventure, Fantasy",,17 min. per ep.,PG-13 - Teens 13 or older,6,Video Game,,
Ajin OVA,,7.17,3288,3368,45,OVA,2,Finished Airing,"May 6, 2016 to Oct 7, 2016","None found, add some",Sentai Filmworks,Polygon Pictures,Manga,"Action, Horror, Mystery, Supernatural",Seinen,21 min. per ep.,R - 17+ (violence & profanity),27,,,
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.","Waiting in the Summer: In Our Last Summer of High School, We Await That Summer",7.17,3149,3369,49,Special,1,Finished Airing,"Aug 29, 2014",Geneon Universal Entertainment,Sentai Filmworks,J.C.Staff,Original,"Drama, Romance, Sci-Fi",,26 min.,PG-13 - Teens 13 or older,42,,,
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,,7.17,3708,3371,36,Special,6,Finished Airing,"Sep 21, 2011 to Feb 22, 2012","None found, add some","None found, add some",SILVER LINK.,Light novel,"Comedy, Romance",,5 min. per ep.,PG-13 - Teens 13 or older,26,"School, Super Power",,
Arifureta Shokugyou de Sekai Saikyou 2nd Season,Arifureta: From Commonplace to World's Strongest Season 2,7.17,612,3370,383,TV,12,Finished Airing,"Jan 13, 2022 to Mar 31, 2022","None found, add some",Crunchyroll,"asread.,       studio MOTHER",Light novel,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"4,286","Harem, Isekai",Winter 2022,Thursdays at 23:30 (JST)
Chuukan Kanriroku Tonegawa,Mr. Tonegawa: Middle Management Blues,7.17,3461,3372,41,TV,24,Finished Airing,"Jul 4, 2018 to Dec 26, 2018","VAP,       Half H.P Studio,       Nippon Television Network,       Nippon Television Music",Sentai Filmworks,Madhouse,Manga,"Comedy, Drama",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,120,"Adult Cast, Parody, Psychological, Workplace",Summer 2018,Wednesdays at 00:00 (JST)
D.C.II S.S.: Da Capo II Second Season,,7.17,4060,3373,30,TV,13,Finished Airing,"Apr 6, 2008 to Jun 29, 2008","Starchild Records,       Lantis,       GANSIS","None found, add some",feel.,Visual novel,"Comedy, Drama, Fantasy, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,50,Harem,Spring 2008,Unknown
Devilman: Tanjou-hen,Devilman: The Birth,7.17,3972,3374,32,OVA,1,Finished Airing,"Nov 1, 1987","Triangle Staff,       Kodansha,       Dynamic Planning,       King Records","Discotek Media,       Manga Entertainment",Oh! Production,Manga,"Horror, Sci-Fi, Supernatural",Shounen,50 min.,R+ - Mild Nudity,322,"Gore, Mythology",,
Doraemon: Nobita's the Night Before a Wedding,,7.17,9539,3375,3,Movie,1,Finished Airing,"Mar 6, 1999","None found, add some","None found, add some","None found, add some",Unknown,Fantasy,,26 min.,PG - Children,0,,,
Girls & Panzer: Saishuushou Part 4 Specials,,7.17,11410,3377,2,Special,2,Finished Airing,"Mar 27, 2024","None found, add some","None found, add some",Actas,Original,Comedy,,13 min. per ep.,PG-13 - Teens 13 or older,0,"Military, School",,
Genius Party Beyond,,7.17,4826,3376,20,Movie,5,Finished Airing,"Oct 11, 2008",Beyond C.,GKIDS,Studio 4°C,Original,"Avant Garde, Fantasy, Sci-Fi",,16 min. per ep.,R - 17+ (violence & profanity),72,Music,,
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",Ace Attorney Season 2,7.17,3473,3378,41,TV,23,Finished Airing,"Oct 6, 2018 to Mar 30, 2019","Aniplex,       Capcom",Funimation,CloverWorks,Game,"Comedy, Drama, Mystery",,24 min. per ep.,PG-13 - Teens 13 or older,146,"Adult Cast, Detective, Workplace",Fall 2018,Saturdays at 17:30 (JST)
