Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Hashire Melos (1981),Run Melos,5.36,12202,11989,1,TV Special,1,Finished Airing,"Feb 7, 1981",Visual 80,"None found, add some",Toei Animation,Novel,Drama,1 hr. 7 min.,PG-13 - Teens 13 or older,0,"Adult Cast, Historical",,,
Hoshi no Samidare: Zenhan-sen,Lucifer and the Biscuit Hammer Recap,5.36,10449,11991,2,TV Special,1,Finished Airing,"Oct 1, 2022","None found, add some","None found, add some",NAZ,Manga,"Action, Adventure, Comedy, Drama",24 min.,PG-13 - Teens 13 or older,3,,,,
Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha,,5.36,15491,11990,584,Movie,1,Finished Airing,"May 31, 2008","None found, add some","None found, add some",DLE,Unknown,Comedy,1 hr. 30 min.,G - All Ages,0,"Parody, Super Power",,,
"LaLaLa, Brothers",,5.36,19062,11992,278,Movie,1,Finished Airing,2011,Tamabi,"None found, add some","None found, add some",Original,Avant Garde,8 min.,G - All Ages,0,,,,
Lord of Vermilion: Guren no Ou,Lord of Vermilion: The Crimson King,5.36,3307,11993,45,TV,12,Finished Airing,"Jul 14, 2018 to Sep 29, 2018","flying DOG,       Kadokawa",Funimation,"asread.,       Tear Studio",Game,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,38,,,Summer 2018,Saturdays at 01:10 (JST)
Makoto-chan,,5.36,13548,11994,1,Movie,1,Finished Airing,"Jul 26, 1980","None found, add some","None found, add some",Tokyo Movie Shinsha,Manga,Comedy,1 hr. 24 min.,R+ - Mild Nudity,2,,Shounen,,
Momotaros no Natsuyasumi,,5.36,17988,11995,349,Movie,1,Finished Airing,"Aug 4, 2007","None found, add some","None found, add some","None found, add some",Other,"Action, Comedy",2 min.,G - All Ages,0,"Parody, Super Power",Kids,,
Nihonichi Momotarou,Momotaro the Undefeated,5.36,11921,11996,1,Movie,1,Finished Airing,1928,"None found, add some","None found, add some","None found, add some",Original,Fantasy,11 min.,G - All Ages,1,,,,
Oshiri Mae Man,,5.36,19716,11997,242,ONA,2,Finished Airing,"May 9, 2018 to Jun 29, 2018","None found, add some","None found, add some","None found, add some",Game,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,0,Super Power,,,
Oshiri Tantei: Mina to Machi no Tuk-tuk Chase,,5.36,17641,11998,376,ONA,1,Finished Airing,"Aug 2, 2017","None found, add some","None found, add some",Toei Animation,Picture book,"Comedy, Mystery",5 min.,PG - Children,0,,Kids,,
Paperman,,5.36,18194,12000,333,ONA,1,Finished Airing,"Aug 17, 2011","None found, add some","None found, add some","None found, add some",Game,,6 min.,G - All Ages,0,Strategy Game,,,
Oumagatoki,,5.36,18834,11999,292,Movie,1,Finished Airing,1985,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,3 min.,R+ - Mild Nudity,0,Music,,,
