Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Double-J,,5.45,5935,11737,12,TV,11,Finished Airing,"Jun 29, 2011 to Sep 14, 2011","None found, add some","None found, add some",DLE,Manga,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,8,School,Shounen,Summer 2011,Wednesdays at 01:29 (JST)
Firestorm,,5.45,12089,11738,1,TV,26,Finished Airing,"Apr 6, 2003 to Sep 28, 2003","Madhouse,       TV Tokyo",Enoki Films,Trans Arts,Original,"Action, Adventure, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,1,"Mecha, Military",,Spring 2003,Sundays at 09:00 (JST)
Jikuu Ihoujin Kyoko: Chocola ni Omakase!,,5.45,10224,11739,2,OVA,1,Finished Airing,"Aug 2, 2001","Production I.G,       Nihon Ad Systems,       Shueisha","None found, add some",Trans Arts,Manga,"Comedy, Fantasy",11 min.,G - All Ages,3,,,,
Makyou Gaiden Le Deus,Ladius,5.45,10386,11740,2,OVA,1,Finished Airing,"Dec 1, 1987",TOHO,"None found, add some",Ashi Productions,Original,"Action, Adventure, Sci-Fi",48 min.,PG-13 - Teens 13 or older,2,Mecha,,,
Megohime,,5.45,14485,11741,777,ONA,3,Finished Airing,"Mar 29, 2019 to Feb 20, 2021","None found, add some","None found, add some",Gaina,Game,Fantasy,11 min. per ep.,PG-13 - Teens 13 or older,0,Historical,,,
Minna Atsumare! Falcom Gakuen SC Special,,5.45,14087,11743,874,TV Special,1,Finished Airing,"Mar 29, 2015",DAX Production,"None found, add some","None found, add some",4-koma manga,Comedy,2 min.,PG-13 - Teens 13 or older,0,"Parody, School",Seinen,,
Mini Yon Soldier Rin!,,5.45,14689,11742,725,OVA,1,Finished Airing,"Nov 16, 1989","None found, add some","None found, add some","None found, add some",Unknown,"Action, Adventure",23 min.,G - All Ages,0,Mecha,Shounen,,
Peeping Life: The Perfect Explosion Specials,,5.45,16477,11745,471,Special,2,Finished Airing,"Oct 18, 2012",CoMix Wave Films,"None found, add some","None found, add some",Unknown,"Comedy, Slice of Life",4 min. per ep.,G - All Ages,0,,,,
Noel no Fushigi na Bouken,Noel's Fantastic Trip,5.45,15306,11744,613,Movie,1,Finished Airing,"Apr 29, 1983","None found, add some","None found, add some",Group TAC,Original,"Adventure, Comedy, Fantasy",1 hr. 12 min.,G - All Ages,0,,,,
Pokemon Omosakurabe Battle,Pokémon Kids TV: Weight Championship,5.45,14260,11746,830,ONA,2,Finished Airing,"May 14, 2022 to Dec 30, 2022","None found, add some","None found, add some","None found, add some",Game,Sports,6 min. per ep.,PG - Children,0,,Kids,,
Potecco Babies (2011),,5.45,17030,11747,421,ONA,12,Finished Airing,"Apr 22, 2011 to Jul 10, 2011","None found, add some","None found, add some",Shin-Ei Animation,Original,Comedy,1 min. per ep.,G - All Ages,0,,,,
Kaitou Jigoma Ongaku-hen,,5.44,17594,11748,379,Movie,1,Finished Airing,"Nov 12, 1988",Victor Entertainment,"None found, add some","None found, add some",Unknown,,23 min.,PG-13 - Teens 13 or older,1,"Music, Performing Arts",,,
Kyoukasho ni Nai!,Very Private Lesson,5.44,8228,11749,5,OVA,2,Finished Airing,"Apr 21, 1998 to May 21, 1998",Toei Video,Media Blasters,AIC,Manga,"Comedy, Romance, Ecchi",39 min. per ep.,R+ - Mild Nudity,8,School,Seinen,,
Loups=Garous #Overture,,5.44,11546,11750,1,OVA,2,Finished Airing,"Aug 27, 2010","None found, add some",Sentai Filmworks,Production I.G,Novel,"Mystery, Sci-Fi",10 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Mameshiba Gakuen,,5.44,14552,11751,761,Special,8,Finished Airing,"Nov 19, 2015 to Jan 23, 2020","None found, add some","None found, add some","None found, add some",Original,Comedy,30 sec. per ep.,G - All Ages,0,School,,,
Meisou-Ou Border,,5.44,13600,11752,1,OVA,1,Finished Airing,"Sep 1, 1991","None found, add some","None found, add some",Artland,Manga,Adventure,43 min.,R+ - Mild Nudity,0,,Seinen,,
Mochimochi no Ki,The Tree of Courage,5.44,17195,11753,408,Movie,1,Finished Airing,1972,"None found, add some","None found, add some","None found, add some",Other,,16 min.,G - All Ages,0,,Kids,,
Mugen no Ryvius: Illusion,,5.44,13314,11754,1,ONA,6,Finished Airing,1999 to 2000,"None found, add some","None found, add some",Sunrise,Original,Comedy,7 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Mugen Shinshi: Bouken Katsugeki-hen,Dream Dimension Gentleman,5.44,11044,11755,2,OVA,1,Finished Airing,"Feb 21, 1987","None found, add some","None found, add some",Gallop,Manga,"Fantasy, Horror, Mystery",49 min.,PG-13 - Teens 13 or older,2,,,,
Nyamen,,5.44,12351,11756,1,TV,12,Finished Airing,"Jan 12, 2014 to Mar 30, 2014","VAP,       Nikkatsu,       Nippon Television Network","None found, add some","None found, add some",Unknown,Comedy,5 min. per ep.,G - All Ages,0,,,Winter 2014,Sundays at Unknown
Otona no Bouguya-san (Rimen),Armor Shop for Ladies & Gentlemen Flips the Script,5.44,6689,11757,9,ONA,3,Finished Airing,"Mar 6, 2019 to Mar 20, 2019","None found, add some","None found, add some",IMAGICA Lab.,4-koma manga,"Comedy, Fantasy, Ecchi",5 min. per ep.,PG-13 - Teens 13 or older,4,,,,
Patty & Jimmy no Kimikoso Superstar,Patty and Jimmy in You're a Superstar!,5.44,17237,11758,405,OVA,1,Finished Airing,"Mar 21, 1994",Sanrio,"None found, add some","None found, add some",Other,Sports,5 min.,G - All Ages,0,Team Sports,Kids,,
Roba,The Donkey,5.44,15733,11759,552,Movie,1,Finished Airing,1930,"None found, add some","None found, add some","None found, add some",Book,Adventure,14 min.,G - All Ages,1,,,,
Samuraider: Nazo no Tenkousei,,5.44,13403,11760,1,OVA,1,Finished Airing,"Feb 22, 1991","None found, add some","None found, add some","None found, add some",Unknown,"Action, Drama",47 min.,R - 17+ (violence & profanity),2,Samurai,,,
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"The Fruit of Evolution: Before I Knew It, My Life Had It Made Season 2",5.44,2081,11761,100,TV,12,Finished Airing,"Jan 14, 2023 to Apr 1, 2023","TV Tokyo,       HoriPro,       KlockWorx,       Glovision,       Docomo Anime Store,       Futabasha,       bilibili,       Bushiroad Move","None found, add some",Hotline,Light novel,"Adventure, Fantasy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,614,"Harem, Isekai",,Winter 2023,Saturdays at 01:23 (JST)
Sukoyaka Oyako 21 x Taka no Tsumedan,,5.44,16589,11762,460,ONA,5,Finished Airing,"Mar 30, 2018","None found, add some","None found, add some",DLE,Original,Drama,3 min. per ep.,G - All Ages,0,Parody,,,
Transformers: Robot Masters,,5.44,12628,11763,1,Special,2,Finished Airing,"Jul 15, 2004 to Mar 24, 2005",Takara,"None found, add some","Actas,       Studio A-CAT",Original,,6 min. per ep.,G - All Ages,1,Mecha,,,
Vanquished Queens Specials,,5.44,7368,11764,7,Special,4,Finished Airing,"Mar 29, 2013 to Sep 30, 2014","Genco,       Hoods Entertainment","None found, add some",Arms,Other,Ecchi,6 min. per ep.,R+ - Mild Nudity,3,,,,
"Watashitachi, Luck Logic-bu!",,5.44,8538,11765,5,TV,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",Bushiroad,"None found, add some",Doga Kobo,Card game,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,3,"School, Strategy Game",,Winter 2016,Unknown
Wild Cleaner,,5.44,18141,11766,336,Special,1,Finished Airing,Dec 2019,"CEKAI,       MTV Japan","None found, add some","None found, add some",Original,Avant Garde,10 sec.,G - All Ages,0,,,,
World Fool News,,5.44,14070,11767,877,ONA,6,Finished Airing,"Apr 1, 2013 to May 6, 2013","None found, add some","None found, add some",CoMix Wave Films,Other,"Comedy, Slice of Life",5 min. per ep.,PG-13 - Teens 13 or older,0,Workplace,,,
Yumekuri,,5.44,7165,11768,7,OVA,1,Finished Airing,"Nov 28, 2012","None found, add some","None found, add some",Diomedéa,Manga,Slice of Life,6 min.,PG-13 - Teens 13 or older,4,,Seinen,,
Yuugen Kaisha: Jiken File 00 - Hajimari wa Ayashiku mo Hanayaka ni,,5.44,13322,11769,1,Special,1,Finished Airing,"Jul 25, 1994","None found, add some","None found, add some",Madhouse,Original,"Adventure, Comedy, Supernatural",11 min.,R+ - Mild Nudity,0,,,,
Antique Heart,,5.44,11378,11770,2,OVA,1,Finished Airing,"Jun 5, 1988","None found, add some","None found, add some",J.C.Staff,Original,Mystery,29 min.,G - All Ages,0,School,,,
Dennou Sentai Voogie's★Angel,Voogie's Angel,5.44,9538,11771,3,OVA,3,Finished Airing,"Jul 24, 1997 to Jul 24, 1998",KSS,Media Blasters,"J.C.Staff,       Front Line",Radio,"Action, Drama, Sci-Fi",27 min. per ep.,PG-13 - Teens 13 or older,4,"Mecha, Military",,,
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo Mini Anime,Fate/kaleid liner Prisma Illya: Licht Nameless Girl Mini Anime,5.44,10689,11772,2,ONA,3,Finished Airing,"Aug 20, 2021","None found, add some","None found, add some",SILVER LINK.,Manga,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Hit wo Nerae! Specials,,5.44,11462,11773,1,Special,4,Finished Airing,"May 19, 2004 to Jun 30, 2004",m.o.e.,"None found, add some","Imagin,       Studio Live",Original,"Comedy, Ecchi",14 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Hwanggeum Cheolin,The Golden Iron Man,5.44,16885,11774,433,Movie,1,Finished Airing,"Jul 25, 1968","None found, add some","None found, add some","None found, add some",Unknown,"Action, Adventure",1 hr. 5 min.,PG - Children,0,"Mythology, Super Power",Kids,,
Idol Bu Show Movie,,5.44,13526,11775,1,Movie,1,Finished Airing,"Jun 24, 2022","None found, add some","None found, add some","ORENDA,       Amineworks",Mixed media,,33 min.,PG-13 - Teens 13 or older,2,"Idols (Female), Music",,,
