Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Themes,Demographics,Duration,Rating,Favorites,Genres
Hipira-kun Special,,5.68,14125,10968,865,Special,1,Finished Airing,"Jan 29, 2014",,,"None found, add some","None found, add some",Sunrise,Picture book,Vampire,Kids,5 min.,PG - Children,0,"Comedy, Fantasy, Supernatural"
Hot Minute: Gudetama,,5.68,12867,10969,1,ONA,1,Finished Airing,"Nov 2, 2015",,,Sanrio,"None found, add some","None found, add some",Other,,Kids,1 min.,G - All Ages,1,Comedy
Hunter,,5.68,17570,10970,382,Movie,1,Finished Airing,"Sep 14, 2017",,,"None found, add some","None found, add some","None found, add some",Original,Psychological,,8 min.,R+ - Mild Nudity,0,"Avant Garde, Horror"
It's My Life,,5.68,6871,10971,8,OVA,1,Finished Airing,"Jan 30, 2019",,,Cloud22,"None found, add some",Creators in Pack,Manga,,,14 min.,G - All Ages,10,"Comedy, Fantasy"
Ansoku no Basho,,5.67,18816,10973,293,Movie,1,Finished Airing,2010,,,Geidai Animation,"None found, add some","None found, add some",Original,,,5 min.,G - All Ages,0,Avant Garde
Je Bul Chal-ssi Iyagi,The Story of Mr. Sorry,5.68,14588,10972,749,Movie,1,Finished Airing,"Mar 12, 2009",,,Korean Academy of Film Arts,"None found, add some","None found, add some",Unknown,,,1 hr. 5 min.,PG-13 - Teens 13 or older,0,"Comedy, Fantasy, Horror"
Bab Mook Ja,,5.67,14255,10974,831,Movie,1,Finished Airing,2007,,,"None found, add some","None found, add some","None found, add some",Original,,,10 min.,G - All Ages,0,Slice of Life
Babel Nisei (2001),Babel II: Beyond Infinity,5.67,9129,10975,4,TV,13,Finished Airing,"Oct 5, 2001 to Dec 28, 2001",Fall 2001,Unknown,"None found, add some",Media Blasters,Vega Entertainment,Manga,,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,3,"Action, Adventure, Mystery, Sci-Fi, Supernatural"
Bakuhatsu Gorou,,5.67,14075,10976,874,TV,26,Finished Airing,"Apr 3, 1970 to Sep 25, 1970",Spring 1970,Unknown,Tele-Cartoon Japan,"None found, add some",Eiken,Unknown,,,25 min. per ep.,G - All Ages,0,"Comedy, Sports"
"Boku no Imouto wa ""Osaka Okan"": Haishin Gentei Osaka Okan.",,5.67,9021,10977,4,ONA,1,Finished Airing,"Dec 29, 2012",,,"None found, add some","None found, add some",Charaction,Original,,,3 min.,PG-13 - Teens 13 or older,1,Comedy
