,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
68,Devilman: Crybaby - Digest Eizou,Devilman: Crybaby - Digest Video,6.17,6235,8532,10,ONA,1,Finished Airing,"Mar 24, 2018","Aniplex,       Dynamic Planning","None found, add some",Science SARU,Manga,"Action, Horror, Supernatural",3 min.,PG-13 - Teens 13 or older,21,,,Mythology,Shounen
69,Dororon Enma-kun,,6.18,8816,8533,4,TV,25,Finished Airing,"Oct 4, 1973 to Mar 28, 1974","Fuji TV,       Dynamic Planning","None found, add some",Toei Animation,Manga,"Comedy, Fantasy, Horror, Supernatural",25 min. per ep.,PG-13 - Teens 13 or older,2,Fall 1973,Unknown,Mythology,Shounen
70,Fastening Days 2,,6.18,12994,8534,1,ONA,1,Finished Airing,"Aug 1, 2016","None found, add some","None found, add some",Studio Colorido,Original,,9 min.,G - All Ages,0,,,,Kids
71,Gegege no Kitarou: Daikaijuu,Spooky Kitaro: Giant Sea Monster,6.18,12208,8536,1,Movie,1,Finished Airing,"Jul 6, 1996","None found, add some","None found, add some",Toei Animation,Unknown,"Action, Fantasy, Horror, Supernatural",50 min.,G - All Ages,1,,,,Shounen
72,Final Fantasy: Unlimited,,6.18,3682,8535,37,TV,25,Finished Airing,"Oct 2, 2001 to Mar 26, 2002","TV Tokyo,       Dentsu,       TV Tokyo Music",ADV Films,Gonzo,Game,"Action, Adventure, Fantasy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,81,Fall 2001,Tuesdays at 18:30 (JST),,
73,Gegege no Kitarou: Jigoku-hen,,6.18,12200,8537,1,TV,7,Finished Airing,"Feb 8, 1988 to Mar 21, 1988","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Fantasy, Horror, Supernatural",25 min. per ep.,G - All Ages,0,Winter 1988,Unknown,,
74,Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,,6.18,11064,8538,2,Movie,1,Finished Airing,"Jun 17, 2006",KAGAYA Studio,"None found, add some","None found, add some",Novel,"Avant Garde, Drama, Fantasy, Mystery",48 min.,G - All Ages,5,,,,
75,Gozonji! Gekkou Kamen-kun,,6.18,14210,8539,841,TV,25,Finished Airing,"Oct 3, 1999 to Mar 26, 2000",TV Tokyo,"None found, add some","Actas,       TMS Entertainment",Other,"Comedy, Sci-Fi",25 min. per ep.,G - All Ages,1,Fall 1999,Unknown,Parody,
76,Hibike! Euphonium Movie: Photo Session e Youkoso,,6.18,9079,8541,4,Movie,3,Finished Airing,"Sep 30, 2017","None found, add some","None found, add some",Kyoto Animation,Novel,Comedy,4 min. per ep.,PG-13 - Teens 13 or older,4,,,Performing Arts,
77,Harukanaru Toki no Naka de: Ajisai Yumegatari,,6.18,9390,8540,3,OVA,2,Finished Airing,"Mar 27, 2002 to Jan 23, 2003","None found, add some","None found, add some",Zexcs,Visual novel,"Adventure, Drama, Fantasy, Romance, Supernatural",30 min. per ep.,PG-13 - Teens 13 or older,3,,,"Isekai, Mythology",
78,Houkago Midnighters,After School Midnighters,6.18,12143,8542,1,Movie,1,Finished Airing,"Aug 25, 2012","CoMix Wave Films,       Sony Music Entertainment","None found, add some","KOO-KI,       MontBlanc Pictures",Unknown,Fantasy,1 hr. 40 min.,G - All Ages,0,,,,Kids
79,Huoli Shaonian Wang 3: Xuji,Blazing Teens 4,6.18,17790,8543,364,TV,26,Finished Airing,2012,Alpha Group Co. Ltd.,"None found, add some","None found, add some",Original,,23 min. per ep.,G - All Ages,1,?,Unknown,Strategy Game,Kids
80,Ikkyuu-san to Yancha Hime,,6.18,16393,8544,479,Movie,1,Finished Airing,"Mar 18, 1978","None found, add some","None found, add some",Toei Animation,Unknown,Comedy,14 min.,G - All Ages,0,,,Historical,Kids
81,Jewelpet Movie: Sweets Dance Princess,,6.18,11760,8545,1,Movie,1,Finished Airing,"Aug 11, 2012","Sotsu,       TV Osaka,       Sanrio,       FuRyu","None found, add some",Studio Comet,Original,Fantasy,1 hr. 15 min.,PG - Children,5,,,"Anthropomorphic, Mahou Shoujo",
82,Kakumeiki Valvrave Recaps,,6.18,9710,8546,3,ONA,3,Finished Airing,"Sep 20, 2013 to Sep 22, 2013","None found, add some","None found, add some",Sunrise,Unknown,"Action, Sci-Fi",1 hr. 5 min. per ep.,R - 17+ (violence & profanity),1,,,"Mecha, Space",
83,Kappa no Kaikata,How to Breed Kappas,6.18,10949,8547,2,TV,26,Finished Airing,"Oct 4, 2004 to Apr 4, 2005",Nihon Ad Systems,"None found, add some",Picture Magic,Manga,Comedy,3 min. per ep.,PG - Children,4,Fall 2004,Unknown,Pets,
84,Kaze no Tairiku,The Weathering Continent,6.18,7376,8548,7,Movie,1,Finished Airing,"Jul 18, 1992","Bandai Visual,       Kadokawa Shoten,       Victor Entertainment,       animate Film,       Imagica","Media Blasters,       NYAV Post",Production I.G,Light novel,"Action, Adventure, Fantasy, Supernatural",54 min.,PG-13 - Teens 13 or older,14,,,,
85,King of Prism by Pretty Rhythm,,6.18,6769,8549,8,Movie,1,Finished Airing,"Jan 9, 2016",Avex Pictures,"None found, add some",Tatsunoko Production,Original,,58 min.,PG - Children,23,,,"Idols (Male), Music",
86,Kingyo Chuuihou! (Movie),,6.18,12983,8550,1,Movie,1,Finished Airing,"Apr 25, 1992","None found, add some","None found, add some",Toei Animation,Manga,Comedy,21 min.,G - All Ages,1,,,,Shoujo
87,Kinnikuman: New York Kiki Ippatsu!,,6.18,12720,8551,1,Movie,1,Finished Airing,"Mar 15, 1986","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sports",45 min.,PG-13 - Teens 13 or older,1,,,Combat Sports,Shounen
88,Koi to Producer: EVOL×LOVE,Mr Love: Queen's Choice,6.18,2791,8552,62,TV,12,Finished Airing,"Jul 16, 2020 to Oct 1, 2020","None found, add some","None found, add some",MAPPA,Game,"Mystery, Romance, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,281,Summer 2020,Thursdays at 00:00 (JST),"Reverse Harem, Super Power",
89,Komaneko no Christmas: Maigo ni Natta Present,A Komaneko Christmas: The Lost Present,6.18,15424,8553,594,Movie,1,Finished Airing,"Nov 7, 2009",dwarf,"None found, add some","None found, add some",Unknown,"Comedy, Fantasy",19 min.,G - All Ages,0,,,,
