,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
79,Crystal Blaze,Glass Maiden,6.12,5203,8863,17,TV,12,Finished Airing,"Apr 9, 2008 to Jun 25, 2008","Happinet Pictures,       BIGLOBE",Maiden Japan,Studio Fantasia,Original,,24 min. per ep.,R - 17+ (violence & profanity),10,"Action, Sci-Fi",,Spring 2008,Wednesdays at 01:15 (JST)
80,Dokaben,,6.12,12019,8864,1,TV,163,Finished Airing,"Oct 6, 1976 to Dec 26, 1979","Fuji TV,       Tsuchida Productions","None found, add some",Nippon Animation,Unknown,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,5,Sports,"School, Team Sports",Fall 1976,Wednesdays at 19:00 (JST)
81,Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete,Dr. Slump and Arale-chan: N-cha! From Penguin Village with Love,6.12,11539,8865,1,Movie,1,Finished Airing,"Jul 10, 1993",Studio Core,"None found, add some",Toei Animation,Manga,Shounen,31 min.,PG-13 - Teens 13 or older,0,"Comedy, Sci-Fi",Gag Humor,,
82,Elf-ban Kakyuusei: Anata dake wo Mitsumete...,,6.12,9115,8866,4,OVA,4,Finished Airing,"Nov 24, 1997 to Jun 26, 1998","Pink Pineapple,       KSS","None found, add some",PP Project,Visual novel,,27 min. per ep.,R+ - Mild Nudity,7,"Drama, Romance","Harem, School",,
83,GO-GO Tamagotchi!,,6.12,14454,8867,784,TV,50,Finished Airing,"Apr 3, 2014 to Mar 26, 2015","None found, add some","None found, add some",OLM,Unknown,Kids,24 min. per ep.,G - All Ages,3,"Comedy, Fantasy",,Spring 2014,Unknown
84,Guomin Laogong Dai Huijia 4th Season,How to Steal 55 Kisses 4th Season,6.12,9076,8868,4,ONA,12,Finished Airing,"Oct 3, 2018 to Dec 12, 2018","Tencent Penguin Pictures,       China Literature Limited","None found, add some",Wawayu Animation,Novel,,12 min. per ep.,PG-13 - Teens 13 or older,17,"Drama, Romance",,,
85,Guruguru Petit Anime Gekijou,,6.12,13371,8869,1,ONA,24,Finished Airing,"Jul 14, 2017 to Dec 22, 2017",Medicrie,"None found, add some",Studio PuYUKAI,Manga,,1 min. per ep.,PG-13 - Teens 13 or older,0,"Adventure, Comedy, Slice of Life",Super Power,,
86,Hachigatsu no Cinderella Nine,Cinderella Nine,6.12,4205,8870,28,TV,12,Finished Airing,"Apr 8, 2019 to Jul 8, 2019","TV Tokyo,       Victor Entertainment,       AT-X",Sentai Filmworks,TMS Entertainment,Game,,23 min. per ep.,PG-13 - Teens 13 or older,35,Sports,"School, Team Sports",Spring 2019,Mondays at 01:35 (JST)
87,Instant History,,6.12,13685,8872,983,TV,312,Finished Airing,"May 1, 1961 to Feb 25, 1962","Fuji TV,       Otogi Production","None found, add some","None found, add some",Original,,3 min. per ep.,G - All Ages,11,,Historical,Spring 1961,Not scheduled once per week
88,Ibarahime Mata wa Nemurihime,Briar-Rose or The Sleeping Beauty,6.12,12540,8871,1,Movie,1,Finished Airing,1990,Kawamoto Productions,"None found, add some","None found, add some",Other,,21 min.,R+ - Mild Nudity,1,"Award Winning, Drama",Historical,,
89,Jinki:Extend - Sorekara,Jinki: Extend,6.12,9974,8873,3,Special,1,Finished Airing,"Feb 22, 2006","TV Asahi,       GANSIS","ADV Films,       Funimation",feel.,Manga,Shounen,23 min.,R - 17+ (violence & profanity),2,"Action, Sci-Fi",Mecha,,
90,Kagi Hime Monogatari: Eikyuu Alice Rondo,Eternal Alice,6.12,6716,8874,9,TV,13,Finished Airing,"Jan 4, 2006 to Mar 29, 2006",Mellow Head,Discotek Media,"Trinet Entertainment,       Picture Magic",Manga,,24 min. per ep.,PG-13 - Teens 13 or older,18,Fantasy,Mahou Shoujo,Winter 2006,Wednesdays at 01:45 (JST)
91,Kaze wo Nuke!,,6.12,13587,8875,1,OVA,1,Finished Airing,"Dec 16, 1988","None found, add some","None found, add some",Madhouse,Manga,,41 min.,PG-13 - Teens 13 or older,3,,Racing,,
92,Kinnikuman: Seigi Choujin vs. Kodai Choujin,,6.12,12663,8876,1,Movie,1,Finished Airing,"Mar 16, 1985","None found, add some","None found, add some",Toei Animation,Manga,Shounen,45 min.,PG-13 - Teens 13 or older,1,"Comedy, Sports",,,
93,L/R: Licensed by Royal Special,Licensed by Royalty,6.12,14778,8878,703,Special,1,Finished Airing,"Apr 25, 2003","Victor Entertainment,       Fuji TV,       Pioneer LDC",Geneon Entertainment USA,TNK,Original,,23 min.,PG-13 - Teens 13 or older,0,"Action, Adventure, Mystery",Detective,,
94,Kitsutsuki Tanteidokoro,Woodpecker Detective's Office,6.12,4233,8877,27,TV,12,Finished Airing,"Apr 13, 2020 to Jun 29, 2020","Marvelous Entertainment,       Tohokushinsha Film Corporation,       BS Fuji,       Tokyo MX,       Crunchyroll,       Muse Communication,       Happinet","None found, add some",LIDENFILMS,Novel,,24 min. per ep.,R - 17+ (violence & profanity),53,Mystery,"Adult Cast, Detective, Historical",Spring 2020,Mondays at 23:00 (JST)
95,Lovedol: Lovely Idol,Lovely Idol,6.12,6703,8879,9,TV,12,Finished Airing,"Oct 3, 2006 to Dec 19, 2006","AIC,       Pony Canyon Enterprises","None found, add some","AIC ASTA,       TNK",Visual novel,,24 min. per ep.,PG-13 - Teens 13 or older,9,,"Idols (Female), Music",Fall 2006,Tuesdays at 01:30 (JST)
96,Machine Hayabusa,,6.12,13043,8880,1,TV,21,Finished Airing,"Apr 2, 1976 to Sep 17, 1976","None found, add some","None found, add some",Toei Animation,Original,,23 min. per ep.,PG-13 - Teens 13 or older,1,Action,Racing,Spring 1976,Fridays at 19:00 (JST)
97,Manga Nippon Mukashibanashi (1976),,6.12,11355,8881,2,TV,1471,Finished Airing,"Jan 7, 1976 to Sep 3, 1994","None found, add some","None found, add some",Group TAC,Unknown,,25 min. per ep.,G - All Ages,2,Fantasy,Historical,Winter 1976,Unknown
98,Mashiro-iro Symphony: Airi ga Anata no Kanojo ni!?,,6.12,6061,8882,11,Special,1,Finished Airing,"Jan 25, 2012","None found, add some","None found, add some",Manglobe,Visual novel,,14 min.,PG-13 - Teens 13 or older,3,Romance,Harem,,
99,Masou Gakuen HxH,Hybrid x Heart Magias Academy Ataraxia,6.12,832,8883,295,TV,12,Finished Airing,"Jul 6, 2016 to Sep 21, 2016","AT-X,       DAX Production,       KlockWorx,       flying DOG,       Kadokawa Media House,       Sun TV,       Kadokawa","Funimation,       Crunchyroll",Production IMS,Light novel,,24 min. per ep.,R+ - Mild Nudity,764,"Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi","Harem, School",Summer 2016,Wednesdays at 00:30 (JST)
100,Memories Off 2nd,,6.12,8996,8884,4,OVA,3,Finished Airing,"Jan 22, 2003 to May 21, 2003","None found, add some","None found, add some","Picture Magic,       Rikuentai",Visual novel,,30 min. per ep.,PG-13 - Teens 13 or older,1,"Drama, Romance",,,
101,Memories Off 3.5,,6.12,9404,8885,3,OVA,4,Finished Airing,"May 12, 2004 to Oct 20, 2004","None found, add some","None found, add some","Picture Magic,       Rikuentai",Visual novel,,27 min. per ep.,PG-13 - Teens 13 or older,0,"Drama, Romance",,,
102,Minegishi-san wa Ootsu-kun ni Tabesasetai,,6.12,10220,8886,2,ONA,4,Finished Airing,"May 22, 2020 to Jun 12, 2020",Bit Promotion,"None found, add some",AQUA ARIS,Web manga,,1 min. per ep.,PG-13 - Teens 13 or older,2,"Boys Love, Slice of Life","Adult Cast, Workplace",,
103,Mini Van 2nd Season,,6.12,13066,8887,1,TV,26,Finished Airing,"Oct 3, 2015 to Mar 26, 2016",HeART-BIT,"None found, add some",DLE,4-koma manga,,3 min. per ep.,PG-13 - Teens 13 or older,0,"Comedy, Slice of Life","Parody, Strategy Game",Fall 2015,Saturdays at 10:30 (JST)
104,Nono-chan,,6.12,12791,8888,1,TV,61,Finished Airing,"Jul 7, 2001 to Sep 28, 2002","None found, add some","None found, add some",Toei Animation,4-koma manga,,25 min. per ep.,G - All Ages,2,"Comedy, Slice of Life",,Summer 2001,Unknown
105,Oishinbo: Nichibei Kome Sensou,Oishinbo: The Japan-America Rice War,6.12,13837,8889,937,TV Special,1,Finished Airing,"Dec 3, 1993",Nippon Television Network,"None found, add some",Shin-Ei Animation,Manga,Seinen,1 hr. 30 min.,PG-13 - Teens 13 or older,2,"Comedy, Gourmet, Slice of Life",,,
106,Osamu to Musashi,Osamu and Musashi,6.12,15704,8890,555,Movie,1,Finished Airing,"Apr 25, 1994",Tezuka Productions,"None found, add some","None found, add some",Original,Kids,18 min.,PG - Children,0,"Adventure, Fantasy",,,
107,Phantom of the Kill: Zero kara no Hangyaku,,6.12,6309,8891,10,Movie,1,Finished Airing,"Apr 7, 2016",Fuji&gumi Games,"None found, add some",Production I.G,Game,,21 min.,R - 17+ (violence & profanity),8,"Action, Adventure, Fantasy",,,
108,Pokemon XY: Hoopa no Odemashi Daisakusen!!,,6.12,8548,8892,5,TV Special,6,Finished Airing,"Apr 23, 2015 to May 28, 2015",TV Tokyo,"None found, add some",OLM,Game,Kids,40 sec. per ep.,PG - Children,0,"Comedy, Fantasy",,,
109,Sengoku Musou: Sengoku Musou High School,,6.12,11935,8893,1,Special,8,Finished Airing,"May 20, 2015 to Aug 19, 2015",Koei,"None found, add some",TYO Animations,Game,,30 sec. per ep.,PG-13 - Teens 13 or older,1,Comedy,"Samurai, School",,
110,Shounen Ashibe: Go! Go! Goma-chan,,6.12,10117,8894,2,TV,32,Finished Airing,"Apr 5, 2016 to Feb 21, 2017","None found, add some","None found, add some","Bridge,       Husio Studio",4-koma manga,Seinen,9 min. per ep.,G - All Ages,9,"Comedy, Slice of Life",Pets,Spring 2016,Tuesdays at 18:45 (JST)
111,Soba e,,6.12,11253,8895,2,ONA,1,Finished Airing,"Mar 6, 2019","None found, add some","None found, add some",Orange,Original,,2 min.,G - All Ages,2,Fantasy,Music,,
112,Sonic X Pilot,,6.12,8805,8896,4,Special,2,Finished Airing,2001 to 2003,"None found, add some",Discotek Media,TMS Entertainment,Game,Kids,3 min. per ep.,G - All Ages,17,"Action, Adventure, Comedy, Sci-Fi",Mecha,,
113,Takoyaki Mant-Man,Takoyaki Capeman,6.12,15061,8898,650,TV,77,Finished Airing,"Apr 4, 1998 to Sep 5, 1999",Youmex,"None found, add some",Pierrot,Picture book,,24 min. per ep.,PG - Children,2,"Comedy, Sci-Fi",,Spring 1998,Unknown
