,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
129,Ushio to Tora: Comical Deformer Gekijou,Ushio and Tora: Comically Deformed Theater,6.22,9602,8350,3,OVA,1,Finished Airing,"Oct 1, 1993",,,"OB Planning,       Toshiba EMI,       TOHO,       Studio Jack,       Shogakukan",ADV Films,Pastel,Manga,"Action, Comedy",30 min.,PG-13 - Teens 13 or older,2,,
130,Giniro no Olynsis: Tokito,,6.20,6827,8451,8,TV,12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",Fall 2006,Unknown,"Happinet Pictures,       Nagoya Broadcasting Network,       Asahi Broadcasting","None found, add some",Toei Animation,Original,"Adventure, Drama, Romance",23 min. per ep.,PG-13 - Teens 13 or older,6,Mecha,
131,Hidamari Sketch x 365 Recap,,6.20,12286,8452,1,Special,1,Finished Airing,"Dec 23, 2009",,,"Aniplex,       Lantis","None found, add some",Shaft,4-koma manga,Slice of Life,50 min.,PG-13 - Teens 13 or older,0,"CGDCT, Iyashikei, School, Visual Arts",
132,Huckleberry no Bouken,,6.20,10803,8454,2,TV,26,Finished Airing,"Jan 2, 1976 to Jun 25, 1976",Winter 1976,Unknown,"None found, add some",Saban Entertainment,Group TAC,Novel,"Adventure, Drama",25 min. per ep.,G - All Ages,2,Historical,
133,Honoo no Mirage: Muyou no Michi,Mirage of Blaze Recap,6.20,11758,8453,1,TV Special,1,Finished Airing,"Feb 4, 2002",,,"None found, add some","None found, add some",Madhouse,Light novel,"Action, Boys Love, Drama, Supernatural",24 min.,PG-13 - Teens 13 or older,4,"Historical, Reincarnation, School",Shoujo
134,Hypersonic Music Club,,6.20,17648,8455,376,ONA,1,Finished Airing,"Aug 1, 2023",,,"None found, add some","None found, add some","None found, add some",Web manga,Sci-Fi,7 min.,PG-13 - Teens 13 or older,1,Music,
135,Ippatsu Kiki Musume,,6.20,7229,8456,7,TV,16,Finished Airing,"Oct 5, 1999 to Oct 29, 1999",Fall 1999,Not scheduled once per week,TBS,"None found, add some",Group TAC,Manga,"Action, Comedy, Ecchi",3 min. per ep.,R+ - Mild Nudity,9,,
136,Kamen Rider Den-O: Imagin Anime 3,,6.20,13888,8457,925,OVA,12,Finished Airing,"Oct 21, 2010",,,animate Film,"None found, add some","None found, add some",Unknown,"Action, Adventure, Comedy",4 min. per ep.,G - All Ages,1,Super Power,Kids
137,Kidou Senshi Gundam: Suisei no Majo Season 2 Recap,Mobile Suit Gundam: The Witch from Mercury Season 2 Recap,6.20,13539,8458,1,TV Special,1,Finished Airing,"May 14, 2023",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi",24 min.,R - 17+ (violence & profanity),3,"Mecha, School, Space",
138,Konpeki no Kantai: Sourai Kaihatsu Monogatari,,6.20,15543,8459,578,Special,1,Finished Airing,1997,,,"None found, add some","None found, add some",J.C.Staff,Unknown,,39 min.,None,0,"Historical, Military",
139,Kuruneko: Kurunekobin,,6.20,15782,8460,545,Special,4,Finished Airing,"Dec 18, 2009 to Sep 3, 2010",,,"Kadokawa Pictures Japan,       Kansai Telecasting,       Tokai Television","None found, add some",DAX Production,Manga,"Comedy, Slice of Life",7 min. per ep.,G - All Ages,0,Pets,
140,Mahou no Star Magical Emi: Kumo Hikaru,,6.20,12385,8461,1,OVA,1,Finished Airing,"May 25, 2002",,,"None found, add some","None found, add some",Ajia-do,Original,"Comedy, Slice of Life",14 min.,G - All Ages,1,Mahou Shoujo,
141,Maicching Machiko-sensei,Miss Machiko,6.20,9087,8462,4,TV,95,Finished Airing,"Oct 8, 1981 to Oct 6, 1983",Fall 1981,Thursdays at 19:30 (JST),TV Tokyo,Discotek Media,Pierrot,Manga,"Comedy, Ecchi",25 min. per ep.,R+ - Mild Nudity,10,School,
142,Majutsushi Orphen Hagure Tabi: Kimluck-hen,Sorcerous Stabber Orphen: Battle of Kimluck,6.20,4126,8463,29,TV,11,Finished Airing,"Jan 20, 2021 to Mar 31, 2021",Winter 2021,Wednesdays at 21:00 (JST),"Genco,       Lantis,       MediaNet Pictures",Funimation,Studio Deen,Light novel,"Action, Adventure, Drama, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,87,Martial Arts,
