Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Kaitou Queen wa Circus ga Osuki,Mirage QUEEN Prefers Circus,6.36,10262,7574,2,OVA,1,Finished Airing,17-Jun-22,,,"None found, add some",Sentai Filmworks,East Fish Studio,Novel,"Adventure, Fantasy",,58 min.,PG-13 - Teens 13 or older,4,
Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai,,6.36,14812,7575,695,Movie,1,Finished Airing,28-Apr-17,,,"Lantis,       Bandai","None found, add some",OLM,Original,Fantasy,,1 hr. 16 min.,PG - Children,1,Kids
Kanojo ga Flag wo Oraretara,If Her Flag Breaks,6.36,1225,7576,197,TV,13,Finished Airing,"Apr 7, 2014 to Jun 30, 2014",Spring 2014,Mondays at 00:30 (JST),KlockWorx,"NIS America, Inc.",Hoods Entertainment,Light novel,"Comedy, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,258,
Kämpfer,,6.36,846,7577,289,TV,12,Finished Airing,"Oct 2, 2009 to Dec 18, 2009",Fall 2009,Fridays at 01:29 (JST),"TBS,       RAY",Sentai Filmworks,Nomad,Light novel,"Action, Comedy, Romance, Ecchi","Harem, Magical Sex Shift, School",24 min. per ep.,PG-13 - Teens 13 or older,812,
Last Period: Owarinaki Rasen no Monogatari,Last Period: The Journey to the End of the Despair,6.36,3588,7578,39,TV,12,Finished Airing,"Apr 12, 2018 to Jun 28, 2018",Spring 2018,Thursdays at 00:00 (JST),"Asmik Ace,       NBCUniversal Entertainment Japan,       Egg Firm,       Hakuhodo DY Media Partners,       Kadokawa,       Happy Elements","None found, add some",J.C.Staff,Game,"Action, Adventure, Comedy, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,29,
Love Live! Kouhaku Special Anime,,6.36,8080,7579,5,Special,1,Finished Airing,31-Dec-15,,,"None found, add some","None found, add some",Sunrise,Original,,"Idols (Female), Music",30 sec.,PG - Children,4,
McDull: Boluo You Wang Zi,"McDull, Prince de la Bun",6.36,17533,7580,383,Movie,1,Finished Airing,24-Jun-04,,,Bliss Pictures,"None found, add some","None found, add some",Unknown,Comedy,Anthropomorphic,1 hr. 17 min.,G - All Ages,4,Kids
Minky Momo in Tabidachi no Eki,Minky Momo: The Station of Your Memories,6.36,11009,7581,2,OVA,1,Finished Airing,22-Jun-94,,,"None found, add some","None found, add some","None found, add some",Original,"Drama, Fantasy",Mahou Shoujo,30 min.,G - All Ages,1,
Nanocore 3rd Season,,6.36,15686,7582,557,ONA,20,Finished Airing,"Aug 2, 2017 to Dec 20, 2017",,,"None found, add some","None found, add some",Coastline Animation Studio,Original,"Action, Adventure, Sci-Fi",Mecha,15 min. per ep.,PG-13 - Teens 13 or older,0,
Nozo x Kimi,,6.36,3619,7583,38,OVA,3,Finished Airing,"Aug 18, 2014 to Feb 18, 2015",,,"None found, add some",Sentai Filmworks,Zexcs,Manga,"Comedy, Romance, Ecchi",School,23 min. per ep.,R+ - Mild Nudity,51,Shounen
"Planetarium Chibi Maruko-chan, Hoshi ni Negai wo",,6.36,15516,7584,582,Movie,1,Finished Airing,18-Jul-15,,,"None found, add some","None found, add some",Nippon Animation,Manga,"Comedy, Slice of Life",School,28 min.,G - All Ages,0,Kids
Pokemon Advanced Generation Planetarium: Tenkuu Kara no Chousen,,6.36,13973,7585,902,Movie,1,Finished Airing,17-Jul-04,,,"None found, add some","None found, add some","None found, add some",Game,"Action, Adventure, Comedy, Fantasy",,30 min.,PG - Children,0,Kids
Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei,Pokémon the Movie: Genesect and the Legend Awakened,6.36,3152,7586,49,Movie,1,Finished Airing,13-Jul-13,,,"None found, add some",The Pokemon Company International,OLM,Game,"Action, Adventure, Comedy, Fantasy",,1 hr. 10 min.,PG - Children,9,Kids
