,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
89,Sanctuary,,6.36,8092,7590,5,OVA,1,Finished Airing,"May 1, 1996",,,"VAP,       TOHO",VIZ Media,Pastel,Manga,"Action, Drama, Suspense","Detective, Organized Crime",1 hr. 7 min.,R+ - Mild Nudity,12,Seinen
90,Sexy Commando Gaiden: Sugoi yo!! Masaru-san Specials,,6.36,11662,7591,1,Special,2,Finished Airing,"Apr 2, 1998 to Apr 3, 1998",,,"Madhouse,       Bandai Visual","None found, add some",Magic Bus,Manga,Comedy,"Martial Arts, School",8 min. per ep.,R - 17+ (violence & profanity),1,Shounen
91,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap,Cautious Hero: The Hero Is Overpowered but Overly Cautious Recap,6.36,4391,7592,25,TV Special,1,Finished Airing,"Dec 11, 2019",,,Kadokawa,"None found, add some",White Fox,Light novel,"Action, Adventure, Comedy, Fantasy",,23 min.,PG-13 - Teens 13 or older,26,
92,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,Araiso Private High School Student Council Executive Committee,6.36,7263,7593,7,OVA,2,Finished Airing,"Mar 29, 2002 to Jul 26, 2002",,,"Movic,       Tokuma Shoten","None found, add some",Nippon Animation,Manga,"Boys Love, Comedy, Sports",,26 min. per ep.,PG-13 - Teens 13 or older,10,
93,Tetsujin 28-gou,Gigantor,6.36,9203,7594,4,TV,96,Finished Airing,"Oct 20, 1963 to May 27, 1965",Fall 1963,Unknown,"None found, add some","None found, add some",Eiken,Manga,"Adventure, Sci-Fi",Mecha,25 min. per ep.,G - All Ages,12,Shounen
94,Uchuu Senkan Tiramisù II Specials,Space Battleship Tiramisu Zwei Specials,6.36,10776,7595,2,Special,4,Finished Airing,"Jan 30, 2019",,,"None found, add some","None found, add some",Gonzo,Web manga,"Comedy, Sci-Fi","Mecha, Parody, Space",7 min. per ep.,PG-13 - Teens 13 or older,0,
95,Wanpaku Ouji no Orochi Taiji,The Little Prince and the Eight-Headed Dragon,6.36,9656,7596,3,Movie,1,Finished Airing,"Mar 24, 1963",,,"None found, add some","None found, add some",Toei Animation,Original,"Adventure, Award Winning, Fantasy",,1 hr. 26 min.,PG - Children,10,
96,Yatogame-chan Kansatsu Nikki Nisatsume,Yatogame-chan Kansatsu Nikki 2,6.36,4945,7597,19,TV,12,Finished Airing,"Jan 5, 2020 to Mar 22, 2020",Winter 2020,Sundays at 21:54 (JST),Cloud22,"None found, add some","Creators in Pack,       Saetta",4-koma manga,"Comedy, Slice of Life",School,3 min. per ep.,PG-13 - Teens 13 or older,5,Shounen
97,Yichang Shengwu Jianwenlu,Journal of the Mysterious Creatures,6.36,5628,7598,13,ONA,13,Finished Airing,"Jun 28, 2019 to Sep 20, 2019",,,bilibili,"None found, add some",MMT Technology,Web novel,Supernatural,Vampire,21 min. per ep.,PG-13 - Teens 13 or older,45,
98,Yurumates 3D Plus,,6.36,8402,7599,5,TV,13,Finished Airing,"Jul 3, 2012 to Sep 25, 2012",Summer 2012,Unknown,"DAX Production,       Takeshobo,       Right Gauge,       Dwango Music Entertainment,       eNa","None found, add some",C2C,4-koma manga,"Comedy, Slice of Life",,3 min. per ep.,PG-13 - Teens 13 or older,1,Seinen
99,Zhandou Wang Zhi Jufeng Zhan Hun,Infinity Nado,6.36,13379,7600,1,TV,52,Finished Airing,"Aug 23, 2012 to Aug 18, 2013",Summer 2012,Unknown,Alpha Group Co. Ltd.,"None found, add some",Alpha Animation,Original,Action,,24 min. per ep.,PG - Children,22,
100,Shin Hikari Shinwa: Palutena no Kagami,Kid Icarus: Uprising,6.35,8882,7601,4,ONA,3,Finished Airing,"Mar 13, 2012 to Mar 19, 2012",,,"None found, add some","None found, add some","Production I.G,       Studio 4°C,       Shaft",Game,"Adventure, Comedy, Fantasy",,6 min. per ep.,PG-13 - Teens 13 or older,3,
101,Tensai Bakabon,,6.35,11902,7602,1,TV,40,Finished Airing,"Sep 25, 1971 to Jun 24, 1972",Fall 1971,Unknown,"Tokyo Movie Shinsha,       Yomiuri Telecasting,       Imagica","None found, add some","None found, add some",Unknown,"Comedy, Slice of Life",Gag Humor,30 min. per ep.,G - All Ages,3,
102,Tian Xin Ge Ge,Ori-Princess,6.35,16071,7603,514,TV,52,Finished Airing,"Oct 4, 2011 to Nov 24, 2011",Fall 2011,Unknown,"None found, add some","None found, add some",Puzzle Animation Studio Limited,Original,Comedy,Historical,22 min. per ep.,PG - Children,5,Kids
103,Tokyo 24-ku,Tokyo 24th Ward,6.35,2671,7604,67,TV,12,Finished Airing,"Jan 6, 2022 to Apr 7, 2022",Winter 2022,Thursdays at 00:30 (JST),"Aniplex,       Movic,       Nitroplus,       Nagoya Broadcasting Network,       BS11,       ABC Animation",Aniplex of America,CloverWorks,Original,"Mystery, Sci-Fi",Super Power,24 min. per ep.,PG-13 - Teens 13 or older,210,
104,Watashi dake no Okosama Lunch,My Precious Lunch,6.35,14316,7605,818,Movie,1,Finished Airing,"Sep 23, 2022",,,"None found, add some","None found, add some","None found, add some",Original,"Action, Fantasy",Mahou Shoujo,6 min.,G - All Ages,0,
105,Wonder Garden,,6.35,7126,7606,7,ONA,1,Finished Airing,"Oct 19, 2013",,,"None found, add some",Sentai Filmworks,Studio Colorido,Original,Fantasy,,4 min.,PG - Children,4,
106,Yinhe Zhi Xin,Foreordination,6.35,12875,7607,1,ONA,12,Finished Airing,"Oct 25, 2022 to Jan 5, 2023",,,bilibili,"None found, add some",Chosen,Novel,"Action, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,3,
107,Yume de Aetara,If I See You in My Dreams,6.35,7875,7608,6,OVA,3,Finished Airing,"Apr 21, 1998 to Dec 19, 1998",,,TBS,Media Blasters,J.C.Staff,Manga,"Comedy, Drama, Romance, Ecchi",,27 min. per ep.,PG-13 - Teens 13 or older,10,Seinen
108,Yurumates,,6.35,7406,7609,7,OVA,1,Finished Airing,"Apr 24, 2009",,,"Indeprox,       Takeshobo,       indigo line","None found, add some","None found, add some",4-koma manga,"Comedy, Slice of Life",,37 min.,PG-13 - Teens 13 or older,4,Seinen
109,Anata wo Zutto Aishiteru,,6.35,12137,7610,1,Movie,1,Finished Airing,"Jun 6, 2015",,,Media Castle,Discotek Media,"None found, add some",Picture book,"Adventure, Fantasy",Anthropomorphic,1 hr. 22 min.,G - All Ages,2,Kids
110,Argonavis Movie: Ryuusei no Obligato,Argonavis the Movie: Ryusei no Obligato,6.35,12080,7611,1,Movie,1,Finished Airing,"Nov 19, 2021",,,"Ultra Super Pictures,       Bushiroad","None found, add some",SANZIGEN,Mixed media,Drama,Music,1 hr. 29 min.,PG-13 - Teens 13 or older,11,
111,Ba Ma Laizi Er Ciyuan,My ACG Parents,6.35,11864,7612,1,ONA,24,Finished Airing,"Oct 10, 2021 to Dec 26, 2021",,,bilibili,"None found, add some",Paper Animation,Manga,Comedy,School,4 min. per ep.,PG-13 - Teens 13 or older,4,
112,Battle Spirits: Shounen Toppa Bashin,,6.35,9152,7613,4,TV,50,Finished Airing,"Sep 7, 2008 to Sep 6, 2009",Fall 2008,Unknown,"Toei Animation,       Sotsu,       Nagoya Broadcasting Network","None found, add some",Sunrise,Card game,,Strategy Game,24 min. per ep.,PG - Children,13,Shounen
113,Burn Up! W,Burn-Up W: On the Case & In your Face,6.35,6073,7614,11,OVA,4,Finished Airing,"Apr 10, 1996 to Sep 26, 1996",,,Media Rings,ADV Films,AIC,Original,"Action, Comedy, Sci-Fi, Ecchi",Mecha,26 min. per ep.,R+ - Mild Nudity,5,
114,Chou Kuse ni Narisou,I'll Make a Habit of It,6.35,10340,7615,2,TV,39,Finished Airing,"Apr 5, 1994 to Jan 3, 1995",Spring 1994,Tuesdays at 18:00 (JST),"None found, add some","None found, add some",Studio Kikan,Manga,"Comedy, Romance","Crossdressing, School",25 min. per ep.,PG-13 - Teens 13 or older,5,Shoujo
115,Cyborg 009: The Cyborg Soldier - Kami no Ubugoe,,6.35,12184,7616,1,Special,1,Finished Airing,"Aug 27, 2003",,,"None found, add some",Discotek Media,Japan Vistec,Manga,"Action, Adventure, Sci-Fi",Mecha,24 min.,PG-13 - Teens 13 or older,1,Shounen
116,Daisuki! Hello Kitty,,6.35,9985,7617,3,TV,26,Finished Airing,"Oct 5, 1993 to Mar 29, 1994",Fall 1993,Unknown,Sanrio,ADV Films,"None found, add some",Original,Fantasy,,21 min. per ep.,G - All Ages,8,Kids
117,Doku Tenshi no Shippo,,6.35,11432,7618,1,Special,4,Finished Airing,"2005 to Feb 26, 2005",,,"None found, add some",Bandai Entertainment,Tokyo Kids,Unknown,"Comedy, Fantasy, Romance",,9 min. per ep.,PG-13 - Teens 13 or older,4,
118,Domo-kun,,6.35,10170,7619,2,TV,37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",Winter 1999,Not scheduled once per week,NHK,"None found, add some",dwarf,Other,"Comedy, Slice of Life",,39 sec. per ep.,G - All Ages,12,Kids
119,Entaku no Kishi Monogatari: Moero Arthur,,6.35,11112,7620,2,TV,30,Finished Airing,"Sep 9, 1979 to Mar 30, 1980",Fall 1979,Sundays at 19:00 (JST),"None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Romance",Historical,24 min. per ep.,PG-13 - Teens 13 or older,5,
120,Ghiblies,,6.35,7210,7622,7,Special,2,Finished Airing,"Apr 8, 2000 to Jul 19, 2002",,,"None found, add some","None found, add some",Studio Ghibli,Original,Comedy,,18 min. per ep.,PG - Children,6,
121,Gekitou! Crush Gear Turbo: Kaizabaan no Chousen,Crush Gear Turbo The Movie - Kaiservern's Ultimate Challenge,6.35,12576,7621,1,Movie,1,Finished Airing,"Jul 20, 2002",,,"Bandai Visual,       Lantis,       Toei Video","None found, add some",Sunrise,Unknown,Sports,,20 min.,G - All Ages,1,
122,Gokujou!! Mecha Mote Iinchou,The Best!! Extremely Cool Student Council President,6.35,6828,7623,8,TV,51,Finished Airing,"Apr 4, 2009 to Mar 27, 2010",Spring 2009,Saturdays at 09:00 (JST),"TV Tokyo,       Shogakukan-Shueisha Productions,       Ryukyu Asahi Broadcasting","None found, add some",Shogakukan Music & Digital Entertainment,Manga,"Comedy, Romance",School,24 min. per ep.,PG - Children,18,Shoujo
123,Happiness!,,6.35,3707,7624,36,TV,12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",Fall 2006,Unknown,Delfi Sound,Maiden Japan,Artland,Visual novel,"Comedy, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,40,
124,Hensuki▽,,6.35,9591,7626,3,TV,12,Finished Airing,"Jul 8, 2019 to Sep 23, 2019",Summer 2019,Unknown,"None found, add some","None found, add some","Seven,       Geek Toys",Light novel,"Comedy, Ecchi",School,1 min. per ep.,PG-13 - Teens 13 or older,9,
125,Harukanaru Toki no Naka de: Hachiyou Shou Specials,,6.35,10167,7625,2,Special,8,Finished Airing,"Sep 23, 2005 to Apr 16, 2006",,,"None found, add some","None found, add some",Yumeta Company,Visual novel,"Fantasy, Romance, Supernatural","Historical, Isekai, Time Travel",5 min. per ep.,PG-13 - Teens 13 or older,2,Shoujo
126,Hikari no Ou,The Fire Hunter,6.35,3326,7627,44,TV,10,Finished Airing,"Jan 14, 2023 to Mar 18, 2023",Winter 2023,Saturdays at 22:30 (JST),"Production I.G,       WOWOW,       flying DOG","None found, add some",Signal.MD,Light novel,Fantasy,,24 min. per ep.,PG-13 - Teens 13 or older,105,
127,Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi,,6.35,4106,7628,29,TV Special,1,Finished Airing,"Jul 5, 2021",,,"AT-X,       Kadokawa","None found, add some",Encourage Films,Light novel,"Action, Adventure, Fantasy",Isekai,23 min.,PG-13 - Teens 13 or older,63,
128,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",6.35,837,7629,294,TV,13,Finished Airing,"Apr 7, 2023 to Jun 30, 2023",Spring 2023,Fridays at 00:30 (JST),"TMS Entertainment,       Tokyo MX,       BS11,       Kadokawa,       CTW","None found, add some",Millepensee,Light novel,"Action, Adventure, Fantasy","Isekai, School",24 min. per ep.,PG-13 - Teens 13 or older,"2,170",
129,Juubee Ninpuuchou Burst,Ninja Scroll Burst,6.35,15479,7630,587,ONA,1,Finished Airing,"Jun 24, 2012",,,"None found, add some","None found, add some",Madhouse,Original,"Action, Horror, Supernatural","Martial Arts, Samurai",1 min.,R - 17+ (violence & profanity),3,
130,Kirakira 5th Anniversary Live Anime: Kick Start Generation,,6.35,10795,7631,2,OVA,1,Finished Airing,"Mar 27, 2013",,,"Lantis,       Media Factory","None found, add some",SILVER LINK.,Visual novel,,Music,26 min.,G - All Ages,7,
131,"Kono Healer, Mendokusai","Don't Hurt Me, My Healer!",6.35,2878,7632,59,TV,12,Finished Airing,"Apr 10, 2022 to Jun 26, 2022",Spring 2022,Sundays at 21:00 (JST),"AT-X,       Nippon Columbia,       BS11,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       INCS toenter","None found, add some",Jumondo,Web manga,"Adventure, Comedy, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,161,
132,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi - Interval,Ghost in the Shell: Stand Alone Complex: Tachikomatic Days Fan Disc,6.35,7849,7633,6,Special,3,Finished Airing,"Feb 25, 2004",,,"None found, add some","None found, add some",Production I.G,Unknown,"Comedy, Sci-Fi",Mecha,1 min. per ep.,G - All Ages,1,
133,Kuro ga Ita Natsu,,6.35,13285,7634,1,Movie,1,Finished Airing,"Jun 4, 1990",,,"GEN Productions,       RCC Chugoku Broadcasting","None found, add some","None found, add some",Original,Drama,"Historical, Pets",1 hr. 7 min.,G - All Ages,3,
134,Lupin III: Pilot Film,,6.35,6186,7635,10,Movie,1,Finished Airing,1969,,,"Tokyo Movie Shinsha,       TOHO",Discotek Media,"None found, add some",Manga,"Action, Comedy",Adult Cast,12 min.,R+ - Mild Nudity,6,Seinen
135,Mashle: Mash Burnedead to Fushigi na Tegami,Mashle: Magic and Muscles - Mash Burnedead and the Mysterious Letter,6.35,5327,7636,16,TV Special,1,Finished Airing,"May 20, 2023",,,"None found, add some","None found, add some",A-1 Pictures,Manga,"Action, Comedy, Fantasy","Gag Humor, Parody, School",23 min.,PG-13 - Teens 13 or older,37,Shounen
136,Mikan Enikki Specials,,6.35,15605,7637,570,Special,2,Finished Airing,"Aug 24, 1993",,,"None found, add some","None found, add some",Nippon Animation,Manga,"Fantasy, Slice of Life",Pets,18 min. per ep.,G - All Ages,0,Shoujo
137,Minami Kamakura Koukou Joshi Jitensha-bu,Minami Kamakura High School Girls Cycling Club,6.35,4699,7638,22,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,Saturdays at 00:00 (JST),"Genco,       AT-X,       Exit Tunes,       Duckbill Entertainment,       Shanghai Tiantan Culture & Media,       NADA Holdings,       My Theater D.D.,       Crunchyroll SC Anime Fund","None found, add some","J.C.Staff,       A.C.G.T.",Manga,Sports,"CGDCT, School",23 min. per ep.,PG-13 - Teens 13 or older,17,Shounen
138,Nanatsu no Umi no Tico Specials,,6.35,14863,7640,685,TV Special,2,Finished Airing,Jun 2001,,,Bandai Visual,"None found, add some",Nippon Animation,Original,"Adventure, Slice of Life",,45 min. per ep.,G - All Ages,1,
139,Monster Strike Anime: Kieyuku Uchuu-hen,Monster Strike The Fading Cosmos,6.35,8459,7639,5,ONA,13,Finished Airing,"Oct 7, 2017 to Jan 6, 2018",,,XFLAG Pictures,"None found, add some","Anima,       ILCA,       Yokohama Animation Lab,       CGCG Studio",Game,"Action, Fantasy",Video Game,10 min. per ep.,PG-13 - Teens 13 or older,5,
140,Nyanbo!,,6.35,7648,7641,6,TV,26,Finished Airing,"Sep 27, 2016 to Mar 28, 2017",Fall 2016,Tuesdays at 06:40 (JST),"None found, add some",Discotek Media,Shirogumi,Manga,Comedy,,5 min. per ep.,PG - Children,8,
141,Onboro Film,Broken Down Film,6.35,10091,7642,3,Movie,1,Finished Airing,"Aug 17, 1985",,,"None found, add some","None found, add some",Tezuka Productions,Original,Comedy,Parody,5 min.,G - All Ages,2,
