,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
96,Plastic Little,,6.11,5255,8955,16,OVA,1,Finished Airing,"Mar 21, 1994","KSS,       Movic,       Sony Music Entertainment",ADV Films,animate Film,Original,"Action, Adventure, Comedy, Romance, Sci-Fi, Ecchi",,47 min.,R+ - Mild Nudity,16,,,"Mecha, Military"
97,Rhythmens,,6.11,19432,8956,259,ONA,5,Finished Airing,"May 28, 2021 to Aug 30, 2021","None found, add some","None found, add some",VCRWORKS,Original,Slice of Life,,1 min. per ep.,G - All Ages,0,,,
98,"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru",The Strongest Tank's Labyrinth Raids -A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party-,6.11,2641,8957,68,TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024","Square Enix,       Victor Entertainment,       Medicos Entertainment,       ABC Animation,       AbemaTV,       ABC Frontier,       Procen Studio","None found, add some",Studio Polon,Manga,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,118,Winter 2024,Sundays at 02:00 (JST),
99,Science SARU x MBS Original Short Anime Daisakusen!,,6.11,18454,8958,315,TV Special,4,Finished Airing,"Mar 1, 2024 to Mar 22, 2024",Mainichi Broadcasting System,"None found, add some",Science SARU,Original,,,1 min. per ep.,PG-13 - Teens 13 or older,0,,,
100,Jouran: The Princess of Snow and Blood,Joran The Princess of Snow and Blood,6.10,2147,8959,96,TV,12,Finished Airing,"Apr 7, 2021 to Jun 23, 2021","Dentsu,       Tatsunoko Production,       Bushiroad,       Nippon Television Network,       Bushiroad Music,       Sonilude,       HJ Holdings,       Bushiroad Move","None found, add some",Bakken Record,Original,"Action, Fantasy",,22 min. per ep.,R - 17+ (violence & profanity),381,Spring 2021,Wednesdays at 01:29 (JST),Historical
101,Junkers Come Here Pilot Film,,6.10,16059,8960,515,Special,1,Finished Airing,"Dec 21, 2001","None found, add some",Bandai Entertainment,Triangle Staff,Novel,Slice of Life,,3 min.,G - All Ages,0,,,
102,Kagaku Kyuujo-tai TechnoVoyager,Thunderbirds 2086,6.10,11836,8961,1,TV,18,Finished Airing,"Apr 17, 1982 to Sep 11, 1982","None found, add some","None found, add some",Toei Animation,Unknown,"Action, Adventure, Sci-Fi",,25 min. per ep.,PG-13 - Teens 13 or older,2,Spring 1982,Saturdays at 19:30 (JST),"Mecha, Space"
103,Kidou Shinsengumi Moeyo Ken TV,Moeyo Ken TV,6.10,7726,8962,6,TV,13,Finished Airing,"Jul 2, 2005 to Sep 24, 2005","None found, add some","ADV Films,       Funimation","Trinet Entertainment,       Picture Magic",Game,"Adventure, Comedy, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,2,Summer 2005,Saturdays at 01:30 (JST),Historical
104,Kirameki☆Project,,6.10,10536,8963,2,OVA,5,Finished Airing,"Jun 24, 2005 to Feb 24, 2006","None found, add some",Media Blasters,Studio Fantasia,Original,"Comedy, Sci-Fi, Ecchi",,29 min. per ep.,R+ - Mild Nudity,2,,,Mecha
105,Lan Mao,3000 Whys Of Blue Cat,6.10,14082,8964,874,TV,3057,Finished Airing,"Oct 8, 1999 to Aug 2001",Beijing Sunchime Happy Culture Company,"None found, add some","None found, add some",Original,"Adventure, Comedy",,11 min. per ep.,PG - Children,0,Fall 1999,Not scheduled once per week,
106,Machine Robo: Butchigiri Battle Hackers,,6.10,13666,8965,987,TV,31,Finished Airing,"Jun 3, 1987 to Dec 30, 1987","TV Tokyo,       Trans Arts,       Ashi Productions",Discotek Media,"None found, add some",Unknown,"Action, Sci-Fi",,25 min. per ep.,PG-13 - Teens 13 or older,0,Summer 1987,Unknown,Mecha
107,Mahou Shoujo Lyrical Nanoha ViVid: Special Program,,6.10,9977,8966,3,TV Special,1,Finished Airing,"Jun 26, 2015","None found, add some","None found, add some",A-1 Pictures,Manga,Action,,25 min.,PG-13 - Teens 13 or older,3,,,"Mahou Shoujo, Martial Arts"
108,Mazinger Z tai Devilman,Mazinger Z vs. Devilman,6.10,8484,8967,5,Movie,1,Finished Airing,"Jul 18, 1973",Dynamic Planning,"None found, add some",Toei Animation,Manga,"Action, Adventure, Sci-Fi",Shounen,43 min.,PG-13 - Teens 13 or older,5,,,"Mecha, Mythology"
109,Natsufuku no Shoujo-tachi,,6.10,12818,8968,1,TV Special,1,Finished Airing,"Aug 7, 1988",NHK,"None found, add some",Madhouse,Other,Drama,,34 min.,PG-13 - Teens 13 or older,1,,,Historical
110,Nijiiro☆Prism Girl,,6.10,9123,8969,4,OVA,4,Finished Airing,"Aug 3, 2013 to Nov 30, 2013","None found, add some","None found, add some",SynergySP,Manga,"Comedy, Romance",Shoujo,12 min. per ep.,PG - Children,3,,,School
111,Nine,,6.10,12790,8970,1,TV Special,1,Finished Airing,"May 4, 1983",Fuji TV,"None found, add some",Group TAC,Manga,Sports,Shounen,1 hr. 11 min.,PG-13 - Teens 13 or older,3,,,"School, Team Sports"
112,Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki,,6.10,14585,8971,751,Movie,1,Finished Airing,"Mar 12, 1983","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Slice of Life",Kids,52 min.,G - All Ages,0,,,Martial Arts
113,One Room: Second Season,,6.10,3073,8972,52,TV,12,Finished Airing,"Jul 10, 2018 to Sep 24, 2018","None found, add some","None found, add some",Zero-G,Original,Slice of Life,,4 min. per ep.,PG-13 - Teens 13 or older,43,Summer 2018,Tuesdays at 01:35 (JST),
114,Panda-Z: The Robonimation,,6.10,10686,8973,2,TV,30,Finished Airing,"Apr 12, 2004 to Oct 4, 2004","Bee Media,       Dynamic Planning",Bandai Entertainment,"Bee Train,       Synergy Japan",Manga,"Action, Comedy, Sci-Fi",Kids,5 min. per ep.,PG - Children,2,Spring 2004,Unknown,"Mecha, Parody"
115,Reiwa no Di Gi Charat,,6.10,8417,8974,5,TV,16,Finished Airing,"Oct 7, 2022 to Jan 3, 2023","None found, add some","None found, add some",LIDENFILMS,Manga,Comedy,,4 min. per ep.,G - All Ages,20,Fall 2022,Fridays at 23:00 (JST),
116,Robot Girls Z Episode 0,,6.10,9505,8975,3,ONA,1,Finished Airing,"Jul 30, 2013","None found, add some","None found, add some",Toei Animation,Original,Comedy,,4 min.,PG-13 - Teens 13 or older,0,,,"Anthropomorphic, Parody"
117,Senya Ichiya Monogatari,A Thousand and One Nights,6.10,7904,8976,6,Movie,1,Finished Airing,"Jun 14, 1969","None found, add some",Discotek Media,Mushi Production,Other,"Adventure, Fantasy",,2 hr. 10 min.,R+ - Mild Nudity,5,,,
118,Shikabane Hime: Puchitto,,6.10,8734,8978,4,Special,1,Finished Airing,"Aug 5, 2009","None found, add some","None found, add some",Gainax,Manga,Comedy,,3 min.,PG-13 - Teens 13 or older,2,,,
119,Shichisei no Subaru,Seven Senses of the Re'Union,6.10,1640,8977,139,TV,12,Finished Airing,"Jul 6, 2018 to Sep 21, 2018","TBS,       SUPA LOVE",Sentai Filmworks,Lerche,Light novel,"Action, Drama, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,234,Summer 2018,Fridays at 01:58 (JST),Video Game
120,Shin-Men,,6.10,11679,8979,1,TV,13,Finished Airing,"Nov 26, 2010 to Sep 14, 2012","TV Asahi,       Asatsu DK","None found, add some",Shin-Ei Animation,Unknown,"Action, Comedy",Seinen,12 min. per ep.,G - All Ages,0,Fall 2010,Unknown,Super Power
121,Sore Ike! Anpanman: Kyouryuu Nosshii no Daibouken,,6.10,16058,8980,515,Movie,1,Finished Airing,"Jul 17, 1993","None found, add some","None found, add some",TMS Entertainment,Unknown,"Comedy, Fantasy",Kids,1 hr.,PG - Children,0,,,
122,Sore Ike! Anpanman: Shabondama no Purun,"Anpanman: Purun, the Soap Bubble",6.10,14916,8981,677,Movie,1,Finished Airing,"Jul 14, 2007","VAP,       Tokyo Movie Shinsha","None found, add some","None found, add some",Unknown,"Comedy, Fantasy",Kids,51 min.,PG - Children,1,,,
123,Spheres,,6.10,14158,8982,857,TV,26,Finished Airing,"Feb 27, 2003 to Aug 21, 2003",Studio Kaab,"None found, add some","None found, add some",Unknown,"Action, Fantasy",,22 min. per ep.,PG - Children,1,Winter 2003,Unknown,Super Power
124,Toki no Tabibito: Time Stranger,,6.10,8819,8984,4,Movie,1,Finished Airing,"Dec 20, 1986",Kadokawa Shoten,"None found, add some",Madhouse,Novel,"Action, Adventure, Romance, Sci-Fi",,1 hr. 31 min.,R+ - Mild Nudity,3,,,Time Travel
125,Teizokurei Daydream,Ghost Talker's Daydream,6.10,5990,8983,11,OVA,4,Finished Airing,"Jun 25, 2004 to Dec 23, 2004","Bandai Visual,       Imagine",Geneon Entertainment USA,HAL Film Maker,Manga,"Comedy, Drama, Horror, Supernatural, Ecchi",,24 min. per ep.,R+ - Mild Nudity,16,,,
126,Tottoko Hamtarou: Anime Dechu!,,6.10,12966,8985,1,OVA,1,Finished Airing,"Sep 15, 1999","None found, add some","None found, add some","None found, add some",Manga,Adventure,Shoujo,27 min.,G - All Ages,0,,,
127,Triangle Heart: Sweet Songs Forever,,6.10,7284,8986,7,OVA,4,Finished Airing,"Jul 24, 2003 to Dec 26, 2003",Discovery,"None found, add some",Seven Arcs,Visual novel,"Adventure, Romance",,28 min. per ep.,R - 17+ (violence & profanity),7,,,
128,Turning Mecard,,6.10,12919,8987,1,TV,52,Finished Airing,"Feb 3, 2015 to Feb 5, 2016","None found, add some","None found, add some","None found, add some",Unknown,Adventure,Kids,28 min. per ep.,PG - Children,7,Winter 2015,Fridays at 17:30 (JST),"Mecha, Racing, Strategy Game"
129,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Fireworks,6.10,1143,8988,214,Movie,1,Finished Airing,"Aug 18, 2017","Aniplex,       TOHO,       Lawson HMV Entertainment,       Toy's Factory,       JR East Marketing & Communications,       Kadokawa,       LINE Corporation,       Toho Music","NYAV Post,       GKIDS",Shaft,Other,"Romance, Sci-Fi",,1 hr. 30 min.,PG-13 - Teens 13 or older,518,,,
130,Umigame to Shounen,,6.10,14805,8989,697,TV Special,1,Finished Airing,"Aug 15, 2002",TV Asahi,"None found, add some",Shin-Ei Animation,Novel,Drama,,45 min.,G - All Ages,1,,,Historical
131,Yatterman the Movie: Shin Yattermecha Dai Shuugou! Omocha no Kuni de Dai Ketsudan da Koron,,6.10,13162,8990,1,Movie,1,Finished Airing,"Aug 22, 2009",Yahoo! Japan,"None found, add some",Tatsunoko Production,Unknown,Comedy,Kids,1 hr. 33 min.,G - All Ages,0,,,
132,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. Specials,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job. Specials",6.10,5713,8991,13,Special,5,Finished Airing,"Jan 31, 2014 to May 30, 2014","None found, add some","None found, add some","None found, add some",Unknown,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,10,,,
133,3-gatsu no Lion: Ugoku! Nya Shogi,,6.10,9098,8992,4,Special,10,Finished Airing,"Jan 25, 2017 to Aug 23, 2017","None found, add some","None found, add some","None found, add some",Manga,,,4 min. per ep.,G - All Ages,3,,,Strategy Game
